Summary_file = cowpea.sum
Title = cowpea Sample Simulation
       day      year            lai        biomass  green_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
       320      1988          0.000          0.000          0.000
       321      1988          0.000          0.000          0.000
       322      1988          0.000          0.000          0.000
       323      1988          0.000          0.000          0.000
       324      1988          0.000          0.000          0.000
       325      1988          0.000          0.000          0.000
       326      1988          0.000          0.000          0.000
       327      1988          0.000          0.000          0.000
       328      1988          0.000          0.000          0.000
       329      1988          0.000          0.000          0.000
       330      1988          0.000          0.000          0.000
       331      1988          0.000          0.000          0.000
       332      1988          0.000          0.000          0.000
       333      1988          0.000          0.000          0.000
       334      1988          0.000          0.000          0.000
       335      1988          0.000          0.000          0.000
       336      1988          0.020          7.500          7.500
       337      1988          0.025         10.221         10.221
       338      1988          0.030         13.106         13.106
       339      1988          0.038         17.164         17.164
       340      1988          0.047         22.186         22.186
       341      1988          0.057         27.860         27.860
       342      1988          0.066         32.829         32.829
       343      1988          0.075         37.829         37.829
       344      1988          0.090         45.694         45.694
       345      1988          0.108         55.748         55.748
       346      1988          0.133         69.433         69.433
       347      1988          0.158         83.090         83.090
       348      1988          0.191        101.670        101.670
       349      1988          0.234        124.923        124.923
       350      1988          0.282        151.301        151.301
       351      1988          0.322        173.246        173.246
       352      1988          0.351        189.102        189.102
       353      1988          0.385        207.814        207.814
       354      1988          0.458        248.033        248.033
       355      1988          0.548        297.442        297.442
       356      1988          0.657        358.782        358.782
       357      1988          0.769        425.118        425.118
       358      1988          0.892        502.775        502.775
       359      1988          1.022        589.001        589.001
       360      1988          1.169        690.106        690.106
       361      1988          1.332        803.875        803.875
       362      1988          1.470        902.396        902.396
       363      1988          1.666       1043.924       1043.924
       364      1988          1.861       1188.674       1188.674
       365      1988          2.053       1333.901       1333.901
       366      1988          2.251       1485.888       1485.888
         1      1989          2.469       1653.589       1653.589
         2      1989          2.629       1776.995       1776.995
         3      1989          2.840       1938.703       1938.703
         4      1989          3.095       2135.389       2135.389
         5      1989          3.377       2351.719       2351.719
         6      1989          3.561       2493.726       2493.726
         7      1989          3.799       2676.491       2676.491
         8      1989          4.076       2889.942       2889.942
         9      1989          4.357       3107.727       3106.803
        10      1989          4.589       3316.310       3300.916
        11      1989          4.852       3535.244       3511.742
        12      1989          5.076       3789.499       3753.557
        13      1989          5.291       4045.792       3993.368
        14      1989          5.467       4274.160       4201.064
        15      1989          5.652       4520.610       4423.182
        16      1989          5.828       4768.649       4642.831
        17      1989          5.977       5000.395       4842.119
        18      1989          6.048       5174.397       4976.093
        19      1989          5.967       5325.305       5075.111
        20      1989          5.933       5486.211       5200.169
        21      1989          5.830       5623.964       5286.308
        22      1989          5.798       5789.717       5419.461
        23      1989          5.678       5931.945       5506.093
        24      1989          5.484       6065.537       5560.574
        25      1989          5.362       6256.500       5682.505
        26      1989          5.187       6398.067       5753.867
        27      1989          5.031       6552.522       5843.005
        28      1989          4.858       6706.926       5927.562
        29      1989          4.676       6829.502       5980.826
        30      1989          4.434       6907.184       5965.880
        31      1989          4.179       6963.298       5924.530
        32      1989          3.885       7042.539       5891.205
        33      1989          3.662       7139.808       5903.408
        34      1989          3.441       7224.893       5903.743
        35      1989          3.266       7261.106       5873.163
        36      1989          3.128       7283.150       5842.277
        37      1989          2.969       7343.667       5842.304
        38      1989          2.796       7413.114       5845.272
        39      1989          2.593       7491.476       5846.004
        40      1989          2.367       7568.475       5836.580
        41      1989          2.120       7639.835       5813.518
        42      1989          0.000       7639.835       5003.104
        43      1989          0.000          0.000          0.000
        44      1989          0.000          0.000          0.000
        45      1989          0.000          0.000          0.000
        46      1989          0.000          0.000          0.000
        47      1989          0.000          0.000          0.000
        48      1989          0.000          0.000          0.000
        49      1989          0.000          0.000          0.000
        50      1989          0.000          0.000          0.000
        51      1989          0.000          0.000          0.000
        52      1989          0.000          0.000          0.000
        53      1989          0.000          0.000          0.000
        54      1989          0.000          0.000          0.000
        55      1989          0.000          0.000          0.000
        56      1989          0.000          0.000          0.000
        57      1989          0.000          0.000          0.000
        58      1989          0.000          0.000          0.000
        59      1989          0.000          0.000          0.000
        60      1989          0.000          0.000          0.000
