Summary_file = Dalby600.sum
Title = Dalby 600mm wet soil
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
       293      1957          0.000       3400.511        967.015        107.936
       290      1958          0.000       6075.917       2765.405        190.134
       295      1959          0.000       4333.141       1727.412        148.107
       299      1960          0.000       3094.911        748.503        105.543
       293      1961          0.000       4008.771       1377.587        135.590
       292      1962          0.000       3580.228       1151.168        119.848
       294      1963          0.000       3991.792       1316.186        131.080
       295      1964          0.000       5684.932       2346.031        181.291
       294      1965          0.000       5885.610       2394.860        193.469
       299      1966          0.000       5790.940       2532.227        176.080
       293      1967          0.000       5172.822       2006.479        178.106
       301      1968          0.000       3725.211       1195.455        111.346
       293      1969          0.000       5626.597       2629.028        168.140
       295      1970          0.000       3894.180       1420.512        124.739
       295      1971          0.000       5467.536       2172.128        181.527
       293      1972          0.000       2916.947        747.804         96.155
       283      1973          0.000       5894.714       2506.364        170.528
       299      1974          0.000       5905.047       2642.709        167.806
       293      1975          0.000       5228.237       2234.711        151.857
       299      1976          0.000       5481.737       2503.679        164.130
       294      1977          0.000       3617.006        834.725        116.634
       299      1978          0.000       6749.750       2940.014        185.360
       290      1979          0.000       4593.511       1726.983        142.122
       287      1980          0.000       3125.559        827.038        105.844
       293      1981          0.000       4634.743       1746.972        147.752
       298      1982          0.000       3536.039       1189.518        115.690
       288      1983          0.000       5117.432       1916.896        164.519
       298      1984          0.000       6275.061       2868.968        195.076
       297      1985          0.000       5268.765       2254.154        175.450
       290      1986          0.000       3216.649        865.795         99.266
       288      1987          0.000       4046.241       1371.741        123.214
       284      1988          0.000       5894.823       2348.760        184.256
       293      1989          0.000       3156.157        858.565         97.465
       292      1990          0.000       5124.323       2030.089        155.707
       282      1991          0.000       2747.194        586.701         88.993
       300      1992          0.000       3635.853       1017.525        124.220
       287      1993          0.000       3881.353       1576.139        129.619
       299      1994          0.000       2647.231        526.855         93.660
       291      1995          0.000       3363.228       1100.065        125.890
       293      1996          0.000       3954.882       1589.096        138.594
       290      1997          0.000       3670.778       1373.984        131.181
       287      1998          0.000       6245.603       2529.755        192.380
       287      1999          0.000       3598.506       1337.706        113.397
       292      2000          0.000       2556.214        505.423         89.912
       290      2001          0.000       2953.659        626.714         96.371
       290      2002          0.000       3693.908       1119.236        134.749
