Summary_file = navybean.sum
Title = navybean Sample Simulation
       day      year            lai        biomass  green_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)
       320      1988          0.000          0.000          0.000
       321      1988          0.000          0.000          0.000
       322      1988          0.000          0.000          0.000
       323      1988          0.000          0.000          0.000
       324      1988          0.000          0.000          0.000
       325      1988          0.000          0.000          0.000
       326      1988          0.000          0.000          0.000
       327      1988          0.000          0.000          0.000
       328      1988          0.000          0.000          0.000
       329      1988          0.000          0.000          0.000
       330      1988          0.000          0.000          0.000
       331      1988          0.000          0.000          0.000
       332      1988          0.000          0.000          0.000
       333      1988          0.000          0.000          0.000
       334      1988          0.000          0.000          0.000
       335      1988          0.010         25.000         25.000
       336      1988          0.013         26.461         26.461
       337      1988          0.016         27.949         27.949
       338      1988          0.020         29.632         29.632
       339      1988          0.025         32.282         32.282
       340      1988          0.032         35.504         35.504
       341      1988          0.040         39.397         39.397
       342      1988          0.047         42.440         42.440
       343      1988          0.054         45.723         45.723
       344      1988          0.062         49.763         49.763
       345      1988          0.075         55.847         55.847
       346      1988          0.090         63.298         63.298
       347      1988          0.111         72.893         72.893
       348      1988          0.140         87.102         87.102
       349      1988          0.179        105.685        105.685
       350      1988          0.226        127.726        127.726
       351      1988          0.263        145.670        145.670
       352      1988          0.293        159.762        159.762
       353      1988          0.329        176.713        176.713
       354      1988          0.388        204.993        204.993
       355      1988          0.454        236.558        236.558
       356      1988          0.516        269.452        269.452
       357      1988          0.595        307.293        307.293
       358      1988          0.688        353.695        353.695
       359      1988          0.780        401.774        401.774
       360      1988          0.889        462.032        462.032
       361      1988          1.005        526.447        526.447
       362      1988          1.130        595.672        595.672
       363      1988          1.307        694.091        694.091
       364      1988          1.483        792.000        792.000
       365      1988          1.679        900.560        900.560
       366      1988          1.899       1022.963       1022.963
         1      1989          2.155       1164.971       1164.971
         2      1989          2.358       1277.896       1277.896
         3      1989          2.604       1414.719       1414.719
         4      1989          2.849       1550.565       1550.565
         5      1989          3.070       1673.421       1673.421
         6      1989          3.291       1796.292       1796.292
         7      1989          3.423       1944.011       1943.568
         8      1989          3.579       2118.888       2117.979
         9      1989          3.790       2283.277       2281.906
        10      1989          3.953       2418.230       2416.461
        11      1989          4.129       2565.767       2563.521
        12      1989          4.380       2769.615       2765.952
        13      1989          4.590       2955.634       2947.556
        14      1989          4.792       3164.844       3140.657
        15      1989          4.978       3382.937       3335.173
        16      1989          5.155       3604.145       3530.599
        17      1989          5.293       3826.365       3715.982
        18      1989          5.384       4013.857       3868.665
        19      1989          5.435       4175.192       3995.293
        20      1989          5.453       4326.872       4107.403
        21      1989          5.464       4472.869       4215.405
        22      1989          5.431       4608.562       4304.438
        23      1989          5.367       4736.297       4379.739
        24      1989          5.315       4888.883       4474.673
        25      1989          5.365       5108.792       4644.591
        26      1989          5.338       5260.648       4750.902
        27      1989          5.323       5432.266       4874.646
        28      1989          5.285       5596.687       4988.103
        29      1989          5.209       5726.773       5069.673
        30      1989          5.070       5808.926       5101.988
        31      1989          4.902       5868.058       5105.463
        32      1989          4.799       5951.252       5152.258
        33      1989          4.670       6081.035       5220.298
        34      1989          4.505       6197.688       5269.340
        35      1989          4.326       6248.741       5260.889
        36      1989          4.180       6287.822       5251.751
        37      1989          4.029       6387.599       5297.154
        38      1989          3.854       6501.424       5345.213
        39      1989          3.696       6632.464       5411.011
        40      1989          3.520       6719.283       5439.414
        41      1989          3.365       6784.851       5453.546
        42      1989          3.168       6884.951       5488.108
        43      1989          2.947       6978.840       5508.542
        44      1989          2.745       7053.179       5515.701
        45      1989          2.552       7114.380       5512.991
        46      1989          2.360       7169.837       5504.537
        47      1989          2.167       7219.968       5490.756
        48      1989          1.959       7275.800       5477.466
        49      1989          1.755       7325.413       5459.382
        50      1989          1.555       7366.194       5433.624
        51      1989          1.361       7401.037       5404.063
        52      1989          1.154       7432.425       5366.487
        53      1989          0.919       7466.332       5322.409
        54      1989          0.000       7466.332       5017.214
        55      1989          0.000          0.000          0.000
        56      1989          0.000          0.000          0.000
        57      1989          0.000          0.000          0.000
        58      1989          0.000          0.000          0.000
        59      1989          0.000          0.000          0.000
        60      1989          0.000          0.000          0.000
