Summary_file = winterfallow.sum
Title = Winter dicot fallow Simulation
       day      year       weed_lai   weed_biomass weed_grn_biomass
     (day)    (year)      (m^2/m^2)        (kg/ha)          (kg/ha)
       100      1988          0.000          0.000            0.000
       101      1988          0.000          0.000            0.000
       102      1988          0.000          0.000            0.000
       103      1988          0.000          0.000            0.000
       104      1988          0.000          0.000            0.000
       105      1988          0.000          0.000            0.000
       106      1988          0.000          0.000            0.000
       107      1988          0.000          0.000            0.000
       108      1988          0.000          0.000            0.000
       109      1988          0.000          0.000            0.000
       110      1988          0.000          0.000            0.000
       111      1988          0.000          0.000            0.000
       112      1988          0.000          0.000            0.000
       113      1988          0.000          0.000            0.000
       114      1988          0.000          0.000            0.000
       115      1988          0.000          0.000            0.000
       116      1988          0.000          0.000            0.000
       117      1988          0.000          0.000            0.000
       118      1988          0.000          0.000            0.000
       119      1988          0.000          0.000            0.000
       120      1988          0.000          0.000            0.000
       121      1988          0.000          0.000            0.000
       122      1988          0.000          0.000            0.000
       123      1988          0.000          0.000            0.000
       124      1988          0.000          0.000            0.000
       125      1988          0.004          9.000            9.000
       126      1988          0.005          9.473            9.473
       127      1988          0.006         10.048           10.048
       128      1988          0.008         10.788           10.788
       129      1988          0.010         11.695           11.695
       130      1988          0.012         12.841           12.841
       131      1988          0.015         14.277           14.277
       132      1988          0.019         16.043           16.043
       133      1988          0.024         18.306           18.306
       134      1988          0.030         21.007           21.007
       135      1988          0.037         24.268           24.268
       136      1988          0.045         28.096           28.096
       137      1988          0.055         32.716           32.716
       138      1988          0.061         35.723           35.723
       139      1988          0.071         40.299           40.299
       140      1988          0.087         47.591           47.591
       141      1988          0.100         53.784           53.784
       142      1988          0.115         60.346           60.346
       143      1988          0.136         70.222           70.222
       144      1988          0.164         83.199           83.199
       145      1988          0.195         97.357           97.357
       146      1988          0.226        112.736          112.736
       147      1988          0.271        134.475          134.475
       148      1988          0.324        160.364          160.364
       149      1988          0.374        186.344          186.344
       150      1988          0.428        216.632          216.632
       151      1988          0.482        249.351          249.351
       152      1988          0.549        286.682          286.682
       153      1988          0.622        320.446          320.446
       154      1988          0.713        362.691          362.691
       155      1988          0.813        408.914          408.914
       156      1988          0.868        434.013          434.013
       157      1988          0.949        471.731          471.731
       158      1988          1.063        524.444          524.444
       159      1988          1.180        594.119          594.119
       160      1988          1.281        661.077          661.077
       161      1988          1.398        736.454          736.454
       162      1988          1.541        830.476          830.476
       163      1988          1.661        914.249          914.249
       164      1988          1.760        985.434          985.434
       165      1988          1.864       1068.416         1068.416
       166      1988          1.974       1160.089         1160.089
       167      1988          2.094       1260.288         1260.288
       168      1988          2.226       1354.019         1354.019
       169      1988          2.361       1454.976         1454.976
       170      1988          2.510       1576.023         1576.023
       171      1988          2.630       1682.852         1682.852
       172      1988          2.756       1796.170         1796.170
       173      1988          2.896       1924.158         1924.158
       174      1988          3.016       2033.480         2033.480
       175      1988          3.135       2145.578         2145.578
       176      1988          3.263       2260.799         2260.799
       177      1988          3.399       2381.977         2381.977
       178      1988          3.534       2503.539         2503.539
       179      1988          3.676       2656.802         2656.802
       180      1988          3.791       2788.958         2788.958
       181      1988          3.885       2899.668         2899.668
       182      1988          3.974       3012.190         3012.190
       183      1988          4.069       3130.182         3130.182
       184      1988          4.165       3223.142         3221.843
       185      1988          4.274       3288.319         3283.845
       186      1988          4.378       3358.295         3348.441
       187      1988          4.499       3444.281         3426.897
