Summary_file = fieldS113.sum
Title = south plots field
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)             sw(21)             sw(22)             sw(23)             sw(24)             sw(25)             sw(26)             sw(27)             sw(28)             psi(1)             psi(2)             psi(3)             psi(4)             psi(5)             psi(6)             psi(7)             psi(8)             psi(9)            psi(10)            psi(11)            psi(12)     sw_dep_025    sw_dep_2590   sw_dep_90180          sw_dep(1)          sw_dep(2)          sw_dep(3)          sw_dep(4)          sw_dep(5)          sw_dep(6)          sw_dep(7)          sw_dep(8)          sw_dep(9)         sw_dep(10)         sw_dep(11)         sw_dep(12)         sw_dep(13)         sw_dep(14)         sw_dep(15)         sw_dep(16)         sw_dep(17)         sw_dep(18)         sw_dep(19)         sw_dep(20)         sw_dep(21)         sw_dep(22)         sw_dep(23)         sw_dep(24)         sw_dep(25)         sw_dep(26)         sw_dep(27)         sw_dep(28)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)               (??)             ()             ()             ()               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)               (mm)
      1998         8       238        26              0.281              0.282              0.282              0.284              0.276              0.259              0.262              0.286              0.291              0.316              0.323              0.326              0.336              0.339              0.288              0.284              0.284              0.271              0.260              0.248              0.249              0.251              0.259              0.272              0.286              0.288              0.302              0.304           -111.579           -110.569           -109.542           -106.366           -100.661            -81.555            -73.435            -87.454            -96.316            -65.862            -52.804            -40.070         67.794        156.641        289.906              1.405              2.816              5.641             11.345             20.665             25.922             26.218             28.558             43.664             63.269             64.557             65.175             67.137             67.798             57.518             56.781             56.818             54.274             51.981             49.683             37.312             75.175            129.558            136.223            142.844            144.213            150.811             75.893
      1998         9       267        24              0.321              0.322              0.323              0.326              0.312              0.283              0.283              0.306              0.275              0.286              0.299              0.310              0.325              0.333              0.308              0.284              0.284              0.271              0.260              0.248              0.249              0.251              0.259              0.272              0.286              0.289              0.301              0.303            -55.097            -54.097            -53.099            -50.159            -45.207            -36.032            -36.684            -44.681           -176.850           -265.349           -230.247           -149.980         76.082        158.378        285.154              1.606              3.222              6.463             13.042             23.435             28.314             28.259             30.629             41.271             57.233             59.811             62.012             64.919             66.663             61.654             56.824             56.817             54.274             51.981             49.684             37.312             75.175            129.558            136.223            142.845            144.321            150.727             75.836
      1998        10       286        13              0.295              0.295              0.296              0.298              0.287              0.264              0.263              0.283              0.281              0.299              0.308              0.311              0.322              0.329              0.314              0.285              0.284              0.271              0.260              0.248              0.249              0.251              0.259              0.272              0.286              0.289              0.301              0.303            -87.190            -86.263            -85.327            -82.461            -77.882            -68.770            -71.581            -95.963           -141.237           -141.199           -132.843           -139.878         70.207        153.889        285.848              1.473              2.951              5.915             11.906             21.557             26.405             26.291             28.283             42.140             59.893             61.541             62.175             64.302             65.899             62.701             56.965             56.817             54.274             51.981             49.684             37.311             75.175            129.559            136.223            142.846            144.387            150.674             75.801
      1998        11       308         4              0.069              0.150              0.193              0.210              0.224              0.242              0.251              0.275              0.281              0.302              0.311              0.314              0.322              0.328              0.316              0.286              0.284              0.271              0.260              0.248              0.249              0.251              0.259              0.272              0.286              0.289              0.301              0.303        -181605.701          -3095.667           -814.218           -521.904           -357.644           -151.638           -110.374           -124.853           -141.048           -125.032           -110.533           -108.990         55.112        150.055        287.156              0.346              1.499              3.855              8.387             16.786             24.239             25.087             27.518             42.145             60.420             62.131             62.762             64.413             65.662             63.253             57.244             56.818             54.275             51.981             49.684             37.311             75.174            129.559            136.223            142.846            144.460            150.616             75.763
      1998        12       344        10              0.058              0.068              0.145              0.197              0.223              0.241              0.250              0.279              0.289              0.312              0.320              0.322              0.334              0.344              0.344              0.343              0.318              0.272              0.260              0.248              0.249              0.251              0.259              0.272              0.286              0.289              0.301              0.303        -445799.766        -202149.449          -3745.871           -730.124           -370.198           -157.661           -113.957           -110.783           -104.833            -79.160            -63.880            -53.324         52.562        152.285        300.845              0.292              0.678              2.894              7.870             16.691             24.137             25.001             27.863             43.322             62.438             63.923             64.477             66.834             68.757             68.816             68.611             63.623             54.374             51.981             49.684             37.311             75.174            129.560            136.224            142.848            144.573            150.527             75.706
      1999         2        34         3              0.066              0.123              0.191              0.216              0.233              0.247              0.255              0.280              0.288              0.311              0.318              0.321              0.332              0.342              0.342              0.342              0.341              0.306              0.261              0.248              0.249              0.251              0.259              0.272              0.286              0.289              0.301              0.303        -234535.419          -8801.754           -847.952           -448.232           -277.805           -127.771            -95.744           -105.129           -107.788            -85.260            -69.918            -59.399         56.206        153.207        299.259              0.330              1.233              3.825              8.633             17.492             24.693             25.476             28.016             43.210             62.106             63.624             64.215             66.482             68.346             68.404             68.413             68.234             61.108             52.183             49.685             37.311             75.173            129.560            136.224            142.851            144.730            150.402             75.627
      1999         3        83        24              0.081              0.186              0.213              0.230              0.240              0.235              0.245              0.274              0.284              0.307              0.315              0.319              0.330              0.340              0.340              0.339              0.337              0.319              0.280              0.249              0.249              0.251              0.259              0.272              0.286              0.290              0.301              0.302         -78247.066           -979.222           -484.247           -320.680           -233.771           -201.414           -139.579           -132.137           -124.772           -102.085            -85.344            -72.691         57.221        149.431        297.138              0.407              1.861              4.254              9.200             17.994             23.505             24.458             27.356             42.627             61.307             62.970             63.728             66.038             67.931             67.956             67.845             67.329             63.859             55.945             49.731             37.311             75.173            129.561            136.224            142.854            144.857            150.302             75.564
      1999         6       167        16              0.321              0.322              0.323              0.326              0.312              0.282              0.280              0.301              0.296              0.313              0.319              0.321              0.331              0.340              0.341              0.341              0.339              0.329              0.316              0.303              0.303              0.302              0.284              0.273              0.286              0.290              0.300              0.302            -55.554            -54.571            -53.587            -50.669            -45.814            -37.032            -39.859            -52.654            -79.949            -76.632            -66.495            -61.836         75.925        162.666        298.444              1.603              3.217              6.454             13.022             23.399             28.230             28.007             30.109             44.425             62.584             63.790             64.118             66.229             68.076             68.126             68.110             67.874             65.843             63.138             60.620             45.503             90.562            142.164            136.451            142.860            145.049            150.148             75.470
      1999         7       196        15              0.266              0.266              0.267              0.268              0.262              0.250              0.254              0.280              0.290              0.315              0.322              0.324              0.337              0.346              0.347              0.347              0.347              0.337              0.322              0.308              0.307              0.305              0.291              0.275              0.286              0.290              0.300              0.302           -149.814           -148.767           -147.631           -143.773           -135.257           -114.133            -99.562           -104.220           -100.134            -70.374            -56.185            -44.870         64.715        154.087        303.077              1.329              2.661              5.330             10.714             19.685             24.996             25.369             28.041             43.506             62.968             64.350             64.898             67.327             69.280             69.397             69.491             69.315             67.307             64.415             61.661             46.097             91.434            145.373            137.535            142.862            145.110            150.099             75.440
