Summary_file = Merredin300.sum
Title = Merredin 300mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)
     29/10/1957       302      1957        193.400          174.987          0.001       6574.730       1691.971          0.257          0.700         96.500          2.435          4.120         13.323          1.576
     06/11/1958       310      1958        296.300          247.406          0.000       9229.498       2641.205          0.286          0.653        125.180          1.599          4.224          9.466         23.889
     21/10/1959       294      1959        168.300          168.300          0.000       6622.422       2003.691          0.303          0.736         96.409          2.289          4.586         16.049          1.676
     06/11/1960       311      1960        224.700          199.242          0.000       8643.617       2176.366          0.252          0.633        126.181          1.893          4.119          7.984          2.554
     26/10/1961       299      1961        142.100          142.100          0.001       5424.384       1216.833          0.224          0.585         75.332          2.821          3.433         14.280          0.577
     01/11/1962       305      1962        186.700          186.700          0.001       6503.999       1794.350          0.276          0.713         97.555          2.511          4.506         12.182          0.846
     26/10/1963       299      1963        357.500          231.471          0.000       8253.968       2762.632          0.335          0.684        104.838          1.485          4.102         10.395         35.601
     04/11/1964       309      1964        250.100          228.852          0.000       9698.706       2985.505          0.308          0.657        127.731          1.455          4.345          8.492         10.069
     28/10/1965       301      1965        279.100          226.715          0.000       8767.927       2666.948          0.304          0.670        113.219          1.597          4.260          9.692          8.980
     07/11/1966       311      1966        236.900          235.624          0.000       9391.987       2794.484          0.298          0.652        130.428          1.538          4.297          9.046         11.118
     25/10/1967       298      1967        192.000          192.000          0.000       7059.149       1831.355          0.259          0.700         98.147          2.422          4.436         12.290          2.496
     08/11/1968       313      1968        243.000          195.840          0.000       8058.498       2123.858          0.264          0.633        106.347          1.784          3.789          9.681          2.013
     25/10/1969       298      1969        126.500          126.500          0.001       5438.304       1311.585          0.241          0.628         78.325          2.623          3.441         18.246          0.987
     30/10/1970       303      1970        218.200          218.200          0.000       7945.349       2858.195          0.360          0.729        109.826          1.688          4.825         10.580         18.835
     05/11/1971       309      1971        132.100          132.100          0.000       4328.290       1030.000          0.238          0.548         54.075          2.780          2.863         17.637          0.282
     26/10/1972       300      1972        171.500          170.750          0.000       8100.756       2194.603          0.271          0.679        104.206          2.020          4.433         10.813          2.223
