Summary_file = roma1500.sum
Title = Roma 1500mm wet soil
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)
        18      1958          0.000       5846.294       1479.198        199.144
        17      1959          0.000      10929.557       5427.222        303.196
        14      1960          0.000       9433.413       5236.351        244.685
        20      1961          0.000       8718.075       4351.058        221.890
        15      1962          0.000      11274.642       6025.843        287.062
        21      1963          0.000      10084.803       5451.150        255.331
        13      1964          0.000      11349.142       5779.867        286.126
        21      1965          0.000       7874.589       3286.969        213.829
        15      1966          0.000      11995.528       5866.809        280.149
        13      1967          0.000       8500.661       4045.904        209.689
        16      1968          0.000      10810.832       5782.667        281.680
        16      1969          0.000       8656.377       4369.304        255.381
        16      1970          0.000       9264.855       4223.091        235.637
        20      1971          0.000      13190.981       6435.848        341.937
        21      1972          0.000      10666.086       5376.249        285.657
        12      1973          0.000      10137.897       5327.953        273.316
        14      1974          0.000      10620.098       5700.514        241.509
        23      1975          0.000       8374.462       3624.739        231.302
        17      1976          0.000      10295.895       5466.126        248.017
        19      1977          0.000       8245.779       3546.749        231.797
        13      1978          0.000       7345.291       3033.465        199.448
        22      1979          0.000       9621.435       4859.112        241.784
        12      1980          0.000       8362.105       4107.040        252.364
        15      1981          0.000      12280.005       6194.384        307.294
        16      1982          0.000       8599.840       4153.610        242.284
        14      1983          0.000       9262.050       4639.772        265.641
        20      1984          0.000      12480.758       5833.296        262.152
        19      1985          0.000      11528.805       5802.500        320.282
        17      1986          0.000       9773.635       5472.827        255.631
        19      1987          0.000       9462.688       4630.099        249.417
        16      1988          0.000       8240.972       3710.167        222.190
        15      1989          0.000       9066.813       4422.024        227.815
        15      1990          0.000      10097.768       5601.756        242.357
        16      1991          0.000       8169.009       3185.377        225.917
        11      1992          0.000       9301.142       5179.065        247.531
        20      1993          0.000       7464.249       3021.923        198.377
        17      1994          0.000       7989.671       3894.288        192.924
        17      1995          0.000       9487.873       5167.271        220.423
        19      1996          0.000      12641.695       6231.575        278.556
        24      1997          0.000       9486.747       4945.484        244.628
        15      1998          0.000      10062.653       5255.956        270.315
        18      1999          0.000      12368.599       6111.690        297.405
        26      2000          0.000      13246.425       6387.436        279.265
        19      2001          0.000       9860.300       5271.459        228.690
        18      2002          0.000      10200.388       5212.052        269.663
