Summary_file = output\coonamble_cd2_50_LongFallow1_deep_AvgWindow.sum
Title = site=coonamble; soil=cd2; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          4.725        261.889         20.510
     31/12/1958      1958       3944.953        185.742          4.748          0.000          0.000          0.000          0.000          0.000          0.000       1003.740       7276.833          0.000         642.900         44.271        430.633         83.598
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       6456.624       7130.999          0.000         685.200         33.624        297.381        229.900
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2967.502        152.949          2.622       6228.683       7350.792          0.000         399.100          0.080        297.816          0.000
     31/12/1961      1961       1712.965        128.354          3.371          0.000          0.000          0.000          0.000          0.000          0.000       4645.141       6977.329          0.000         445.200          0.000        348.229         11.312
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         84.650          3.059       3540.521       6022.216          0.000         641.300          0.155        439.639         62.954
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4307.536        112.625          2.983       3885.778       5749.750          0.000         555.600         10.641        377.508         23.906
     31/12/1964      1964       2162.364        124.327          3.277          0.000          0.000          0.000          0.000          0.000          0.000       1888.085       4802.290          0.000         449.100          0.000        378.869         45.674
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.894          0.176       4035.592       4465.935          0.000         342.700          2.571        247.119          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1735.460         94.559          2.668       2095.838       3866.248          0.000         374.800          0.000        367.043          0.000
     31/12/1967      1967       1363.312        103.832          3.521          0.000          0.000          0.000          0.000          0.000          0.000        906.753       4169.904          0.000         327.800          1.386        253.260          0.000
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1616.682       3941.192          0.000         519.800          5.072        374.870         11.161
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       2858.820        129.564          2.622        860.989       3407.565          0.000         671.000          6.164        523.740          0.906
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         11.394         63.902          0.000         601.600          7.315        487.790         95.751
     31/12/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000         54.019          2.736          0.093          0.438          0.000         617.500         25.340        459.392        136.568
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       3591.175        114.112          2.832       2485.012       4178.624          0.000         467.300          0.285        373.520          0.000
     31/12/1973      1973       5073.427        223.520          4.599          0.000          0.000          0.000          0.000          0.000          0.000        940.027       7056.435          0.000         873.600         28.188        472.701        131.067
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         72.937          2.409       4338.926       6575.756          0.000         593.200         34.647        354.013        169.953
     31/12/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       2062.704         47.120          2.097       2140.110       4215.950          0.000         485.500          0.000        373.109          0.000
     31/12/1976      1976       2126.720        129.568          3.584          0.000          0.000          0.000          0.000          0.000          0.000        636.334       4825.715          0.000         624.200         15.793        435.539        144.580
     31/12/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3223.313       4282.848          0.000         498.800         15.818        313.051         77.379
     31/12/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        938.812       2783.042          0.000         738.800         17.363        525.237        139.464
     31/12/1979      1979       2240.552        139.563          2.942          0.000          0.000          0.000          0.000          0.000          0.000        722.358       5068.506          0.000         325.400          0.000        328.265         13.854
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.379          0.295       3201.120       4529.006          0.000         533.300         24.895        331.501         39.231
     31/12/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       2204.005        103.861          2.486       1041.016       2781.294          0.000         500.600          5.167        397.609          7.297
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         17.093         84.591          0.000         368.300          9.893        299.159         69.509
     31/12/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000          0.000         83.745          2.880          0.552          3.165          0.000         734.100         19.290        558.328        118.956
     31/12/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       4770.908        144.284          2.823       3450.421       5802.401          0.000         737.300         14.678        431.109         91.629
     31/12/1985      1985       3159.960        174.934          4.400          0.000          0.000          0.000          0.000          0.000          0.000       2152.919       6332.338          0.000         490.100          0.000        345.378         10.133
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.891          1.513       3539.035       4964.999          0.000         352.400          0.000        343.066          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       1391.334         54.608          2.290       1689.695       3081.495          0.000         439.300          0.000        407.163          0.000
     31/12/1988      1988       1179.893         83.517          3.025          0.000          0.000          0.000          0.000          0.000          0.000        610.006       3637.345          0.000         537.400          0.315        438.740          0.000
     31/12/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        562.794       2342.149          0.000         513.600          4.176        438.762         14.354
     31/12/1990      1990          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         13.680         61.976          0.000         487.500         23.162        368.879         99.949
     31/12/1991      1991       1631.797        118.791          4.452          0.000          0.000          0.000          0.000          0.000          0.000        591.364       4949.303          0.000         469.000          4.037        356.459          9.157
     31/12/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000         66.704          3.426       1772.741       2962.127          0.000         475.200          0.000        415.451          0.000
     31/12/1993      1993          0.000          0.000          0.000          0.000          0.000          0.000       2500.479         62.155          3.404        921.313       3308.067          0.000         589.200          0.026        531.953          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.708         25.380          0.000         357.300          1.610        312.021          0.000
     31/12/1995      1995          0.000          0.000          0.000          0.000          0.000          0.000          0.000         36.024          1.747          0.178          0.901          0.000         584.200         86.224        392.733         85.657
     31/12/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000       3195.076        110.633          3.187        776.429       3127.946          0.000         545.700          0.481        460.073          0.000
     31/12/1997      1997       2403.220        105.874          3.277          0.000          0.000          0.000          0.000          0.000          0.000        507.563       3640.697          0.000         496.600          3.433        381.024          0.000
     31/12/1998      1998          0.000          0.000          0.000          0.000          0.000          0.000          0.000         79.190          2.492       1185.367       2837.741          0.000         812.200         28.959        522.952        205.272
     31/12/1999      1999          0.000          0.000          0.000          0.000          0.000          0.000       1939.152         39.940          2.274        522.193       2813.630          0.000         592.800         10.356        482.210          0.000
     31/12/2000      2000       1885.170        118.539          3.325          0.000          0.000          0.000          0.000          0.000          0.000        428.871       3657.301          0.000         738.900         34.540        430.093        142.753
     31/12/2001      2001          0.000          0.000          0.000          0.000          0.000          0.000          0.000         86.119          2.888       1367.499       2691.859          0.000         447.500          0.000        401.310         26.367
     31/12/2002      2002          0.000          0.000          0.000          0.000          0.000          0.000       2208.000         46.060          2.650        814.135       3232.003          0.000         206.600          0.000        219.534          0.000
