Summary_file = output\goondiwindi_cd2_200_w3_deep_AvgWindow.sum
Title = site=goondiwindi; soil=cd2; treatment=w3; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.660          9.845          0.000         453.500          0.606        468.079         21.882
     31/12/1958      1958       2672.479        147.519          3.337          0.000          0.000          0.000          0.000          0.000          0.000        467.067       5236.234          0.000         662.400         18.985        511.875         89.817
     31/12/1959      1959          0.000          0.000          0.000       1317.865        106.476          2.061          0.000          0.000          0.000        315.484       2177.957          0.000         654.400         26.393        462.386          0.000
     31/12/1960      1960       1397.781        106.260          6.378          0.000          0.000          0.000          0.000          0.000          0.000        759.896       5716.927          0.000         450.100          0.000        410.315          0.000
     31/12/1961      1961          0.000          0.000          0.000        678.989         70.615          1.254          0.000          0.000          0.000        495.779       2621.090          0.000         745.300         11.522        551.688          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          9.341        163.113          0.000         871.900        102.442        522.532        203.485
     31/12/1963      1963       1629.970        119.014          3.905          0.000          0.000          0.000          0.000          0.000          0.000        499.760       4981.219          0.000         577.700         19.470        455.987         88.152
     31/12/1964      1964          0.000          0.000          0.000       2161.297        173.072          2.367          0.000          0.000          0.000        510.294       3135.333          0.000         650.500          1.341        512.525          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        427.521       1132.774          0.000         402.800          1.556        346.986          0.000
     31/12/1966      1966       3288.476        207.333          6.221          0.000          0.000          0.000          0.000          0.000          0.000        996.617       8678.517          0.000         572.500          0.747        377.593          0.000
     31/12/1967      1967          0.000          0.000          0.000       1048.983        114.279          1.826          0.000          0.000          0.000       2735.259       6237.008          0.000         385.700          3.373        308.587          0.000
     31/12/1968      1968       1225.124         87.392          3.156          0.000          0.000          0.000          0.000          0.000          0.000        723.513       4409.562          0.000         561.600          2.194        418.050          0.000
     31/12/1969      1969          0.000          0.000          0.000       2082.770        140.406          2.804          0.000          0.000          0.000        941.329       2598.180          0.000         621.900         11.269        404.372          3.391
