Summary_file = output\goondiwindi_lg1_50_LongFallow1_deep_AvgWindow.sum
Title = site=goondiwindi; soil=lg1; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.660          9.845          0.000         453.500          1.390        458.739         31.350
     31/12/1958      1958       4527.404        230.990          4.406          0.000          0.000          0.000          0.000          0.000          0.000       1197.460       8096.160          0.000         662.400         27.470        452.573         90.291
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000        378.504        137.200          3.253       5953.614       7354.755          0.000         654.400         29.127        343.477         93.638
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       3797.873         65.768          2.966       6210.081       8503.608          0.000         450.100          0.013        357.089          3.846
     31/12/1961      1961       2029.690        155.623          3.540          0.000          0.000          0.000          0.000          0.000          0.000       3073.416       6096.971          0.000         745.300         14.473        418.128         21.623
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         94.259          2.981       2114.225       4278.699          0.000         871.900         50.781        431.189        390.216
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4666.413        119.079          2.874       2438.371       5334.794          0.000         577.700          4.705        411.362          0.001
     31/12/1964      1964       3036.971        177.661          4.072          0.000          0.000          0.000          0.000          0.000          0.000       1102.589       6482.764          0.000         650.500          2.526        477.628         80.890
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000         54.642        123.412          3.508       3282.679       4620.954          0.000         402.800          0.171        310.260          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       4755.434         80.798          3.340       2673.675       4785.466          0.000         572.500          1.409        424.651          0.000
