Summary_file = output\warialda_cd2_200_w1_deep_AvgWindow.sum
Title = site=warialda; soil=cd2; treatment=w1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957       1190.693        107.740          2.320          0.000          0.000          0.000          0.000          0.000          0.000        344.441       3238.309          0.000         433.800          1.250        426.973         34.046
     31/12/1958      1958       4271.503        210.998          4.643          0.000          0.000          0.000          0.000          0.000          0.000       1220.587       7207.603          0.000         761.600         24.049        460.943          0.000
     31/12/1959      1959       2678.502        156.230          4.438          0.000          0.000          0.000          0.000          0.000          0.000       2130.597       6318.510          0.000         916.800         14.963        505.320        168.809
     31/12/1960      1960       2998.279        158.650          2.560          0.000          0.000          0.000          0.000          0.000          0.000        460.558       4245.912          0.000         567.000          0.387        438.828         62.447
     31/12/1961      1961       1882.378        153.114          6.297          0.000          0.000          0.000          0.000          0.000          0.000        738.988       6066.468          0.000         650.900          8.336        457.986          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         44.696        933.575          0.000         803.000         31.299        580.123        116.743
     31/12/1963      1963       1672.656        127.620          4.070          0.000          0.000          0.000          0.000          0.000          0.000        384.403       4982.945          0.000         722.000          4.843        521.250         97.447
     31/12/1964      1964       4026.100        193.606          5.181          0.000          0.000          0.000          0.000          0.000          0.000        696.372       6475.162          0.000         709.000         25.431        457.132        121.617
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        390.129       2213.849          0.000         355.900          1.346        343.864          0.000
     31/12/1966      1966       3701.396        203.343          6.201          0.000          0.000          0.000          0.000          0.000          0.000        563.800       7451.401          0.000         547.400          0.623        354.126          0.000
     31/12/1967      1967       1992.260        140.075          4.827          0.000          0.000          0.000          0.000          0.000          0.000       1889.522       5088.846          0.000         455.200          2.771        328.627         16.375
     31/12/1968      1968       2512.996        169.061          6.482          0.000          0.000          0.000          0.000          0.000          0.000       1109.799       7245.268          0.000         638.100         10.135        448.567          4.563
     31/12/1969      1969       2112.265        124.459          3.030          0.000          0.000          0.000          0.000          0.000          0.000        788.047       4591.400          0.000         687.900          4.682        466.681          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        174.773       1843.631          0.000         894.100         75.121        539.371        220.768
     31/12/1971      1971       1940.207        139.928          3.531          0.000          0.000          0.000          0.000          0.000          0.000        251.218       4181.700          0.000         894.099         69.813        481.139        343.059
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        441.738       2853.774          0.000         552.200          1.039        497.498          0.000
     31/12/1973      1973       3311.426        184.637          2.885          0.000          0.000          0.000          0.000          0.000          0.000        305.919       4637.324          0.000         816.400         29.820        507.890         33.039
     31/12/1974      1974       2650.811        147.649          2.922          0.000          0.000          0.000          0.000          0.000          0.000        481.888       4229.187          0.000         610.200         35.349        410.109        105.215
     31/12/1975      1975       3569.287        178.253          3.838          0.000          0.000          0.000          0.000          0.000          0.000        893.807       5642.204          0.000        1036.400         60.898        507.831        187.588
     31/12/1976      1976       3560.066        175.549          2.955          0.000          0.000          0.000          0.000          0.000          0.000        852.444       5459.679          0.000         817.900         90.490        442.733        251.848
     31/12/1977      1977       1468.311        121.024          3.278          0.000          0.000          0.000          0.000          0.000          0.000        871.251       4570.283          0.000         676.600         38.138        448.150         91.441
