Summary_file = output\warialda_lg1_200_w3_deep_AvgWindow.sum
Title = site=warialda; soil=lg1; treatment=w3; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957       2269.759        189.545          3.795          0.000          0.000          0.000          0.000          0.000          0.000        548.971       5049.309          0.000         433.800          2.891        413.589         41.879
     31/12/1958      1958          0.000          0.000          0.000       2465.079        200.000          2.982          0.000          0.000          0.000        896.073       3464.645          0.000         761.600         22.298        526.484          0.000
     31/12/1959      1959       3235.221        192.515          5.982          0.000          0.000          0.000          0.000          0.000          0.000        700.017       6743.771          0.000         916.800         36.550        546.744          0.000
     31/12/1960      1960          0.000          0.000          0.000       2360.605        261.196          2.858          0.000          0.000          0.000        804.015       3866.146          0.000         567.000          0.251        434.538         12.893
     31/12/1961      1961       2024.169        159.453          7.024          0.000          0.000          0.000          0.000          0.000          0.000        802.156       6439.389          0.000         650.900          9.718        447.827          0.000
     31/12/1962      1962          0.000          0.000          0.000       2374.340        222.504          2.782          0.000          0.000          0.000        319.286       3586.462          0.000         803.000         27.053        552.214          0.000
     31/12/1963      1963       2029.586        153.611          5.579          0.000          0.000          0.000          0.000          0.000          0.000        532.848       6196.673          0.000         722.000          8.683        504.652          0.000
     31/12/1964      1964          0.000          0.000          0.000       3324.645        251.018          3.174          0.000          0.000          0.000        647.471       3973.135          0.000         709.000         35.886        471.901         27.405
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        383.811       2061.244          0.000         355.900          0.927        337.319          0.000
     31/12/1966      1966       4684.810        237.448          5.742          0.000          0.000          0.000          0.000          0.000          0.000        669.053       7801.907          0.000         547.400          2.596        353.761          0.000
     31/12/1967      1967          0.000          0.000          0.000       1369.524        164.852          1.803          0.000          0.000          0.000       3132.441       5921.541          0.000         455.200          4.153        317.321          0.000
     31/12/1968      1968       2788.525        181.766          7.360          0.000          0.000          0.000          0.000          0.000          0.000        980.585       7955.206          0.000         638.100         19.620        447.930          0.000
     31/12/1969      1969          0.000          0.000          0.000       1414.235        123.252          1.995          0.000          0.000          0.000        609.661       3526.232          0.000         687.900          6.419        489.123          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        104.351       1135.462          0.000         894.100         88.341        530.731         13.536
     31/12/1971      1971       3393.031        217.248          4.492          0.000          0.000          0.000          0.000          0.000          0.000        344.677       5775.627          0.000         894.099         89.543        467.186        383.662
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        646.905       3638.876          0.000         552.200          1.466        488.658          0.000
     31/12/1973      1973       4617.912        237.732          3.862          0.000          0.000          0.000          0.000          0.000          0.000        396.071       6198.502          0.000         816.400         39.324        484.271          0.000
     31/12/1974      1974          0.000          0.000          0.000       1977.814        197.351          2.513          0.000          0.000          0.000        555.311       2793.594          0.000         610.200         32.055        409.442         45.291
     31/12/1975      1975       5529.880        262.975          5.220          0.000          0.000          0.000          0.000          0.000          0.000        907.581       7975.231          0.000        1036.400         94.101        490.527         98.899
     31/12/1976      1976          0.000          0.000          0.000       2507.691        234.116          3.210          0.000          0.000          0.000       1385.339       5417.651          0.000         817.900         83.124        445.515        204.521
     31/12/1977      1977       3086.110        198.079          3.676          0.000          0.000          0.000          0.000          0.000          0.000        979.990       5756.215          0.000         676.600         57.399        444.761          0.144
     31/12/1978      1978          0.000          0.000          0.000       2664.379        197.331          2.923          0.000          0.000          0.000        672.026       3777.734          0.000         858.400         18.048        561.562          0.000
     31/12/1979      1979       4949.252        254.456          5.298          0.000          0.000          0.000          0.000          0.000          0.000       1206.998       7563.516          0.000         620.300         34.355        366.237          0.000
     31/12/1980      1980          0.000          0.000          0.000       1238.094        153.254          2.139          0.000          0.000          0.000       1844.538       7097.592          0.000         533.200          2.603        370.240          0.000
     31/12/1981      1981       3961.121        223.798          8.194          0.000          0.000          0.000          0.000          0.000          0.000        901.765       8344.911          0.000         668.200         31.900        436.707          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        572.995       3758.661          0.000         525.900         11.493        372.048          0.000
     31/12/1983      1983       8269.913        315.424          7.826          0.000          0.000          0.000          0.000          0.000          0.000       1467.308      11180.137          0.000         957.300         67.355        423.134        101.682
     31/12/1984      1984          0.000          0.000          0.000       2253.758        261.773          3.152          0.000          0.000          0.000       3372.513       8011.252          0.000         832.400         35.615        413.877        299.736
     31/12/1985      1985       2690.957        158.808          3.972          0.000          0.000          0.000          0.000          0.000          0.000       1256.798       5010.015          0.000         651.600          5.815        441.112          0.000
     31/12/1986      1986          0.000          0.000          0.000       1740.748        164.237          2.158          0.000          0.000          0.000        436.881       2733.064          0.000         474.300          2.069        414.220          0.000
     31/12/1987      1987       2083.283        121.125          4.372          0.000          0.000          0.000          0.000          0.000          0.000        552.575       4441.252          0.000         692.700          0.012        548.525          0.000
     31/12/1988      1988          0.000          0.000          0.000       2302.013        231.511          3.242          0.000          0.000          0.000        616.535       3790.895          0.000         859.700         32.328        527.370         26.502
     31/12/1989      1989       3359.074        213.172          7.331          0.000          0.000          0.000          0.000          0.000          0.000        775.660       8018.358          0.000         745.200         23.481        462.482          0.000
     31/12/1990      1990          0.000          0.000          0.000       1969.030        184.147          2.734          0.000          0.000          0.000        786.689       3106.390          0.000         533.100          9.353        456.861          0.000
     31/12/1991      1991       3117.824        219.436          7.237          0.000          0.000          0.000          0.000          0.000          0.000        985.902       8083.634          0.000         743.500         43.665        430.313          0.000
     31/12/1992      1992          0.000          0.000          0.000       1459.016        120.431          1.873          0.000          0.000          0.000        565.554       2670.369          0.000         575.600          0.258        508.237          0.000
     31/12/1993      1993       1562.066        112.466          3.731          0.000          0.000          0.000          0.000          0.000          0.000        398.524       4539.438          0.000         582.300          0.292        432.313          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        369.418       2679.122          0.000         428.100         20.164        354.692          0.000
     31/12/1995      1995       3142.739        199.667          2.987          0.000          0.000          0.000          0.000          0.000          0.000        356.262       5426.592          0.000         802.200         35.106        465.190          0.000
     31/12/1996      1996          0.000          0.000          0.000       2489.369        251.059          3.030          0.000          0.000          0.000        338.371       3684.182          0.000         785.800         31.607        533.536         94.666
     31/12/1997      1997       3284.433        180.863          5.231          0.000          0.000          0.000          0.000          0.000          0.000        844.010       5310.795          0.000         676.200         22.530        451.304          0.000
     31/12/1998      1998          0.000          0.000          0.000       2981.664        230.745          3.079          0.000          0.000          0.000        564.416       3826.850          0.000         911.900         54.027        558.788         30.971
     31/12/1999      1999       6294.331        281.674          5.420          0.000          0.000          0.000          0.000          0.000          0.000       1003.689       8133.832          0.000         872.000         37.128        453.418          0.000
     31/12/2000      2000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        625.903       4068.022          0.000         821.000         81.992        490.706        191.702
     31/12/2001      2001       4887.062        273.362          7.864          0.000          0.000          0.000          0.000          0.000          0.000       1113.648       9523.839          0.000        1034.800        189.419        415.482        204.824
     31/12/2002      2002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3310.898       6157.670          0.000         469.300          9.485        351.675         84.333
