Summary_file = Mingenew300RedSCL.sum
Title = Mingenew 300mm wet soil RedSCL
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)
     07/10/1957       280      1957        332.800          301.112          0.000      10215.699       4382.675          0.429          0.810        154.236          1.918          8.406         36.376         34.882
     09/10/1958       282      1958        483.800          436.200          0.000      10758.128       4452.980          0.414          0.814        151.502          2.098          9.342         27.232        172.820
     29/09/1959       272      1959        217.500          208.814          0.000       7733.388       3174.709          0.411          0.798        125.155          2.228          7.074         56.955          4.362
     14/10/1960       288      1960        300.100          291.124          0.000      11251.684       4349.275          0.387          0.765        158.082          1.797          7.816         33.222         47.413
     05/10/1961       278      1961        236.900          221.587          0.000       9029.435       3431.177          0.380          0.783        134.860          2.091          7.175         51.233          2.478
     07/10/1962       280      1962        312.800          284.998          0.000       9634.623       4272.653          0.443          0.820        147.911          1.936          8.270         39.542         21.397
     03/10/1963       276      1963        445.900          402.314          0.000       7050.984       2835.001          0.402          0.617         96.400          2.219          6.292         37.585        190.810
     07/10/1964       281      1964        403.100          398.728          0.000      10459.178       3936.695          0.376          0.757        140.915          2.244          8.835         23.067        166.244
     07/10/1965       280      1965        400.300          368.802          0.001       9999.345       3961.952          0.396          0.805        143.042          2.214          8.773         32.098        119.001
     14/10/1966       287      1966        247.300          247.147          0.000       9042.925       3365.375          0.372          0.770        138.333          1.986          6.685         53.938          2.368
     07/10/1967       280      1967        355.200          330.045          0.001      10833.428       4760.595          0.439          0.805        161.791          1.803          8.582         35.792         38.772
     16/10/1968       290      1968        420.500          369.918          0.001      12107.135       5041.197          0.416          0.779        167.527          1.692          8.530         29.257         83.103
     08/10/1969       281      1969        189.700          172.814          0.001       7266.237       1705.613          0.235          0.643        117.069          2.816          4.804         65.247          0.404
     07/10/1970       280      1970        281.600          265.622          0.000       9121.925       3506.483          0.384          0.794        135.964          2.163          7.585         47.962         16.833
     16/10/1971       289      1971        258.900          252.952          0.000       9193.203       3370.093          0.367          0.757        143.183          1.928          6.496         55.328          3.205
     01/10/1972       275      1972        291.700          286.648          0.000       8227.273       3546.217          0.431          0.747        117.441          2.194          7.779         41.323         72.225
     10/10/1973       283      1973        316.100          314.118          0.000      10297.791       4121.047          0.400          0.788        143.758          1.930          7.955         44.306         57.782
     05/10/1974       278      1974        343.300          335.458          0.000       9915.316       4243.753          0.428          0.820        143.435          2.098          8.903         30.704        100.232
     07/10/1975       280      1975        290.500          284.468          0.000      10303.537       4061.460          0.394          0.778        151.885          1.886          7.660         44.927         38.183
     29/09/1976       273      1976        147.100          147.031          0.001       4414.889       1411.122          0.320          0.540         67.026          2.485          3.506         76.795          0.291
     01/10/1977       274      1977        158.600          158.485          0.001       4668.105       1383.440          0.296          0.586         70.508          2.593          3.587         82.270          8.174
     11/10/1978       284      1978        300.500          297.020          0.000      11200.111       4394.586          0.392          0.767        156.982          1.788          7.857         37.822         41.021
     10/10/1979       283      1979        161.100          158.320          0.001       5501.078       1535.414          0.279          0.598         82.827          2.558          3.927         75.018          0.421
     05/10/1980       279      1980        223.700          222.084          0.000       9184.542       3237.479          0.352          0.773        133.481          2.185          7.074         51.603          1.978
     09/10/1981       282      1981        331.300          314.393          0.000      10894.779       4143.501          0.380          0.771        151.977          1.919          7.952         34.765         65.949
     05/10/1982       278      1982        240.300          227.107          0.000       7755.354       2444.391          0.315          0.719        116.150          2.446          5.979         59.367         14.034
     27/09/1983       270      1983        294.500          287.327          0.000       8433.252       3504.580          0.416          0.761        119.597          2.232          7.824         43.238         73.478
     09/10/1984       283      1984        223.200          218.063          0.000       8016.804       2607.956          0.325          0.718        108.753          2.370          6.180         56.125          0.952
     01/10/1985       274      1985        195.400          195.392          0.000       7569.545       2923.998          0.386          0.809        112.565          2.345          6.858         61.901          1.722
     14/10/1986       287      1986        352.100          335.088          0.000      11638.097       4863.398          0.418          0.782        156.093          1.734          8.432         29.824         92.002
     01/10/1987       274      1987        182.000          181.206          0.000       7154.115       2461.354          0.344          0.703        108.367          2.454          6.040         58.768          1.101
     02/10/1988       276      1988        314.000          281.687          0.000      10315.831       4496.802          0.436          0.803        149.235          1.828          8.220         42.412         29.820
     10/10/1989       283      1989        230.000          220.344          0.000       8328.835       2083.027          0.250          0.706        129.219          2.634          5.487         61.432          0.584
     13/10/1990       286      1990        386.700          349.757          0.000       9130.728       3061.530          0.335          0.759        129.401          2.168          6.637         51.382        109.283
     04/10/1991       277      1991        232.500          224.330          0.000       8282.397       3598.776          0.435          0.827        118.795          2.131          7.669         50.495          5.137
     10/10/1992       284      1992        328.800          320.872          0.000      10164.893       3958.000          0.389          0.795        137.786          2.070          8.193         42.352         80.949
     13/10/1993       286      1993        259.400          254.663          0.000      10651.706       4119.511          0.387          0.758        150.881          1.748          7.199         46.445         13.729
     27/09/1994       270      1994        245.200          237.174          0.000       8283.143       3187.181          0.385          0.795        136.331          2.322          7.402         50.194          2.536
     07/10/1995       280      1995        246.000          240.248          0.000      10003.846       3867.467          0.387          0.770        153.127          1.854          7.169         46.291          7.721
     29/09/1996       273      1996        362.000          351.521          0.000       8121.339       3226.320          0.397          0.649        110.246          2.183          7.044         34.623        139.996
     06/10/1997       279      1997        274.400          263.961          0.000       9438.229       3979.470          0.422          0.799        146.491          1.878          7.472         54.401         12.662
     06/10/1998       279      1998        300.600          280.243          0.000       9924.736       4035.034          0.407          0.812        135.501          2.151          8.678         35.920         35.632
     04/10/1999       277      1999        465.200          350.876          0.000      11076.046       4911.110          0.443          0.809        162.972          1.843          9.051         32.610         68.984
     03/10/2000       277      2000        201.700          201.698          0.000       8548.312       3471.552          0.406          0.798        128.509          2.005          6.961         58.743          2.923
     06/10/2001       279      2001        215.100          215.083          0.001       5796.109       1481.153          0.256          0.580         95.351          2.629          3.893         76.162         29.010
     01/10/2002       274      2002        148.600          148.600          0.000       4625.963       1155.204          0.250          0.529         68.649          2.781          3.212         85.845          0.107
