Summary_file = Walgett750.sum
Title = Walgett 750mm wet soil
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)
     16/10/1957       289      1957         49.800           49.800          0.001       5563.735       1266.197          0.228          0.428         93.671          2.849          3.608        104.558          2.669
     17/10/1958       290      1958        220.800          218.963          0.001       8970.892       3001.180          0.335          0.592        147.680          2.565          7.699         56.530         47.133
     21/10/1959       294      1959        170.900          170.900          0.000       7852.914       2341.923          0.298          0.439        143.454          2.212          5.181         62.507          9.259
     18/10/1960       292      1960         73.500           73.500          0.001       5848.125       1406.014          0.240          0.426         93.643          2.828          3.977         92.906          3.260
     12/10/1961       285      1961         83.900           83.900          0.000       5099.628       1392.496          0.273          0.616         95.458          2.665          3.711        138.523          5.609
     13/10/1962       286      1962        191.200          191.200          0.000       7574.215       2836.364          0.374          0.558        142.502          2.405          6.821         77.712         16.354
     14/10/1963       287      1963        179.300          175.433          0.000       8894.363       2700.910          0.304          0.590        150.960          2.744          7.412         59.968         16.191
     14/10/1964       288      1964        191.300          191.300          0.000       6847.476       1831.510          0.267          0.385        113.364          2.354          4.312         69.514         57.100
     12/10/1965       285      1965         81.400           81.400          0.000       4529.900       1423.382          0.314          0.667         85.032          2.285          3.253        160.619          8.200
     21/10/1966       294      1966        229.300          229.295          0.000      12264.339       4166.132          0.340          0.731        187.232          2.347          9.776         48.083         14.817
     13/10/1967       286      1967        127.800          127.800          0.000       8038.834       1934.245          0.241          0.488        124.506          2.937          5.682         64.178          4.404
     24/10/1968       298      1968        169.000          169.000          0.000       8472.119       3011.671          0.355          0.571        140.354          2.299          6.925         73.478         12.694
     16/10/1969       289      1969        256.800          256.782          0.001      11310.161       4568.425          0.404          0.791        185.945          2.340         10.688         48.890         51.563
     19/10/1970       292      1970        151.600          151.600          0.000       6122.455       2450.900          0.400          0.610        106.898          2.528          6.197        104.699         50.053
     18/10/1971       291      1971        161.000          160.986          0.000       8913.598       3220.003          0.361          0.602        147.081          2.433          7.836         64.848         17.132
     08/10/1972       282      1972         69.500           69.500          0.000       4692.232       1273.840          0.271          0.663         88.717          2.562          3.264        152.215          4.853
     07/10/1973       280      1973        162.100          162.100          0.000       8146.473       3022.638          0.371          0.548        132.521          2.300          6.953         72.190         12.309
     20/10/1974       293      1974        117.500          117.500          0.000       5285.214       1615.931          0.306          0.648         90.656          2.377          3.841        146.198         10.507
     09/10/1975       282      1975        127.000          127.000          0.000       7552.495       2024.941          0.268          0.464        126.482          2.531          5.126         75.127          5.116
     16/10/1976       290      1976        120.100          120.100          0.000       5975.573       1872.574          0.313          0.579        104.706          2.406          4.505        116.834          5.277
     13/10/1977       286      1977         99.600           99.057          0.001       6651.562       1544.507          0.232          0.637        121.320          2.827          4.366        115.767          4.518
