Summary_file = fieldS113.sum
Title = south plots field
           year          month            day      day_month   brA(1-20)(1)   brA(1-20)(2)   brA(1-20)(3)   brA(1-20)(4)   brA(1-20)(5)   brA(1-20)(6)   brA(1-20)(7)   brA(1-20)(8)   brA(1-20)(9)  brA(1-20)(10)  brA(1-20)(11)  brA(1-20)(12)  brA(1-20)(13)  brA(1-20)(14)  brA(1-20)(15)  brA(1-20)(16)  brA(1-20)(17)  brA(1-20)(18)  brA(1-20)(19)  brA(1-20)(20)      leach_brA   brB(1-20)(1)   brB(1-20)(2)   brB(1-20)(3)   brB(1-20)(4)   brB(1-20)(5)   brB(1-20)(6)   brB(1-20)(7)   brB(1-20)(8)   brB(1-20)(9)  brB(1-20)(10)  brB(1-20)(11)  brB(1-20)(12)  brB(1-20)(13)  brB(1-20)(14)  brB(1-20)(15)  brB(1-20)(16)  brB(1-20)(17)  brB(1-20)(18)  brB(1-20)(19)  brB(1-20)(20)      leach_brB   brC(1-20)(1)   brC(1-20)(2)   brC(1-20)(3)   brC(1-20)(4)   brC(1-20)(5)   brC(1-20)(6)   brC(1-20)(7)   brC(1-20)(8)   brC(1-20)(9)  brC(1-20)(10)  brC(1-20)(11)  brC(1-20)(12)  brC(1-20)(13)  brC(1-20)(14)  brC(1-20)(15)  brC(1-20)(16)  brC(1-20)(17)  brC(1-20)(18)  brC(1-20)(19)  brC(1-20)(20)      leach_brC   brD(1-20)(1)   brD(1-20)(2)   brD(1-20)(3)   brD(1-20)(4)   brD(1-20)(5)   brD(1-20)(6)   brD(1-20)(7)   brD(1-20)(8)   brD(1-20)(9)  brD(1-20)(10)  brD(1-20)(11)  brD(1-20)(12)  brD(1-20)(13)  brD(1-20)(14)  brD(1-20)(15)  brD(1-20)(16)  brD(1-20)(17)  brD(1-20)(18)  brD(1-20)(19)  brD(1-20)(20)      leach_brD     uptake_brA     uptake_brB     uptake_brC     uptake_brD
         (year)        (month)          (day)          (day)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()             ()
           1993              7            202             21          4.910         17.081         27.015         36.083         81.962         84.470         41.933         17.434          6.516          1.388          0.185          0.021          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.770          4.214         21.785        287.008          5.212          0.011          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
           1993              8            238             26          2.495          3.887          6.355         11.706         31.011         68.954         72.412         57.981         42.833         16.489          3.893          0.807          0.150          0.024          0.003          0.000          0.000          0.000          0.000          0.000          0.000          5.338          8.299         13.476         23.913         58.295         90.799         63.003         34.183         16.759          4.125          0.687          0.106          0.015          0.002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
           1993             10            279              6          0.007          0.012          0.028          0.136          1.072          5.742         14.890         31.201         70.113         92.784         58.854         28.150         11.069          3.622          1.005          0.247          0.055          0.011          0.002          0.000          0.000          0.013          0.023          0.054          0.260          2.013         10.098         23.618         43.301         79.987         86.433         45.953         18.661          6.282          1.769          0.424          0.090          0.017          0.003          0.000          0.000          0.000          1.976          6.035         27.688        276.323          6.958          0.019          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
           1993             11            312              8          0.017          0.044          0.080          0.232          1.052          6.741         15.312         31.692         71.374         90.664         56.255         27.893         11.569          4.225          1.338          0.381          0.100          0.024          0.006          0.001          0.000          0.031          0.082          0.148          0.428          1.912         11.552         23.645         42.771         81.307         84.459         44.165         18.779          6.757          2.163          0.604          0.153          0.035          0.008          0.002          0.000          0.000          6.043         15.644         27.303         61.490        145.448         60.198          2.782          0.090          0.003          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
           1993             12            342              8          0.029          0.048          0.123          0.321          1.243          7.006         16.300         31.655         69.588         90.096         56.429         28.224         11.583          4.356          1.425          0.421          0.114          0.029          0.007          0.002          0.000          0.053          0.087          0.222          0.575          2.182         11.783         24.677         42.004         79.434         84.250         44.599         19.160          6.832          2.261          0.656          0.172          0.042          0.009          0.002          0.000          0.000          4.991          8.122         20.501         44.129        109.723        114.049         16.306          1.121          0.058          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.121          0.583          6.049        306.949          5.284          0.014          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
           1994              5            123              3          0.007          0.012          0.036          0.067          0.161          0.589          1.813          5.598         20.978         63.267         76.891         65.083         43.505         23.582         10.735          4.332          1.581          0.526          0.165          0.050          0.000          0.012          0.020          0.059          0.111          0.263          0.935          2.732          7.840         27.214         72.318         79.254         60.978         37.154         18.362          7.619          2.802          0.932          0.283          0.081          0.022          0.000          0.273          0.449          1.309          2.396          5.191         14.854         28.276         44.737         76.866         77.991         41.268         17.104          5.971          1.752          0.440          0.099          0.020          0.004          0.001          0.000          0.000          0.394          0.649          1.890          3.435          7.261         19.696         34.361         49.493         77.012         70.238         34.632         13.637          4.584          1.308          0.322          0.071          0.014          0.003          0.000          0.000          0.000          0.000          0.000          0.000          0.000
           1998             10            296             23          0.993          1.695          3.282          9.681         31.389         47.457         25.307          7.107          1.049          0.038          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
           1999             12            343              9          0.003          0.008          0.024          0.139          0.863          4.479         10.543         17.473         33.995         31.504         16.819          7.917          2.841          0.992          0.296          0.078          0.019          0.004          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
           2000             12            348             13          0.012          0.020          0.058          0.206          0.984          5.527         13.304         24.193         41.245         27.242         10.765          3.374          0.865          0.162          0.033          0.007          0.001          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000
