Summary_file = output\coonamble_lg1_200_oc2_deep_AvgWindow.sum
Title = site=coonamble; soil=lg1; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957           1957          0.000          0.000          0.000          0.000          0.000          0.000       3926.950        189.264          2.851       1886.497       4681.658          0.000         240.300          9.302        238.139         16.072
     31/12/1958           1958       5398.465        240.155          5.248          0.000          0.000          0.000          0.000          0.000          0.000       1294.437       8111.760          0.000         642.900         26.054        416.516          0.000
     31/12/1959           1959          0.000          0.000          0.000       2430.332        211.261          2.979          0.000          0.000          0.000       5736.481       7749.299          0.000         685.200         42.798        287.491        108.472
     31/12/1960           1960          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       4305.948       6562.162          0.000         399.100          0.000        364.003          0.000
     31/12/1961           1961       1830.930        136.379          5.608          0.000          0.000          0.000          0.000          0.000          0.000       1098.640       5823.895          0.000         445.200          0.031        377.558          0.000
     31/12/1962           1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.116          0.377        118.878       1450.081          0.000         641.300          2.449        518.784          0.000
     31/12/1963           1963          0.000          0.000          0.000          0.000          0.000          0.000       5041.245        205.367          3.116        927.101       4828.480          0.000         555.600          4.815        426.810          0.000
     31/12/1964           1964       2966.252        153.738          3.672          0.000          0.000          0.000          0.000          0.000          0.000        617.280       5399.912          0.000         449.100          1.480        364.218          0.000
     31/12/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2796.059       4576.834          0.000         342.700          9.453        250.033          0.000
     31/12/1966           1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         54.824        140.864          0.000         374.800          1.593        367.418          0.000
