Summary_file = fertiliz.sum
Title = Fertiliz Sample Simulation
            day           year     fertilizer          no3()          nh4()
          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)
              1           1988          0.000         83.310          7.349
              2           1988          0.000         84.935          6.176
              3           1988          0.000         86.365          5.269
              4           1988          0.000         87.652          4.629
              5           1988        100.000        111.301         81.644
              6           1988          0.000        131.325         62.260
              7           1988          0.000        147.441         46.744
              8           1988          0.000        160.037         34.733
              9           1988          0.000        170.230         25.144
             10           1988        100.000        278.012         18.013
             11           1988          0.000        283.766         12.933
             12           1988          0.000        287.984          9.400
             13           1988          0.000        291.084          6.979
             14           1988          0.000        293.389          5.329
             15           1988        100.000        395.141          4.202
             16           1988          0.000        396.474          3.453
             17           1988          0.000        397.600          2.935
             18           1988          0.000        398.569          2.623
             19           1988          0.000        399.441          2.432
             20           1988          0.000        398.684          2.328
             21           1988          0.000        398.737          2.267
             22           1988          0.000        398.978          2.221
             23           1988          0.000        399.490          2.179
             24           1988          0.000        400.160          2.164
             25           1988        100.000        500.886          2.156
             26           1988          0.000        501.596          2.123
             27           1988          0.000        502.288          2.079
             28           1988          0.000        502.963          2.035
             29           1988          0.000        503.612          1.975
             30           1988          0.000        504.238          1.929
