Summary_file=fertiliz.sum
Title =fertiliz sample simulation
    day   year     fertilizer          no3()          nh4()
     ()     ()        (kg/ha)        (kg/ha)        (kg/ha)
      1   1988          0.000         83.338          7.500
      2   1988          0.000         85.038          6.442
      3   1988          0.000         86.575          5.625
      4   1988          0.000         87.999          5.065
      5   1988        100.000        111.760         82.166
      6   1988          0.000        131.913         62.827
      7   1988          0.000        148.163         47.322
      8   1988          0.000        160.898         35.301
      9   1988          0.000        171.236         25.688
     10   1988        100.000        279.161         18.534
     11   1988          0.000        285.054         13.428
     12   1988          0.000        289.404          9.867
     13   1988          0.000        292.627          7.415
     14   1988          0.000        295.045          5.734
     15   1988        100.000        396.897          4.575
     16   1988          0.000        398.320          3.796
     17   1988          0.000        399.527          3.254
     18   1988          0.000        400.567          2.930
     19   1988          0.000        401.505          2.728
     20   1988          0.000        400.286          2.683
     21   1988          0.000        400.066          2.606
     22   1988          0.000        400.241          2.526
     23   1988          0.000        400.776          2.461
     24   1988          0.000        401.540          2.430
     25   1988        100.000        502.313          2.407
     26   1988          0.000        503.062          2.358
     27   1988          0.000        503.787          2.299
     28   1988          0.000        504.488          2.240
     29   1988          0.000        505.155          2.169
