Summary_file = output\coonamble_lg1_50_w1_deep_AvgWindow.sum
Title = site=coonamble; soil=lg1; treatment=w1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          9.978        260.706         21.140
     31/12/1958      1958       5022.345        250.771          5.388          0.000          0.000          0.000          0.000          0.000          0.000       1324.768       9589.633          0.000         642.900         48.421        415.501         86.492
     31/12/1959      1959       1731.774        131.711          2.454          0.000          0.000          0.000          0.000          0.000          0.000       7843.698      10247.331          0.000         685.200         64.506        190.112        173.422
     31/12/1960      1960       2377.684        167.914          3.338          0.000          0.000          0.000          0.000          0.000          0.000       6933.538      10157.444          0.000         399.100          1.185        225.634          0.001
     31/12/1961      1961       1857.059        156.757          2.711          0.000          0.000          0.000          0.000          0.000          0.000       6213.945       9059.193          0.000         445.200          4.571        272.063         41.622
     31/12/1962      1962       2097.847        156.601          2.882          0.000          0.000          0.000          0.000          0.000          0.000       4014.505       7425.413          0.000         641.300          1.485        352.043         48.653
     31/12/1963      1963       1838.834        133.667          2.470          0.000          0.000          0.000          0.000          0.000          0.000       3018.786       5723.766          0.000         555.600          6.790        371.249        154.258
     31/12/1964      1964       1933.495        131.964          2.874          0.000          0.000          0.000          0.000          0.000          0.000       3134.042       5848.041          0.000         449.100          0.000        354.589          0.001
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       4836.580       5498.168          0.000         342.700          3.511        245.184          0.000
     31/12/1966      1966       3590.018        207.073          5.074          0.000          0.000          0.000          0.000          0.000          0.000       2061.659       7678.079          0.000         374.800          0.168        295.673          0.000
     31/12/1967      1967       1793.458        147.672          2.840          0.000          0.000          0.000          0.000          0.000          0.000       5511.454       8167.274          0.000         327.800          0.504        195.876          0.000
     31/12/1968      1968       2184.709        164.373          3.230          0.000          0.000          0.000          0.000          0.000          0.000       5030.110       8177.404          0.000         519.800          7.739        283.899          0.000
     31/12/1969      1969       2334.624        157.097          3.395          0.000          0.000          0.000          0.000          0.000          0.000       3831.729       7790.748          0.000         671.000         12.621        389.244          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2168.617       5170.822          0.000         601.600          2.112        453.824        100.277
