Summary_file = output\kend_psw_r.sum
Title = 
           date      year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     15/05/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000        609.049        959.117          0.000          83.800          0.000         90.048          0.000
     07/09/1958      1958          0.000         34.359          1.612          0.000          0.000          0.000        101.708        230.717          0.000         327.700         11.900        108.350        165.091
     26/09/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000       2814.802       3019.448          0.000          55.700          0.000         26.297         14.654
     24/02/1959      1959          0.000          0.000          0.000        481.858         47.417          0.929       1827.240       2657.624          0.000         141.700          0.247        119.452         33.081
     19/06/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000        676.087        943.239          0.000         182.800          2.500        106.857         11.200
     24/11/1959      1959       1952.431         88.308          2.174          0.000          0.000          0.000        142.778        328.089          0.000         354.300         15.311        157.178         98.386
     14/05/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       3892.052       4659.014          0.000         237.800          2.682        127.048        117.822
     06/09/1960      1960          0.000         14.139          0.958          0.000          0.000          0.000       2208.753       3126.838          0.000         281.700          0.782         84.368        191.963
     27/01/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       2519.251       3014.055          0.000         114.900          0.000         88.564         13.335
     27/06/1961      1961          0.000          0.000          0.000       1276.918         45.511          1.130        907.688       2256.170          0.000         298.800         18.754        132.807        107.995
     02/07/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000        579.503        594.042          0.000          37.900          1.499          5.800          7.168
     02/12/1961      1961       1109.820         58.206          1.758          0.000          0.000          0.000        244.811        561.469          0.000         272.800          7.753        141.624        131.656
     15/05/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       2407.874       3032.983          0.000         109.100          6.690         72.747          7.195
     07/09/1962      1962          0.000         15.796          0.666          0.000          0.000          0.000       1034.658       2027.716          0.000         340.500          8.116        113.793        170.680
     04/10/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       1548.085       1827.886          0.000          54.800          0.258         37.524         17.251
     04/03/1963      1963          0.000          0.000          0.000       1004.322         48.842          1.166        665.874       1367.028          0.000         147.900          0.000        140.188         28.742
     15/05/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000        466.820        598.698          0.000         188.900         24.227         66.003          4.574
     02/11/1963      1963       1726.364         65.376          1.872          0.000          0.000          0.000         84.739        265.332          0.000         427.600         16.021        162.329        220.685
     14/05/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       3666.924       4254.680          0.000          81.800          0.000         92.448          1.021
     06/09/1964      1964          0.000          9.820          0.506          0.000          0.000          0.000       2304.271       3059.928          0.000         386.100         11.087         88.111        267.117
     07/10/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       2469.549       2625.388          0.000          69.200          0.003         40.137          4.291
     07/03/1965      1965          0.000          0.000          0.000        480.089         44.956          1.159       1459.306       2279.633          0.000         137.600          0.000        120.782         44.147
     28/05/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000        688.231        818.333          0.000         144.200          3.017         74.913          2.565
     19/11/1965      1965       1925.200         79.726          2.579          0.000          0.000          0.000        190.197        482.447          0.000         438.600         14.017        166.694        191.285
     15/05/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       3781.611       4982.123          0.000         147.100          0.000        122.649         29.776
     07/09/1966      1966          0.000         13.655          0.845          0.000          0.000          0.000       1779.512       2716.432          0.000         240.800          4.991         91.851        126.463
     11/10/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       2086.306       2361.573          0.000          86.200          0.024         47.589         24.552
     11/03/1967      1967          0.000          0.000          0.000       1005.284         54.283          1.123        906.375       1753.991          0.000         122.600          0.000        108.529         27.000
     30/06/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000        389.457        728.835          0.000         224.300          2.172        138.316         16.841
     04/12/1967      1967       1311.748         63.672          2.386          0.000          0.000          0.000         64.617        139.298          0.000         269.000         14.595        148.840        108.206
     14/05/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000       2556.905       3412.210          0.000         178.800          0.003        135.984          0.000
     06/09/1968      1968          0.000         16.511          1.079          0.000          0.000          0.000        907.433       1524.416          0.000         275.200          2.589        105.346        139.904
     29/06/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000        881.277       2209.345          0.000         311.100          4.165        222.475         53.020
     05/12/1969      1969       1394.503         59.307          2.635          0.000          0.000          0.000         69.468        205.604          0.000         219.900          8.190        154.616         82.235
     15/05/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2349.607       3039.002          0.000         141.300          2.075         90.373          0.000
     07/09/1970      1970          0.000         23.222          1.119          0.000          0.000          0.000        750.604       1345.003          0.000         230.400          0.163        107.339        101.029
     24/09/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2288.152       2551.330          0.000          44.500          0.000         23.009          3.299
     22/02/1971      1971          0.000          0.000          0.000        408.731         46.360          0.999       1092.792       2034.745          0.000         146.400          0.000        126.776         38.917
     22/05/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000        589.302        739.320          0.000         144.400         12.784         65.021          0.000
     25/11/1971      1971       2902.958        102.892          3.331          0.000          0.000          0.000        135.625        354.187          0.000         410.300         10.350        162.518        116.815
     14/05/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       6253.352       6965.677          0.000          99.100          0.000         89.403         35.397
     06/09/1972      1972          0.000         19.582          0.989          0.000          0.000          0.000       4401.697       5608.581          0.000         225.900          0.000         52.049        157.290
     26/05/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       4475.326       5486.666          0.000         195.800          0.000        134.410         49.114
     24/11/1973      1973       1046.997         47.908          1.463          0.000          0.000          0.000       1245.143       3015.284          0.000         473.800          3.185        171.681        266.220
     15/05/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       2523.441       3286.665          0.000         146.800          0.000        115.990         13.517
     07/09/1974      1974          0.000         26.889          1.249          0.000          0.000          0.000        843.286       1337.546          0.000         266.700          3.772        107.992        167.337
     19/11/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       2455.166       2883.473          0.000         102.800          0.000         72.886          0.392
     19/04/1975      1975          0.000          0.000          0.000        713.625         43.386          1.076       1626.877       2116.512          0.000          93.500          0.029         67.441         17.815
     20/05/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000        518.448        694.801          0.000          62.300          0.080         41.409          0.000
     16/11/1975      1975       1811.514         75.902          2.426          0.000          0.000          0.000        137.788        394.688          0.000         373.400         14.087        171.484        127.630
     14/05/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       3926.156       4718.223          0.000         212.800          0.174        113.123         88.767
     06/09/1976      1976          0.000         21.198          1.064          0.000          0.000          0.000       1796.217       2800.396          0.000         260.300          1.466         86.454        133.992
     12/10/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       2577.795       2924.343          0.000          76.100          0.000         48.158         12.397
     12/03/1977      1977          0.000          0.000          0.000        466.937         41.924          1.073       1068.583       2188.520          0.000         117.500          0.040        102.109         53.491
     19/05/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000        681.156        740.236          0.000          78.700          2.712         39.980          0.000
     15/11/1977      1977       1833.475         68.582          2.267          0.000          0.000          0.000        146.073        434.634          0.000         415.300         32.380        165.730        132.558
     15/05/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       3420.312       4691.364          0.000         170.800          0.048        128.420         54.444
     07/09/1978      1978          0.000         10.825          0.730          0.000          0.000          0.000       1547.410       2557.243          0.000         316.200          2.052        100.406        182.265
     02/10/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       1736.663       2020.375          0.000          72.300          0.000         42.175         13.594
     02/03/1979      1979          0.000          0.000          0.000       1004.086         45.313          1.131        845.300       1459.426          0.000         122.900          0.000        109.969         26.633
     22/05/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000        428.950        580.017          0.000          70.400          0.000         62.722          0.000
     19/11/1979      1979       1917.178         76.473          2.464          0.000          0.000          0.000        117.232        341.053          0.000         392.600          6.118        181.964         86.506
     14/05/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000       4521.778       5236.041          0.000         134.600          0.000         93.020         58.640
     06/09/1980      1980          0.000         21.926          1.206          0.000          0.000          0.000       2246.490       3368.806          0.000         244.800          1.608         79.349        134.907
     17/10/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000       3134.021       3525.225          0.000          84.000          0.000         57.493          9.297
     17/03/1981      1981          0.000          0.000          0.000         90.576         40.306          1.067       1724.118       2705.047          0.000         114.100          0.008        102.283         44.364
     30/05/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000        727.307       1009.236          0.000         111.600          0.124         64.677          0.000
     26/11/1981      1981       1453.625         61.312          2.063          0.000          0.000          0.000        214.993        506.837          0.000         324.800          4.642        171.085        127.987
     15/05/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       2915.131       3879.397          0.000         268.500         91.520        103.024         41.542
     07/09/1982      1982          0.000         20.757          1.452          0.000          0.000          0.000       1519.348       2311.913          0.000         190.100          0.002         89.120         69.762
     29/11/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       2195.922       2788.513          0.000          81.600          0.000         72.009          0.692
     21/04/1983      1983          0.000          0.000          0.000       1067.353         45.124          1.182       1354.277       1877.604          0.000          67.600          0.000         78.624          2.356
     20/06/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000        428.114        597.825          0.000          95.600          0.686         62.963          0.000
     30/11/1983      1983       1976.530         81.851          3.075          0.000          0.000          0.000         94.162        247.396          0.000         300.200          6.139        163.723         59.591
     14/05/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       3796.482       4745.686          0.000         125.300          0.000         99.588          0.000
     06/09/1984      1984          0.000          9.945          0.667          0.000          0.000          0.000       1838.407       3045.178          0.000         324.700          3.379         99.540        168.827
     07/11/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       1614.457       2051.163          0.000         109.600          0.000         81.361         62.460
     05/04/1985      1985          0.000          0.000          0.000       1399.772         56.007          1.319        649.723       1176.441          0.000         131.700          3.198         95.771         33.795
     02/07/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000        431.388        682.992          0.000         160.000         12.169         92.028          0.000
     10/12/1985      1985       1978.518         88.830          3.339          0.000          0.000          0.000         72.562        203.998          0.000         249.400          0.313        164.086         48.111
     15/05/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000       4711.251       5106.705          0.000          91.800          0.000         67.030          0.000
     07/09/1986      1986          0.000         16.755          1.188          0.000          0.000          0.000       2754.083       3963.650          0.000         252.800          0.155         72.516        131.007
     15/05/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       2429.662       3573.055          0.000         226.000          3.723        167.279         38.369
     04/11/1987      1987       2309.997         80.273          2.324          0.000          0.000          0.000        377.269        998.518          0.000         209.600          0.000        138.329         31.878
     14/05/1988      1988          0.000          0.000          0.000          0.000          0.000          0.000       2960.115       4529.931          0.000         239.800         23.776        135.827         17.708
     06/09/1988      1988          0.000         14.814          0.681          0.000          0.000          0.000        917.278       1740.946          0.000         338.300          6.121        124.188        233.706
     01/10/1988      1988          0.000          0.000          0.000          0.000          0.000          0.000       1474.367       1850.791          0.000          67.800          0.000         43.370         10.108
     01/03/1989      1989          0.000          0.000          0.000       1414.031         62.787          1.276        584.643       1073.561          0.000         187.600          0.015        143.477         26.486
     18/06/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000        483.644        720.280          0.000         132.600          0.112        114.176          0.000
     01/12/1989      1989       2498.810         98.184          3.068          0.000          0.000          0.000        102.268        245.125          0.000         302.800          1.710        174.945         47.193
     15/05/1990      1990          0.000          0.000          0.000          0.000          0.000          0.000       4303.269       5629.919          0.000         172.200          0.000        129.519         22.694
     07/09/1990      1990          0.000         15.234          1.029          0.000          0.000          0.000       1625.836       2663.662          0.000         276.600          6.432         96.759        162.889
     18/06/1991      1991          0.000          0.000          0.000          0.000          0.000          0.000        873.698       2344.901          0.000         299.700          1.300        238.729         27.726
     30/11/1991      1991       1540.526         63.370          2.090          0.000          0.000          0.000         42.777        152.504          0.000         341.200         26.099        178.537        134.195
     14/05/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000       2559.898       3502.099          0.000         119.800          0.000        105.988          0.000
     06/09/1992      1992          0.000         19.005          1.165          0.000          0.000          0.000        941.351       1716.203          0.000         340.600          7.841        102.355        136.640
     07/10/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000       2239.796       2603.587          0.000          85.400          1.380         48.275         55.551
     07/03/1993      1993          0.000          0.000          0.000        686.038         44.262          1.133        993.205       1940.977          0.000         147.600          3.467        113.156         66.703
     30/05/1993      1993          0.000          0.000          0.000          0.000          0.000          0.000        481.550        702.310          0.000         220.500         23.205         84.262         31.111
     27/11/1993      1993       2428.459         96.181          2.996          0.000          0.000          0.000        111.074        290.118          0.000         310.900          2.777        174.880         88.512
     15/05/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000       5715.097       6103.111          0.000          67.000          0.000         39.733          0.000
     07/09/1994      1994          0.000         11.337          0.507          0.000          0.000          0.000       4075.919       5166.158          0.000         287.200          3.233         68.776        195.897
     15/05/1995      1995          0.000          0.000          0.000          0.000          0.000          0.000       3285.755       4228.063          0.000         149.200          0.000        131.692         27.078
     06/11/1995      1995       1455.952         60.686          2.039          0.000          0.000          0.000       1093.471       2818.097          0.000         340.800          0.576        144.606        135.085
     14/05/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000       3292.521       4300.409          0.000         121.500          0.000        110.353         25.278
     06/09/1996      1996          0.000         25.666          1.221          0.000          0.000          0.000       1709.426       2711.979          0.000         306.800          0.993         82.097        191.087
     16/09/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000       3252.719       3428.202          0.000          62.900          0.338         13.092          2.977
     14/02/1997      1997          0.000          0.000          0.000        356.745         41.492          1.079       1499.591       3058.228          0.000         162.300          0.000        134.607         80.385
