Summary_file = output\sal_pfw.sum
Title = 
           date      year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     24/07/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000        527.702        961.164          0.000         180.400          4.067        156.766          2.283
     16/12/1958      1958       1673.385        118.376          2.985          0.000          0.000          0.000         99.580        203.213          0.000         230.700          1.535        127.996         65.484
     15/05/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000       4196.231       4789.711          0.000          78.500          0.000         84.239          0.000
     07/09/1959      1959          0.000         48.103          1.309          0.000          0.000          0.000       2499.778       3193.654          0.000          98.600          0.000         72.269          0.000
     25/07/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2754.200       4881.241          0.000         495.400          9.242        295.013         81.637
     14/12/1960      1960       1018.044         71.118          1.794          0.000          0.000          0.000        350.075        589.664          0.000          98.000          0.000        106.932         19.976
     15/05/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       1832.885       2656.980          0.000         229.500         19.640         99.349         36.337
     07/09/1961      1961          0.000         60.757          2.117          0.000          0.000          0.000        951.366       1183.847          0.000          90.100          0.000         69.561          0.493
     16/05/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       4067.613       4736.263          0.000         120.800          0.000        107.322          0.000
     06/11/1962      1962       1189.745         74.333          1.521          0.000          0.000          0.000        846.157       2212.703          0.000         200.000          0.000        157.900          0.000
     15/05/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       2216.654       3306.593          0.000         281.200          6.419        180.169          9.135
     07/09/1963      1963          0.000         35.171          1.456          0.000          0.000          0.000        559.944        953.326          0.000         199.400          0.508        114.871         84.860
     12/07/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       1441.337       3034.968          0.000         227.200          1.460        195.683          0.000
     13/12/1964      1964       1817.894        113.483          2.826          0.000          0.000          0.000         80.628        240.505          0.000         196.900          2.200        138.114         43.321
     15/05/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000       4736.399       4921.996          0.000         106.200          2.219         46.792          0.000
     07/09/1965      1965          0.000         24.302          1.029          0.000          0.000          0.000       3473.175       4409.406          0.000         191.800          0.015         69.364         64.989
     28/06/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       2890.598       4814.534          0.000         265.600         16.932        194.613         43.481
     02/12/1966      1966       1339.262         88.612          2.046          0.000          0.000          0.000        655.772       1312.045          0.000         134.200          0.139        130.856         15.382
     15/05/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000       3452.313       3986.990          0.000          75.900          0.000         76.797          0.000
     07/09/1967      1967          0.000         31.730          1.239          0.000          0.000          0.000       1832.433       2872.836          0.000         204.300          5.006         90.291          1.018
     11/06/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000       1969.201       3702.575          0.000         272.200          9.776        219.610          3.727
     28/11/1968      1968       1285.242         82.142          2.138          0.000          0.000          0.000        148.015        367.127          0.000         174.400          2.634        142.081         58.945
     15/05/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       2767.951       3538.583          0.000          76.600          0.000         82.332          0.000
     07/09/1969      1969          0.000         26.023          1.363          0.000          0.000          0.000       1467.880       2132.322          0.000          66.000          0.000         63.951          0.000
     30/07/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       1339.483       2829.419          0.000         315.600         32.233        232.833          0.000
     14/12/1970      1970       1287.392         89.856          3.495          0.000          0.000          0.000        133.142        257.246          0.000         109.500          0.223         71.435          0.000
     15/05/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000       3659.641       3850.813          0.000          87.000          0.234         58.111          0.000
     07/09/1971      1971          0.000         31.015          1.317          0.000          0.000          0.000       1905.655       2855.315          0.000         123.300          0.061         82.729          0.000
     23/06/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       1717.978       3591.970          0.000         246.500         12.759        194.385          0.000
     26/11/1972      1972       1129.415         75.084          3.179          0.000          0.000          0.000        272.373        687.816          0.000         124.700          0.117        124.503          0.000
     15/05/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       2839.387       3593.828          0.000         109.800          0.000         84.742          0.000
     07/09/1973      1973          0.000         42.807          1.794          0.000          0.000          0.000        963.163       1490.364          0.000         193.600          6.115         92.785          0.000
     15/05/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       2341.620       3750.545          0.000         302.900         16.719        209.106         18.192
     08/11/1974      1974       1549.418         90.086          1.899          0.000          0.000          0.000        106.247        338.374          0.000         204.200          0.386        165.150         47.009
     15/05/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       3441.190       4168.614          0.000         140.200          0.001         98.353          0.000
     07/09/1975      1975          0.000         46.967          1.899          0.000          0.000          0.000       1838.520       2366.449          0.000          99.600          0.000         77.335          0.000
     29/07/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       3022.302       4699.390          0.000         306.800         12.036        201.005         46.930
     12/12/1976      1976       1438.184         88.532          1.940          0.000          0.000          0.000        497.961       1028.418          0.000         139.200          0.000        117.193          0.000
     15/05/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000       3337.103       3565.881          0.000          30.300          0.000         44.087          0.000
     07/09/1977      1977          0.000         25.967          0.949          0.000          0.000          0.000       1920.194       2845.742          0.000          83.800          0.000         72.047          0.000
     28/06/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       1426.841       3097.716          0.000         289.500          0.598        236.765          0.000
     02/12/1978      1978       1388.703         86.018          3.126          0.000          0.000          0.000        138.284        331.138          0.000         160.600          0.292        130.314          0.000
     15/05/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000       3341.010       4061.129          0.000         138.800          0.000        106.668          0.000
     07/09/1979      1979          0.000         30.815          1.368          0.000          0.000          0.000       1566.795       2394.614          0.000         138.700          0.062         92.470          0.000
     29/07/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000       1375.778       3407.083          0.000         295.500          4.391        247.302          0.000
     08/12/1980      1980        911.841         66.685          2.247          0.000          0.000          0.000        137.937        191.818          0.000          64.800          0.000         65.204          0.000
     15/05/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       2052.866       2922.240          0.000          68.500          0.000         84.937          0.000
     07/09/1981      1981          0.000         29.705          1.393          0.000          0.000          0.000        750.215       1316.530          0.000         131.200          0.000         98.273          0.000
     15/06/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       1293.223       2582.626          0.000         190.900          2.459        168.230          0.000
     15/11/1982      1982        942.017         51.760          1.687          0.000          0.000          0.000        161.019        374.889          0.000         156.500          0.000        121.328          0.000
     15/05/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000       1301.707       2248.780          0.000         145.400          4.704        126.159          0.000
     07/09/1983      1983          0.000         74.287          2.783          0.000          0.000          0.000        697.313        921.660          0.000         133.800          0.955         64.282          0.000
     29/05/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       3601.556       5740.192          0.000         314.600          4.112        204.856          0.000
     16/11/1984      1984       1516.923         84.484          1.971          0.000          0.000          0.000        116.391        347.702          0.000         219.300          1.850        151.455         49.945
     15/05/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000       2854.098       4248.624          0.000         101.100          0.000        106.326          0.000
     07/09/1985      1985          0.000         62.542          2.087          0.000          0.000          0.000       1499.850       1831.374          0.000         103.800          0.000         56.030          0.000
     16/05/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000       4439.160       5818.609          0.000         256.300          5.987        153.578          5.257
     13/11/1986      1986       1096.802         63.547          1.473          0.000          0.000          0.000       1744.960       2691.242          0.000         252.200          2.923        129.901        132.495
     15/05/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       2670.003       3955.954          0.000         154.800          6.899        108.527          0.000
     07/09/1987      1987          0.000         36.707          1.545          0.000          0.000          0.000        922.958       1364.560          0.000         112.400          0.000         92.476          0.000
     23/05/1988      1988          0.000          0.000          0.000          0.000          0.000          0.000       2097.446       3284.072          0.000         235.700          6.498        170.672          4.498
     02/11/1988      1988       1418.182         82.574          2.403          0.000          0.000          0.000        107.442        306.683          0.000          96.800          0.000        112.214         15.676
