Summary_file = RoseworthyMid.sum
Title = Roseworthy Mid Sowing
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     12/11/1957       316      1957        170.100          168.010          0.001       6083.552       1583.165          0.260          0.558         71.151          2.792          4.420         67.379          7.744            270
     25/11/1958       329      1958        285.800          283.393          0.001      14102.924       4986.194          0.354          0.727        162.831          1.660          8.279         35.786         36.862            284
     11/11/1959       315      1959        124.800          124.800          0.001       4728.655       1386.788          0.293          0.508         59.912          2.528          3.506         75.845          0.614            269
     25/11/1960       330      1960        278.600          278.532          0.001      13148.149       3902.927          0.297          0.711        159.537          2.011          7.848         34.914         15.954            286
     11/11/1961       315      1961        164.500          164.500          0.001       6537.015       1470.889          0.225          0.660         81.086          3.495          5.141         59.523          0.315            272
     14/11/1962       318      1962        226.000          226.000          0.001       7587.993       3128.098          0.412          0.814         96.786          2.502          7.825         54.241         28.201            269
     11/11/1963       315      1963        286.600          285.309          0.001      10328.657       3570.069          0.346          0.793        149.081          2.435          8.692         35.096         41.162            272
     17/11/1964       322      1964        269.900          269.900          0.001      11387.319       4359.827          0.383          0.765        140.412          1.793          7.818         51.483         23.445            275
     12/11/1965       316      1965        192.800          192.185          0.001       8380.354       2109.429          0.252          0.715        111.541          3.226          6.806         44.537          5.265            275
     23/11/1966       327      1966        239.900          238.522          0.001       9639.092       2812.720          0.292          0.756        120.202          2.597          7.304         49.318          1.585            284
     10/11/1967       314      1967        148.800          148.800          0.001       7269.305       1684.706          0.232          0.676         84.310          3.232          5.445         59.356          0.388            273
     20/11/1968       325      1968        377.500          373.898          0.001      13765.462       5143.454          0.374          0.763        191.592          1.819          9.356         29.250         64.581            283
     14/11/1969       318      1969        223.300          220.611          0.001      10408.358       2949.285          0.283          0.759        136.034          2.690          7.933         39.418          4.594            276
     19/11/1970       323      1970        243.300          243.293          0.001      10590.126       3434.337          0.324          0.764        126.386          2.273          7.808         44.905         19.895            277
     19/11/1971       323      1971        311.900          311.260          0.001      13256.404       4727.951          0.357          0.747        166.501          1.804          8.531         32.625         35.049            278
     09/11/1972       314      1972        185.900          185.900          0.001       8539.763       2253.244          0.264          0.719        109.386          3.010          6.781         48.372          0.871            268
     12/11/1973       316      1973        330.600          323.512          0.001      12760.546       4729.601          0.371          0.772        168.785          1.924          9.099         33.318         51.871            272
     18/11/1974       322      1974        275.400          274.970          0.001      11470.602       4675.818          0.408          0.784        135.467          1.794          8.389         46.576         33.058            275
     14/11/1975       318      1975        272.600          270.559          0.001      10582.460       4245.751          0.401          0.799        119.925          1.999          8.486         49.210         62.454            269
     14/11/1976       319      1976        211.400          211.400          0.001       7444.757       3174.641          0.426          0.817         92.154          2.214          7.030         64.559         18.663            273
     10/11/1977       314      1977        168.400          168.400          0.001       6118.612       1558.401          0.255          0.566         80.148          2.768          4.314         65.929          6.022            271
     20/11/1978       324      1978        404.500          390.910          0.001      13527.332       5043.073          0.373          0.764        185.947          1.791          9.033         26.846         95.114            279
     11/11/1979       315      1979        327.300          325.408          0.001      12738.416       5579.351          0.438          0.806        153.331          1.807         10.080         26.444         96.732            269
     07/11/1980       312      1980        314.000          312.883          0.001       9451.900       3450.218          0.365          0.805        130.775          2.498          8.619         38.068         72.210            267
     09/11/1981       313      1981        327.500          325.429          0.001      12945.663       5512.052          0.426          0.797        178.908          1.753          9.660         27.231         43.212            268
     11/11/1982       315      1982        138.900          138.900          0.001       3959.387       1048.968          0.265          0.393         53.827          2.688          2.819         71.027          0.520            270
     14/11/1983       318      1983        262.900          262.427          0.001      12639.271       4265.005          0.337          0.734        163.186          1.873          7.987         40.765         12.554            275
     16/11/1984       321      1984        291.700          291.653          0.001      12766.352       5002.465          0.392          0.780        154.201          1.818          9.093         31.467         41.307            276
     13/11/1985       317      1985        291.100          290.994          0.001      12142.477       4463.645          0.368          0.771        165.340          1.954          8.721         38.179         30.176            275
     16/11/1986       320      1986        323.400          322.545          0.001      12921.193       5080.088          0.393          0.778        157.612          1.813          9.209         32.653         63.809            274
     15/11/1987       319      1987        205.100          205.084          0.001       7939.613       2628.430          0.331          0.789        102.110          2.691          7.072         52.298         13.201            272
     04/11/1988       309      1988        240.900          238.871          0.001       8926.402       2723.759          0.305          0.763        122.668          2.715          7.396         47.382         22.655            267
     21/11/1989       325      1989        267.700          267.696          0.001      10854.901       3020.181          0.278          0.735        141.029          2.492          7.525         42.879          9.601            281
     07/11/1990       311      1990        258.200          256.816          0.001      11041.233       3936.763          0.357          0.782        145.739          2.200          8.659         34.838          5.052            269
     05/11/1991       309      1991        294.900          293.149          0.001      11004.687       4644.940          0.422          0.813        152.668          1.985          9.218         34.570         46.661            266
     17/11/1992       322      1992        389.600          386.291          0.001      13375.422       5340.735          0.399          0.782        171.068          1.838          9.818         27.067        108.856            277
     09/11/1993       313      1993        285.900          285.741          0.001       9522.799       3850.793          0.404          0.812        133.983          2.157          8.308         52.076         41.166            268
     11/11/1994       315      1994        175.600          173.120          0.001       6431.330       1574.995          0.245          0.541         79.343          2.883          4.540         51.886         15.892            271
     09/11/1995       313      1995        252.800          251.918          0.001       9678.251       3431.775          0.355          0.795        138.385          2.406          8.255         41.374         10.117            270
     10/11/1996       315      1996        334.400          332.840          0.001      12483.679       5192.487          0.416          0.799        171.363          1.861          9.661         27.093         50.199            270
     18/11/1997       322      1997        282.500          279.466          0.001       9841.704       2680.514          0.272          0.750        132.465          2.719          7.288         54.787         73.824            278
     16/11/1998       320      1998        245.100          245.025          0.001       8297.367       2587.440          0.312          0.737        114.894          2.598          6.721         49.679         23.333            275
     11/11/1999       315      1999        204.900          204.900          0.001       5872.736       1932.280          0.329          0.641         83.339          2.582          4.990         71.337         19.221            271
     14/11/2000       319      2000        296.200          296.029          0.001      12510.713       4135.660          0.331          0.733        167.869          1.924          7.958         42.873         27.800            274
     17/11/2001       321      2001        323.600          321.007          0.001      13216.925       5446.641          0.412          0.780        173.764          1.713          9.331         33.479         43.799            271
     12/11/2002       316      2002        156.100          156.100          0.001       4401.789        901.565          0.205          0.416         58.027          3.314          2.987         69.560          0.198            273
