Summary_file = Warra1500HighN.sum
Title = Warra 1500mm wet soil High N
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     13/10/1957       286      1957        122.700          117.692          0.001      11137.641       3151.997          0.283          0.718        206.129          2.854          8.995         23.376         67.598            243
     07/10/1958       280      1958        253.000          168.609          0.001      10630.967       4220.854          0.397          0.813        198.941          2.214          9.343         38.005         81.038            232
     11/10/1959       284      1959        142.500          118.235          0.001       9681.624       2749.524          0.284          0.696        181.077          2.752          7.568         33.058         75.279            242
     16/10/1960       290      1960        106.000          106.000          0.001      10752.460       2767.024          0.257          0.662        198.711          2.882          7.975         23.753         65.408            250
     13/10/1961       286      1961        187.000          186.745          0.001      11968.192       3180.276          0.266          0.705        227.038          2.833          9.011         23.148        101.448            245
     11/10/1962       284      1962        146.900          146.863          0.001      11446.829       3447.956          0.301          0.695        217.583          2.509          8.651         25.380         66.308            242
     12/10/1963       285      1963        137.700          136.478          0.001      11115.483       3246.177          0.292          0.735        208.545          2.654          8.616         26.642         66.724            242
     11/10/1964       285      1964        345.100          295.264          0.001      11908.399       3991.374          0.335          0.778        226.858          2.365          9.438         24.745        179.587            244
     13/10/1965       286      1965        180.000          179.086          0.001      13215.286       4089.498          0.309          0.766        239.562          2.504         10.239         22.339         69.713            246
     17/10/1966       290      1966        197.900          191.034          0.001      13408.240       4032.100          0.301          0.746        242.163          2.405          9.698         22.209         76.828            246
     12/10/1967       285      1967        246.400          161.519          0.001      11707.521       3442.130          0.294          0.769        214.954          2.628          9.047         23.605         71.809            244
     19/10/1968       293      1968        146.800          144.264          0.001      13293.493       3779.508          0.284          0.747        229.812          2.566          9.698         20.542         69.676            251
     11/10/1969       284      1969        146.300          133.616          0.001      10185.062       3548.365          0.348          0.795        190.563          2.517          8.931         32.363         66.598            238
     13/10/1970       286      1970         91.600           91.600          0.001       8644.262       2375.457          0.275          0.590        170.175          2.458          5.839         44.960         74.277            245
     12/10/1971       285      1971        231.200          214.373          0.001      14622.157       5076.275          0.347          0.743        265.506          1.922          9.757         22.310         88.342            246
     10/10/1972       284      1972         67.400           67.400          0.001       8464.357       2008.192          0.237          0.589        167.149          3.027          6.078         38.708         65.278            244
     02/10/1973       275      1973        352.500          269.436          0.001      10808.234       4449.098          0.412          0.781        192.478          2.292         10.195         22.481        211.031            231
     18/10/1974       291      1974        260.000          209.147          0.001      12151.293       4038.458          0.332          0.757        210.995          2.219          8.961         27.489        106.829            246
     11/10/1975       284      1975        224.000          208.850          0.001      13990.285       5059.114          0.362          0.771        249.585          2.035         10.295         21.481        105.544            241
     14/10/1976       288      1976        163.400          163.400          0.001      11174.638       3593.138          0.322          0.784        201.727          2.647          9.511         27.710         90.746            242
     13/10/1977       286      1977        141.400           63.076          0.001       8831.887       2075.232          0.235          0.651        167.669          3.100          6.433         33.518         63.926            245
     18/10/1978       291      1978        352.000          297.406          0.001      14361.044       5905.935          0.411          0.779        236.116          1.711         10.105         18.323        163.269            247
     10/10/1979       283      1979        138.000          133.231          0.001      10230.163       2752.427          0.269          0.641        191.319          2.658          7.315         25.897         83.809            241
     04/10/1980       278      1980         99.000           81.660          0.001       9631.598       2522.868          0.262          0.592        181.799          2.713          6.845         28.826         65.943            238
     11/10/1981       284      1981        240.000          185.234          0.001      12990.555       3623.201          0.279          0.742        225.548          2.547          9.229         21.408         70.902            244
     15/10/1982       288      1982        174.800          161.507          0.001      10334.241       3140.256          0.304          0.756        195.375          2.628          8.254         26.943        100.941            245
     07/10/1983       280      1983        267.900          166.189          0.001      11923.019       3987.646          0.334          0.776        194.037          2.327          9.277         23.835         91.895            242
     14/10/1984       288      1984        351.000          216.436          0.001      13432.512       5463.545          0.407          0.787        234.157          1.781          9.729         18.528        115.042            241
     14/10/1985       287      1985        312.600          255.380          0.001      12868.283       4003.508          0.311          0.759        237.492          2.400          9.610         22.907        139.311            243
     08/10/1986       281      1986        115.000          115.000          0.001      11072.043       3167.102          0.286          0.683        196.631          2.686          8.508         26.212         67.462            241
     08/10/1987       281      1987        105.400           81.785          0.001      10051.714       2806.825          0.279          0.662        182.466          2.789          7.828         28.995         65.793            238
     03/10/1988       277      1988        226.200          194.095          0.001      13235.374       4708.004          0.356          0.771        231.437          2.112          9.942         22.620         90.938            235
     13/10/1989       286      1989        135.600          133.167          0.001      11115.786       3320.476          0.299          0.737        195.476          2.725          9.047         27.984         67.668            245
     12/10/1990       285      1990        179.200          138.192          0.001      10942.498       2989.001          0.273          0.679        189.473          2.715          8.116         26.504         67.479            244
     03/10/1991       276      1991         29.500           29.500          0.001       8181.645       2280.214          0.279          0.589        164.683          2.670          6.089         52.722         64.716            234
     12/10/1992       286      1992        121.300          107.528          0.001      10068.125       3193.131          0.317          0.746        193.774          2.577          8.229         29.890         65.493            243
     02/10/1993       275      1993        105.100          105.100          0.001       9540.019       3352.020          0.351          0.811        181.614          2.737          9.173         40.097         70.612            232
     15/10/1994       288      1994         60.600           60.600          0.001       8145.609       1903.491          0.234          0.539        167.034          2.994          5.698         36.626         63.302            246
     07/10/1995       280      1995        122.100          110.105          0.001       9291.236       2648.115          0.285          0.642        178.349          2.647          7.011         32.524         70.043            240
     07/10/1996       281      1996        172.600          163.887          0.001      10343.468       3543.346          0.343          0.803        184.725          2.715          9.621         28.382        128.376            239
     06/10/1997       279      1997        112.800          102.699          0.001       8699.531       2472.381          0.284          0.577        172.339          2.494          6.165         38.601         98.988            240
     04/10/1998       277      1998        210.100          201.605          0.001      12012.531       4962.078          0.413          0.818        197.863          2.174         10.787         24.665        149.703            236
     05/10/1999       278      1999        113.300          113.300          0.001      10319.494       3336.951          0.323          0.770        194.757          2.680          8.942         35.498         69.000            236
     06/10/2000       280      2000         53.300           53.161          0.001       8357.072       2043.226          0.244          0.560        164.513          2.866          5.855         43.339         65.087            243
     08/10/2001       281      2001         46.700           46.700          0.001       8327.326       2104.875          0.253          0.576        168.136          2.919          6.144         37.480         64.002            239
     08/10/2002       281      2002        131.000          130.534          0.001       9856.682       2882.714          0.292          0.680        206.379          2.652          7.646         35.021         66.807            242
