Summary_file = output\coonamble_cd2_50_oc2_deep_AvgWindow.sum
Title = site=coonamble; soil=cd2; treatment=oc2; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       1167.654        110.381          2.375       1531.724       4032.519          0.000         240.300          4.728        244.160         19.138
     31/12/1958      1958       2590.006        151.439          3.088          0.000          0.000          0.000          0.000          0.000          0.000        905.504       5639.392          0.000         642.900         25.449        446.355         10.642
     31/12/1959      1959          0.000          0.000          0.000       1442.397        127.346          2.229          0.000          0.000          0.000       4194.560       5500.483          0.000         685.200         22.222        330.150        218.728
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3965.582       5369.182          0.000         399.100          0.000        368.376          0.000
     31/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000          0.000         22.227          1.549       1011.474       2595.209          0.000         445.200          0.000        403.885          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       3404.310        135.126          3.196        704.596       3645.267          0.000         641.300          0.067        469.418          0.000
     31/12/1963      1963       1349.072         95.227          1.520          0.000          0.000          0.000       3836.308        141.883          2.676       1942.674       4671.295          0.000         555.600          7.714        391.355          0.000
     31/12/1964      1964          0.000          0.000          0.000       1494.328        102.978          1.574          0.000          0.000          0.000       1803.374       3505.434          0.000         449.100          0.000        375.516          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.101          0.061       1641.104       2174.275          0.000         342.700          6.517        252.464          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000        822.124         67.983          2.315        812.166       2493.252          0.000         374.800          0.000        370.545          0.000
     31/12/1967      1967       1219.096         94.189          4.070          0.000          0.000          0.000          0.000          0.000          0.000        695.601       4167.203          0.000         327.800          3.465        252.758          0.000
     31/12/1968      1968          0.000          0.000          0.000       1176.852        117.556          2.215          0.000          0.000          0.000       1546.433       3885.357          0.000         519.800          5.808        370.040          1.796
     31/12/1969      1969       2189.108        117.989          3.137          0.000          0.000          0.000          0.000          0.000          0.000        839.431       3985.940          0.000         671.000          4.895        510.526          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000         72.435          2.992       1087.367       3145.692          0.000         601.600          1.878        446.574         25.915
     31/12/1971      1971       1458.797        120.044          2.341          0.000          0.000          0.000       3717.929         95.813          2.954       2229.952       4452.004          0.000         617.500         10.702        393.728         60.206
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000         53.164          2.452       1384.412       2793.374          0.000         467.300          0.025        388.371          0.000
     31/12/1973      1973       2667.430        165.833          2.925          0.000          0.000          0.000       3314.142        112.973          2.525       1638.313       5381.673          0.000         873.600         13.419        448.691         85.333
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       2414.886        117.864          3.069       3029.070       5333.059          0.000         593.200         34.190        359.208        125.671
     31/12/1975      1975       1957.852        119.258          3.195          0.000          0.000          0.000          0.000          0.000          0.000       1063.766       4210.795          0.000         485.500          1.592        374.241         48.473
     31/12/1976      1976          0.000          0.000          0.000       1524.546        129.228          2.755          0.000          0.000          0.000       1781.318       3769.922          0.000         624.200          3.840        424.893         73.631
     31/12/1977      1977       1116.070         92.822          1.736          0.000          0.000          0.000          0.000          0.000          0.000       1013.246       3172.831          0.000         498.800         28.111        335.416         32.059
     31/12/1978      1978          0.000          0.000          0.000       1643.203        132.023          2.136          0.000          0.000          0.000       1011.473       2908.405          0.000         738.800          4.237        505.156          0.000
     31/12/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000       2222.934         87.945          2.240        776.302       2541.457          0.000         325.400          0.000        343.704          0.000
     31/12/1980      1980       1322.969        105.039          2.698          0.000          0.000          0.000          0.000          0.000          0.000        553.677       3593.900          0.000         533.300         54.477        354.067          0.000
     31/12/1981      1981          0.000          0.000          0.000       1382.318        126.992          1.618          0.000          0.000          0.000       1460.690       2748.120          0.000         500.600          5.016        367.668          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000         31.017          1.908        350.479       1693.567          0.000         368.300          4.776        296.185          0.000
     31/12/1983      1983       2021.476        141.122          3.033          0.000          0.000          0.000       1472.756         87.657          2.575       1075.087       5399.703          0.000         734.100          7.124        450.159          0.000
     31/12/1984      1984          0.000          0.000          0.000       1277.734        154.202          1.907       5409.930        222.011          3.954       3860.512       6185.168          0.000         737.300          5.602        351.723        103.954
