Summary_file = std.sum
Title = Constant CO2 levels
           Date          yield            co2
             ()        (kg/ha)             ()
     15/10/1940       4974.088        350.000
     20/10/1941       3257.913        350.000
     14/10/1942       3198.657        350.000
     25/10/1943       4203.619        350.000
     19/10/1944       4392.747        350.000
     21/10/1945       3394.803        350.000
     22/10/1946       5131.618        350.000
     24/10/1947       2260.694        350.000
     24/10/1948       3672.865        350.000
     23/10/1949       3020.404        350.000
     16/10/1950       2329.520        350.000
     24/10/1951       3247.654        350.000
     23/10/1952       2279.585        350.000
     24/10/1953       2841.794        350.000
     15/10/1954       2974.159        350.000
     20/10/1955       2541.676        350.000
     29/10/1956       2110.152        350.000
     21/10/1957       3550.178        350.000
     23/10/1958       2487.462        350.000
     23/10/1959       3229.764        350.000
     25/10/1960       2788.857        350.000
     22/10/1961       2521.895        350.000
     21/10/1962       1698.850        350.000
     24/10/1963       2437.966        350.000
     23/10/1964       1874.609        350.000
     19/10/1965       3197.009        350.000
     28/10/1966       1792.141        350.000
     19/10/1967       2068.848        350.000
     25/10/1968       2445.135        350.000
     23/10/1969       2721.135        350.000
     24/10/1970       1903.418        350.000
     24/10/1971       1672.287        350.000
     18/10/1972       2153.474        350.000
     10/10/1973       1636.267        350.000
     25/10/1974       3032.557        350.000
     18/10/1975       1114.593        350.000
     26/10/1976       1880.574        350.000
     20/10/1977       1480.018        350.000
     30/10/1978       1941.651        350.000
     19/10/1979       1397.789        350.000
     13/10/1980       2177.410        350.000
     21/10/1981       1108.102        350.000
     23/10/1982       1900.526        350.000
     19/10/1983       1103.162        350.000
     26/10/1984       1727.557        350.000
     23/10/1985       1277.326        350.000
     22/10/1986       1497.426        350.000
     21/10/1987       1063.266        350.000
     15/10/1988       1250.250        350.000
     25/10/1989       1592.259        350.000
