Summary_file = roma1500.sum
Title = Roma 1500mm wet soil
       day      year            lai        biomass          yield         sum_ep
     (day)    (year)        (m2/m2)        (kg/ha)        (kg/ha)             ()
        16      1958          0.721       5866.624       1505.571        199.090
        16      1959          1.499      10901.666       5510.618        298.666
        13      1960          1.536       9400.270       4094.782        242.984
        18      1961          0.947       8772.771       3317.725        223.336
        13      1962          1.316      11495.326       6105.872        292.253
        19      1963          1.258       9704.180       4512.819        246.011
        13      1964          1.574      11578.627       6131.158        289.028
        20      1965          0.779       7950.044       2419.539        214.219
        14      1966          1.305      12025.693       6071.665        277.852
        12      1967          1.141       8548.406       3103.787        210.392
        14      1968          1.345      10617.756       4883.480        276.474
        15      1969          1.474       8661.356       3533.006        254.623
        15      1970          0.708       9190.834       2929.770        232.643
        19      1971          1.375      13115.532       6446.504        335.539
        20      1972          1.306      10550.324       5218.083        280.904
        12      1973          1.890      10244.834       4967.203        272.832
        13      1974          1.297      10587.520       5192.814        239.076
        23      1975          1.286       8453.351       2700.216        232.521
        16      1976          1.344      10239.324       4763.611        245.115
        19      1977          1.399       8435.079       2709.307        231.714
        12      1978          0.651       7390.766       2145.531        198.542
        21      1979          0.889       9610.747       3817.587        240.504
        11      1980          1.415       8453.831       3205.530        253.791
        14      1981          1.340      12206.211       6298.179        304.163
        15      1982          1.405       8693.491       3100.640        241.017
        13      1983          1.602       9313.846       3505.531        265.611
        19      1984          1.245      12562.719       6144.924        260.763
        18      1985          1.587      11583.273       5367.685        319.427
        16      1986          1.161       9747.203       4485.521        251.825
        18      1987          1.664       9529.801       3556.599        248.773
        15      1988          1.145       8277.640       2612.487        221.947
        14      1989          0.791       9142.841       3436.312        229.408
        14      1990          1.198      10111.406       4575.367        238.996
        15      1991          1.426       8198.580       2238.897        225.822
        10      1992          1.335       9323.404       4207.979        246.649
        19      1993          0.478       7502.454       2096.345        198.717
        16      1994          0.556       8050.423       3000.803        193.925
        16      1995          1.093       9624.974       4272.423        221.904
        18      1996          1.256      12719.262       6325.732        278.112
        23      1997          0.767       9480.819       3937.327        245.069
        15      1998          1.372      10248.624       5066.067        272.735
        17      1999          1.439      12442.022       6176.614        295.749
        24      2000          1.307      13165.324       6546.454        274.348
        18      2001          1.149       9920.283       4761.355        227.034
        17      2002          1.680      10319.227       4572.693        269.402
