Summary_file = output\coonamble_lg1_50_oc2_deep_AvgWindow.sum
Title = site=coonamble; soil=lg1; treatment=oc2; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       3866.382        192.108          3.042       2112.906       4905.434          0.000         240.300          9.350        238.034         16.120
     31/12/1958      1958       2173.471        146.219          2.510          0.000          0.000          0.000          0.000          0.000          0.000       1588.587       5480.662          0.000         642.900         16.416        426.228          0.000
     31/12/1959      1959          0.000          0.000          0.000       2367.972        203.970          2.975          0.000          0.000          0.000       3767.947       5607.563          0.000         685.200         33.527        328.097        174.843
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3042.508       5267.240          0.000         399.100          0.083        370.425          0.000
     31/12/1961      1961       1662.574        123.720          4.478          0.000          0.000          0.000          0.000          0.000          0.000        898.318       4700.883          0.000         445.200          0.332        381.883          0.000
     31/12/1962      1962          0.000          0.000          0.000        978.021        134.650          1.987          0.000          0.000          0.000       1169.012       3353.458          0.000         641.300          0.398        489.880          0.000
     31/12/1963      1963       2367.463        152.270          3.467          0.000          0.000          0.000          0.000          0.000          0.000        898.618       5625.839          0.000         555.600          8.538        431.358          0.000
     31/12/1964      1964          0.000          0.000          0.000       1726.911        117.400          1.732          0.000          0.000          0.000       3047.636       5136.891          0.000         449.100          0.000        345.678          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2713.139       3296.240          0.000         342.700          7.203        248.487          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        326.723        588.969          0.000         374.800          1.270        366.868          0.000
     31/12/1967      1967       2466.988        175.031          6.129          0.000          0.000          0.000          0.000          0.000          0.000       1244.570       7418.781          0.000         327.800         10.043        247.812          0.000
     31/12/1968      1968          0.000          0.000          0.000       1696.076        152.846          2.564          0.000          0.000          0.000       3510.613       7006.350          0.000         519.800          7.544        343.175          0.000
     31/12/1969      1969       2284.946        137.653          2.863          0.000          0.000          0.000          0.000          0.000          0.000       1061.293       3968.837          0.000         671.000          6.871        512.892          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000         92.769          3.374       1240.353       3368.688          0.000         601.600          3.711        433.250          0.000
     31/12/1971      1971       1442.326        137.313          2.045          0.000          0.000          0.000       4226.504        100.565          3.306       2983.908       5601.541          0.000         617.500         17.282        376.888          0.000
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000        111.295          3.043       1787.004       3458.607          0.000         467.300          0.221        377.561          0.000
     31/12/1973      1973       2803.624        181.046          3.190          0.000          0.000          0.000       3735.006        130.053          2.952       1738.931       6249.934          0.000         873.600         19.936        438.004          0.000
     31/12/1974      1974          0.000          0.000          0.000       2369.821        183.927          2.875       4696.445        152.761          3.282       3634.780       6595.901          0.000         593.200         42.343        320.352          5.318
     31/12/1975      1975       1932.643        124.592          3.015          0.000          0.000          0.000          0.000          0.000          0.000       1697.400       4447.054          0.000         485.500          0.271        372.720          0.000
     31/12/1976      1976          0.000          0.000          0.000       2329.671        197.029          3.047          0.000          0.000          0.000       1599.188       3803.300          0.000         624.200          6.322        415.338          0.000
     31/12/1977      1977       1375.962        123.265          2.206          0.000          0.000          0.000          0.000          0.000          0.000       1105.067       4155.371          0.000         498.800         34.049        332.495          0.000
     31/12/1978      1978          0.000          0.000          0.000       2258.318        170.571          2.727          0.000          0.000          0.000       1503.254       3834.886          0.000         738.800          8.540        472.921          0.000
     31/12/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000       2111.648        118.303          3.396       1669.077       4050.575          0.000         325.400          0.000        332.402          0.000
     31/12/1980      1980       1369.952        109.793          2.226          0.000          0.000          0.000          0.000          0.000          0.000        738.703       3637.991          0.000         533.300         58.642        348.918          0.000
     31/12/1981      1981          0.000          0.000          0.000       1497.435        137.073          1.711          0.000          0.000          0.000       1514.280       2794.495          0.000         500.600          5.544        361.046          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        379.742       1834.184          0.000         368.300          8.060        292.332          0.000
     31/12/1983      1983       3570.665        224.056          4.787          0.000          0.000          0.000       3396.031        105.648          2.558       1299.990       7629.819          0.000         734.100         11.627        381.885          0.000
     31/12/1984      1984          0.000          0.000          0.000       1883.509        232.384          2.794       6434.072        272.989          4.152       5013.305       7831.300          0.000         737.300         10.823        307.851          0.000
     31/12/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2808.194       5636.671          0.000         490.100          0.001        441.172          0.000
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        138.900        330.023          0.000         352.400          0.002        352.231          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.002         38.554          0.000         439.300          0.694        417.203          0.000
     31/12/1988      1988       2600.980        173.034          5.230          0.000          0.000          0.000          0.000          0.000          0.000        977.320       7108.213          0.000         537.400          1.547        405.048          0.000
     31/12/1989      1989          0.000          0.000          0.000       1609.504        146.592          2.155          0.000          0.000          0.000        806.171       3348.851          0.000         513.600          8.849        428.620          0.000
     31/12/1990      1990       2180.125        141.548          5.364          0.000          0.000          0.000          0.000          0.000          0.000       1116.261       6587.551          0.000         487.500         26.699        329.581          0.000
     31/12/1991      1991          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3442.625       6091.162          0.000         469.000         10.897        351.141          0.000
