Summary_file = output\goondiwindi_cd2_50_oc2_deep_AvgWindow.sum
Title = site=goondiwindi; soil=cd2; treatment=oc2; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       2598.940        134.490          2.987       1328.766       3364.700          0.000         453.500          0.044        440.580          5.569
     31/12/1958      1958       2022.577        133.870          2.967          0.000          0.000          0.000          0.000          0.000          0.000        840.000       4803.199          0.000         662.400         15.629        512.377          3.190
     31/12/1959      1959          0.000          0.000          0.000       1729.767        130.885          2.232          0.000         42.935          2.669       3062.674       4493.668          0.000         654.400         21.825        405.451         29.668
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       1422.400         44.314          2.415       1831.345       3243.489          0.000         450.100          0.000        444.321          0.000
     31/12/1961      1961       1236.387         83.707          2.147          0.000          0.000          0.000          0.000         16.183          1.052        314.618       2226.623          0.000         745.300          6.732        523.786          0.000
     31/12/1962      1962          0.000          0.000          0.000       1566.275        152.199          2.248       4058.987        158.445          3.805       2844.775       5200.619          0.000         871.900         39.932        401.113        188.820
     31/12/1963      1963       1358.313         98.475          2.227          0.000          0.000          0.000          0.000          0.000          0.000        982.222       3696.737          0.000         577.700         15.568        454.008          0.000
     31/12/1964      1964          0.000          0.000          0.000       2229.789        180.520          2.470          0.000          0.000          0.000        995.632       3352.615          0.000         650.500          0.216        502.981         11.241
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        416.382       1054.375          0.000         402.800          1.574        346.955          0.000
     31/12/1966      1966       3256.838        206.636          5.765          0.000          0.000          0.000          0.000          0.000          0.000       1117.968       8350.956          0.000         572.500          0.941        377.246          0.000
     31/12/1967      1967          0.000          0.000          0.000       1167.223        121.700          1.956          0.000          0.000          0.000       5412.417       7184.510          0.000         385.700          1.484        261.019         39.059
     31/12/1968      1968       1613.751        114.415          3.466          0.000          0.000          0.000          0.000          0.000          0.000       2204.401       5581.146          0.000         561.600          0.334        389.808          0.000
     31/12/1969      1969          0.000          0.000          0.000       1306.341        130.740          1.642        985.913         68.511          1.840       2493.697       4796.825          0.000         621.900          7.367        386.411          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2995.401        212.515          3.311       1502.955       3710.200          0.000         743.300         17.541        435.354         14.009
     31/12/1971      1971       1621.649        135.035          2.211          0.000          0.000          0.000       5145.171        128.533          3.272       1955.143       4892.526          0.000         668.800          9.479        432.010         73.702
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000         76.562          2.919        909.907       2409.188          0.000         501.100          0.703        437.231          0.000
     31/12/1973      1973       1957.392        126.089          3.001          0.000          0.000          0.000       2736.721         58.951          1.917        917.746       4036.070          0.000         727.500          1.061        512.200         23.752
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         46.311          2.400        859.822       2229.976          0.000         509.100         18.607        430.835          0.000
     31/12/1975      1975       1943.820        120.430          3.110          0.000          0.000          0.000       1391.724         62.623          2.707        936.277       4419.665          0.000         692.900          4.533        442.899          6.930
     31/12/1976      1976          0.000          0.000          0.000       2072.950        147.234          2.097       5709.773        186.766          3.653       2812.455       5420.916          0.000         817.500         53.624        412.215         98.066
     31/12/1977      1977       1500.090        113.200          2.987          0.000          0.000          0.000          0.000          0.000          0.000        808.721       3978.066          0.000         614.500          5.478        480.099         49.413
     31/12/1978      1978          0.000          0.000          0.000       2230.864        158.758          2.702          0.000          0.000          0.000        750.513       3328.448          0.000         799.100          8.380        526.503         33.287
     31/12/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000         85.346         86.421          2.411        159.479        651.600          0.000         488.600          1.541        442.070          2.381
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000       1759.063         25.795          2.178        640.869       2891.082          0.000         387.700          0.000        354.996          0.000
     31/12/1981      1981       2508.926        156.859          5.693          0.000          0.000          0.000          0.000          0.000          0.000        931.777       6529.658          0.000         664.100         27.612        430.497          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       3464.444        127.408          2.642       3192.122       4294.428          0.000         518.300          0.478        352.279          7.983
     31/12/1983      1983       1919.752        124.314          2.444          0.000          0.000          0.000       3153.791        165.765          2.980       1186.214       4874.202          0.000        1019.100         50.053        530.443        168.043
     31/12/1984      1984          0.000          0.000          0.000       1536.378        144.964          2.283       4872.287        147.076          3.373       2212.951       4799.669          0.000         798.300         16.296        452.845        107.478
     31/12/1985      1985       1592.067        104.585          2.655          0.000          0.000          0.000          0.000          0.000          0.000        931.287       4004.634          0.000         568.000         15.050        457.093          0.000
     31/12/1986      1986          0.000          0.000          0.000        785.880         88.458          1.471          0.000          0.000          0.000        854.773       2133.784          0.000         531.400          0.000        461.849          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000         72.147         74.374          2.835        128.458       1148.525          0.000         598.600          0.772        496.272          0.000
     31/12/1988      1988       2416.355        148.273          3.132          0.000          0.000          0.000       2080.167         35.777          2.611       1401.279       5534.496          0.000         832.400         15.575        499.340        141.621
     31/12/1989      1989          0.000          0.000          0.000       1106.857        111.627          1.963          0.000          0.000          0.000       2491.365       4352.377          0.000         680.000         27.083        424.822         84.932
     31/12/1990      1990       1958.639        119.085          3.518          0.000          0.000          0.000          0.000          0.000          0.000       1059.113       5168.330          0.000         687.900         40.382        471.450        103.842
     31/12/1991      1991          0.000          0.000          0.000        881.252        111.718          1.861          0.000          0.603          0.099       2206.100       4078.876          0.000         608.700         15.575        385.317         27.574
     31/12/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000       2399.893         93.576          1.749       1280.281       3011.753          0.000         382.800          0.000        365.801          0.000
     31/12/1993      1993          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        164.178        510.115          0.000         446.500          0.406        407.421          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000         44.745          2.214          6.525         17.635          0.000         524.300         30.911        374.303         14.858
     31/12/1995      1995       1061.036         78.510          1.894          0.000          0.000          0.000       4073.768        146.907          2.650       1914.966       4453.167          0.000         608.600          3.772        399.730          0.000
     31/12/1996      1996          0.000          0.000          0.000       1471.001        131.263          2.112       5770.083        194.643          3.649       2809.737       5770.404          0.000         961.100         74.520        430.303        156.235
     31/12/1997      1997       1123.694         94.998          1.770          0.000          0.000          0.000          0.000          0.677          0.145        688.167       3149.524          0.000         747.000         95.540        441.876         70.225
     31/12/1998      1998          0.000          0.000          0.000       2074.331        157.516          3.034       1221.323         91.167          2.590        942.515       3071.666          0.000         891.400         55.125        488.352        120.399
     31/12/1999      1999       1518.480        113.180          2.042          0.000          0.000          0.000       3499.007        130.965          2.569        782.405       3426.946          0.000         848.600          9.093        541.180         21.128
     31/12/2000      2000          0.000          0.000          0.000          0.000          0.000          0.000       2791.580        134.859          2.484       2253.636       4084.086          0.000         481.900          0.000        399.031          0.000
     31/12/2001      2001       1589.043        123.103          3.227          0.000          0.000          0.000          0.000          0.000          0.000        684.121       4109.102          0.000         584.800         36.299        457.259          0.000
     31/12/2002      2002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          1.692          0.192       1024.903       2012.537          0.000         469.700          8.416        385.846          0.000
