Summary_file = output\warialda_cd2_200_oc2_deep_AvgWindow.sum
Title = site=warialda; soil=cd2; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       3152.593        143.153          2.741        869.148       3198.401          0.000         433.800          1.253        406.212         28.207
     31/12/1958      1958       3729.391        189.435          3.874          0.000          0.000          0.000          0.000          0.000          0.000        830.656       6298.329          0.000         761.600         26.101        483.947          0.000
     31/12/1959      1959          0.000          0.000          0.000       1734.239        141.100          2.139          0.000          1.782          0.161        836.999       4623.446          0.000         916.800         20.489        584.000         87.813
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       3107.640        155.295          3.043       1083.353       3835.541          0.000         567.000          1.402        481.211          6.585
     31/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       3472.131        146.199          2.989       1074.846       4255.734          0.000         650.900          3.852        506.025          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       4032.239        177.593          2.912       1757.035       5296.651          0.000         803.000         32.497        532.810         31.135
     31/12/1963      1963        882.682         78.081          2.743          0.000          0.000          0.000       2648.753        153.277          2.607        838.843       3427.017          0.000         722.000          1.467        476.014          0.000
     31/12/1964      1964          0.000          0.000          0.000       2520.820        180.596          2.526       2762.043        124.467          2.547        957.109       3636.201          0.000         709.000         11.959        464.860         10.600
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        193.491       1049.643          0.000         355.900          0.678        337.019          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000         53.870          2.483          2.455          8.939          0.000         547.400          6.956        459.036          0.000
     31/12/1967      1967       1581.229        120.349          4.373          0.000          0.000          0.000       1451.230         61.301          2.703       1018.145       4648.210          0.000         455.200          3.094        333.915          0.000
     31/12/1968      1968          0.000          0.000          0.000       1262.505        119.939          2.120          0.000          0.000          0.000        513.964       4077.011          0.000         638.100         10.802        502.771          0.000
     31/12/1969      1969       1636.313        105.592          1.697          0.000          0.000          0.000          0.000         22.016          1.449        352.527       3477.567          0.000         687.900          7.021        486.778          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2035.624        160.469          3.434        779.112       3565.456          0.000         894.100         58.554        467.936        114.040
     31/12/1971      1971       2205.854        150.546          3.395          0.000          0.000          0.000       5014.794        173.366          3.688       2651.599       5647.513          0.000         894.099         34.902        360.156        314.527
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000         16.806          0.989        438.397       3007.025          0.000         552.200          1.051        497.960          0.000
     31/12/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       3464.595        198.714          3.244       1232.542       4182.163          0.000         816.400         43.466        509.276          0.000
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       4352.461        172.477          3.683       1244.327       4376.622          0.000         610.200         31.117        409.215         66.085
     31/12/1975      1975       3697.040        181.159          3.514          0.000          0.000          0.000       1840.450        119.740          3.009        838.990       4882.495          0.000        1036.400         39.893        463.958        143.378
     31/12/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       5414.262        189.968          3.880       1905.937       5639.860          0.000         817.900        101.360        460.830        172.563
     31/12/1977      1977       1514.224        120.980          2.917          0.000          0.000          0.000          0.000          0.000          0.000        464.849       4606.783          0.000         676.600         57.066        456.448         94.329
     31/12/1978      1978          0.000          0.000          0.000       2096.206        151.923          2.319          0.000          0.000          0.000        345.543       2854.843          0.000         858.400         14.491        583.112         46.479
     31/12/1979      1979       2822.632        151.745          2.432          0.000          0.000          0.000          0.000          0.000          0.000        730.106       4308.297          0.000         620.300         23.257        395.524         49.966
     31/12/1980      1980          0.000          0.000          0.000        816.498        114.490          1.639          0.000          0.000          0.000        813.617       4152.609          0.000         533.200          1.781        394.706          2.055
