Summary_file = output\warialda_lg1_200_oc2_deep_AvgWindow.sum
Title = site=warialda; soil=lg1; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       4916.857        223.753          3.348       1706.554       4924.261          0.000         433.800          2.424        391.936         33.807
     31/12/1958      1958       4624.546        231.482          4.643          0.000          0.000          0.000          0.000          0.000          0.000       1133.558       7643.851          0.000         761.600         27.229        459.703          0.000
     31/12/1959      1959          0.000          0.000          0.000       2767.146        228.503          3.095          0.000          1.677          0.178       2231.609       6511.026          0.000         916.800         24.379        515.735         37.878
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       4137.448        201.715          3.612       1511.541       4885.402          0.000         567.000          1.184        465.353          0.000
     31/12/1961      1961       2478.908        193.055          7.057          0.000          0.000          0.000          0.000          0.000          0.000        575.387       7514.876          0.000         650.900         12.738        438.105          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       5291.200        227.814          3.510       2349.769       6351.327          0.000         803.000         27.007        505.480          0.000
     31/12/1963      1963       1382.193        108.171          3.488          0.000          0.000          0.000       3576.394        170.109          3.234       1275.945       4547.124          0.000         722.000          1.770        452.407          0.000
     31/12/1964      1964          0.000          0.000          0.000       2853.689        206.845          2.944       3345.273        193.868          3.512       1597.745       5151.707          0.000         709.000          4.931        423.168          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        230.549       1257.787          0.000         355.900          0.657        336.694          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000         65.804          2.840          2.907         10.590          0.000         547.400         10.936        450.407          0.000
     31/12/1967      1967       1652.779        127.079          4.730          0.000          0.000          0.000       1562.268         68.246          3.108       1129.395       4930.941          0.000         455.200          5.036        322.454          0.000
     31/12/1968      1968          0.000          0.000          0.000       1459.298        134.353          2.202          0.000          0.000          0.000        557.572       4358.013          0.000         638.100         16.002        490.257          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000          0.000         30.390          1.813        105.631       1123.923          0.000         687.900         17.106        543.173          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2589.055        224.494          3.738       1037.868       4453.531          0.000         894.100         58.969        448.990          0.000
     31/12/1971      1971       3922.034        236.084          4.496          0.000          0.000          0.000       5885.012        188.723          3.745       3166.590       6681.767          0.000         894.099         65.050        345.112        233.139
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        795.326       4576.697          0.000         552.200          1.424        484.052          0.000
     31/12/1973      1973       5075.090        275.289          3.989          0.000          0.000          0.000          0.000          0.000          0.001        524.763       6796.109          0.000         816.400         40.643        468.741          0.000
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       4294.303        208.993          3.690       1557.197       4988.055          0.000         610.200         36.555        421.579         15.820
     31/12/1975      1975       5334.590        279.142          4.691          0.000          0.000          0.000          0.000          0.000          0.000        740.589       7748.489          0.000        1036.400         96.146        492.521         78.522
     31/12/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       5679.438        219.168          3.906       2584.718       6854.628          0.000         817.900        111.950        449.919         86.418
     31/12/1977      1977       3019.454        213.705          4.678          0.000          0.000          0.000          0.000          0.000          0.000        791.972       7334.053          0.000         676.600         67.954        446.029         67.484
     31/12/1978      1978          0.000          0.000          0.000       2696.534        199.025          2.893          0.000          0.000          0.000        603.448       3877.292          0.000         858.400         18.686        561.900          0.000
     31/12/1979      1979       4469.692        235.077          3.735          0.000          0.000          0.000          0.000          0.000          0.000       1052.016       6492.717          0.000         620.300         34.211        375.597          0.000
     31/12/1980      1980          0.000          0.000          0.000       1158.366        150.430          2.069          0.000          0.000          0.000       1393.111       6104.812          0.000         533.200          2.694        375.803          0.000
     31/12/1981      1981       3656.763        218.389          8.064          0.000          0.000          0.000          0.000          0.000          0.000        882.725       8348.708          0.000         668.200         32.167        439.832          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000         71.815        108.585          3.143        381.183       3422.177          0.000         525.900         15.176        368.013          0.000
     31/12/1983      1983       7475.342        332.628          7.829          0.000          0.000          0.000       4859.290        105.591          2.951       1938.505      10507.650          0.000         957.300         50.414        417.576          0.000
