Summary_file = Orroroo.sum
Title = Orroroo
           date       day      year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()     (day)    (year)             ()               ()      (m^2/m^2)        (kg/ha)        (kg/ha)             ()             ()           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     25/11/1960       330      1960        331.900          330.623          0.001      11399.858       3363.025          0.295          0.679        147.080          1.784          5.999         24.232        106.209            284
     18/11/1962       322      1962        130.900          130.075          0.001       5011.464       1165.713          0.233          0.534         60.374          2.817          3.284         56.068         61.481            277
     15/11/1963       319      1963        213.300          210.701          0.001       7755.234       1977.299          0.255          0.724         97.665          2.743          5.424         35.591         79.557            277
     18/11/1966       322      1966        154.500          154.500          0.001       4449.912        902.517          0.203          0.537         44.525          3.288          2.967         64.215         46.603            273
     04/11/1968       309      1968        349.700          345.256          0.001      11150.710       3827.344          0.343          0.737        130.104          1.734          6.638         24.753        120.164            258
     30/11/1969       334      1969        169.200          167.845          0.001       5881.930       1506.359          0.256          0.703         81.985          2.756          4.151         52.635         64.296            294
     02/11/1971       306      1971        202.100          202.060          0.001       7525.305       2295.662          0.305          0.717         88.428          1.962          4.503         58.021         56.486            255
     20/10/1973       293      1973        258.200          255.881          0.001       2837.459       1024.531          0.361          0.624         41.027          2.326          2.383         98.247        115.785            238
     21/11/1974       325      1974        270.800          258.360          0.001      12006.171       3694.616          0.308          0.681        152.583          1.667          6.159         25.784        103.612            276
     20/11/1978       324      1978        308.900          307.749          0.001       9925.558       2789.186          0.281          0.694        125.075          2.045          5.705         32.150        105.392            278
     09/11/1979       313      1979        228.000          222.607          0.001       6339.797       2608.477          0.411          0.805         87.994          2.189          5.711         49.150         85.016            266
     18/10/1980       292      1980        263.600          261.286          0.001       8274.884       2397.309          0.290          0.751        100.670          2.537          6.082         33.301        103.397            242
     26/11/1985       330      1985        292.900          287.246          0.001      10083.433       3182.271          0.316          0.717        137.964          2.006          6.383         29.629        108.915            288
     08/11/1988       313      1988        171.800          171.032          0.001       3931.297        718.569          0.183          0.472         44.555          3.251          2.336         70.918         69.615            271
     25/10/1990       298      1990        244.400          241.389          0.001      11364.380       3820.924          0.336          0.751        131.927          1.982          7.575         21.541         92.074            245
     22/11/1991       326      1991        213.700          213.649          0.001       5228.337       1347.896          0.258          0.654         71.494          2.567          3.460         63.923         88.346            286
     26/11/1994       330      1994        110.000          109.668          0.001       4249.845        912.498          0.215          0.570         57.052          2.976          2.715         64.247         52.782            289
     05/11/1995       309      1995        273.300          273.251          0.001       8167.635       2288.884          0.280          0.720        103.038          2.436          5.576         38.886        112.475            262
     16/10/1998       289      1998        145.400          145.271          0.001        178.691         29.563          0.165          0.128          2.520          3.157          0.093        137.027         75.764            237
     16/11/1999       320      1999        142.100          142.100          0.001        891.171        186.431          0.209          0.195         10.147          2.472          0.461        110.722         59.537            276
     19/11/2000       324      2000        242.100          240.486          0.001       3567.053       1426.887          0.400          0.601         61.371          2.635          3.759         66.718        102.304            281
     26/11/2001       330      2001        271.400          267.652          0.001       8479.414       2612.448          0.308          0.697        114.879          1.880          4.910         46.386         91.655            283
