Summary_file = sorghum.sum
Title = sorghum Sample Simulation
      year     dd/mm/yyyy       das          stage            lai        biomass          yield      biomass_n    swdef_expan    nfact_expan    swdef_pheno    nfact_pheno   dlt_dm_light   dlt_dm_water         dlt_dm  extinct_coeff
    (year)             ()    (days)             ()        (m2/m2)        (kg/ha)        (kg/ha)         (g/m2)             ()             ()             ()             ()        (g/m^2)        (g/m^2)        (g/m^2)            (?)
      1989     01/11/1989         1          1.999          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000              ?
      1989     02/11/1989         2          2.000          0.000          0.000          0.000          0.000          0.000          1.000          0.000          0.000          0.000          0.000          0.000              ?
      1989     03/11/1989         3          2.303          0.000          0.000          0.000          0.000          1.000          1.000          1.000          0.000          0.000          0.029          0.000              ?
      1989     04/11/1989         4          2.630          0.000          0.000          0.000          0.000          1.000          1.000          1.000          0.000          0.000          0.135          0.000              ?
      1989     05/11/1989         5          2.964          0.000          0.000          0.000          0.000          1.000          1.000          1.000          0.000          0.000          0.514          0.000              ?
      1989     06/11/1989         6          3.000          0.002         20.000          0.000          0.035          1.000          1.000          1.000          1.000          0.000          1.764          0.000              ?
      1989     07/11/1989         7          3.168          0.017         20.138          0.000          0.058          1.000          1.000          1.000          1.000          0.014          3.464          0.014              ?
      1989     08/11/1989         8          3.252          0.019         22.145          0.000          0.070          1.000          1.000          1.000          1.000          0.201          3.417          0.201              ?
      1989     09/11/1989         9          3.356          0.027         24.695          0.000          0.082          1.000          1.000          1.000          1.000          0.255          3.521          0.255              ?
      1989     10/11/1989        10          3.450          0.035         27.485          0.000          0.092          1.000          1.000          1.000          1.000          0.279          5.212          0.279              ?
      1989     11/11/1989        11          3.555          0.042         30.624          0.000          0.102          1.000          1.000          1.000          1.000          0.314          9.288          0.314              ?
      1989     12/11/1989        12          3.667          0.051         35.580          0.000          0.113          1.000          1.000          1.000          1.000          0.496          8.771          0.496              ?
      1989     13/11/1989        13          3.788          0.060         40.331          0.000          0.124          1.000          1.000          1.000          1.000          0.475         11.704          0.475              ?
      1989     14/11/1989        14          3.920          0.072         46.985          0.000          0.139          1.000          1.000          1.000          1.000          0.665         14.007          0.665              ?
      1989     15/11/1989        15          4.000          0.086         55.199          0.000          0.157          1.000          1.000          1.000          1.000          0.821         14.503          0.821              ?
      1989     16/11/1989        16          4.117          0.104         64.560          0.000          0.179          1.000          1.000          1.000          1.000          0.936         16.073          0.936              ?
      1989     17/11/1989        17          4.211          0.128         76.043          0.000          0.209          1.000          1.000          1.000          1.000          1.148         17.021          1.148              ?
      1989     18/11/1989        18          4.303          0.156         86.734          0.000          0.245          1.000          1.000          1.000          1.000          1.069         27.124          1.069              ?
      1989     19/11/1989        19          4.387          0.187         98.426          0.000          0.286          1.000          1.000          1.000          1.000          1.169         43.274          1.169              ?
      1989     20/11/1989        20          4.453          0.215        115.627          0.000          0.329          1.000          1.000          1.000          1.000          1.720         56.015          1.720              ?
      1989     21/11/1989        21          4.514          0.245        138.961          0.000          0.377          1.000          1.000          1.000          1.000          2.333         40.234          2.333              ?
      1989     22/11/1989        22          4.574          0.277        165.385          0.000          0.429          1.000          1.000          1.000          1.000          2.642         46.530          2.642              ?
      1989     23/11/1989        23          4.626          0.308        190.228          0.000          0.482          1.000          1.000          1.000          1.000          2.484         52.026          2.484              ?
      1989     24/11/1989        24          4.698          0.356        221.919          0.000          0.550          1.000          1.000          1.000          1.000          3.169         51.702          3.169              ?
      1989     25/11/1989        25          4.770          0.412        260.198          0.000          0.631          1.000          1.000          1.000          1.000          3.828         54.129          3.828              ?
      1989     26/11/1989        26          4.833          0.466        302.309          0.000          0.718          1.000          1.000          1.000          1.000          4.211         53.437          4.211              ?
      1989     27/11/1989        27          4.905          0.534        350.842          0.000          0.819          1.000          1.000          1.000          1.000          4.853         60.275          4.853              ?
      1989     28/11/1989        28          4.965          0.597        405.846          0.000          0.924          1.000          1.000          1.000          1.000          5.500         60.458          5.500              ?
      1989     29/11/1989        29          5.000          0.670        470.271          0.000          1.041          1.000          1.000          1.000          1.000          6.442         55.747          6.442              ?
      1989     30/11/1989        30          5.050          0.747        544.709          0.000          1.169          1.000          1.000          1.000          1.000          7.444         50.523          7.444              ?
      1989     01/12/1989        31          5.086          0.835        625.973          0.000          1.315          1.000          1.000          1.000          1.000          8.126         48.928          8.126              ?
      1989     02/12/1989        32          5.129          0.949        713.876          0.000          1.492          1.000          1.000          1.000          1.000          8.790         42.969          8.790              ?
      1989     03/12/1989        33          5.180          1.094        805.227          0.000          1.705          1.000          1.000          1.000          1.000          9.135         49.302          9.135              ?
      1989     04/12/1989        34          5.232          1.255        894.243          0.000          1.948          1.000          1.000          1.000          1.000          8.902         50.453          8.902              ?
      1989     05/12/1989        35          5.274          1.392        957.281          0.000          2.173          1.000          1.000          1.000          1.000          6.304        132.819          6.304              ?
      1989     06/12/1989        36          5.322          1.551       1079.687          0.000          2.443          1.000          1.000          1.000          1.000         12.241         67.698         12.241              ?
      1989     07/12/1989        37          5.372          1.716       1219.738          0.000          2.735          1.000          1.000          1.000          1.000         14.005         63.354         14.005              ?
      1989     08/12/1989        38          5.416          1.861       1370.720          0.000          3.021          1.000          1.000          1.000          1.000         15.098         72.163         15.098              ?
      1989     09/12/1989        39          5.457          1.992       1516.925          0.000          3.300          1.000          1.000          1.000          1.000         14.621         56.701         14.621              ?
      1989     10/12/1989        40          5.501          2.128       1691.017          0.000          3.587          1.000          1.000          1.000          1.000         17.409         55.108         17.409              ?
      1989     11/12/1989        41          5.548          2.262       1880.924          0.000          3.886          1.000          1.000          1.000          1.000         18.991         43.029         18.991              ?
      1989     12/12/1989        42          5.596          2.392       2072.146          0.000          4.180          1.000          1.000          1.000          1.000         19.122         43.503         19.122              ?
      1989     13/12/1989        43          5.648          2.516       2262.779          0.000          4.465          1.000          1.000          1.000          1.000         19.063         48.923         19.063              ?
      1989     14/12/1989        44          5.695          2.617       2394.066          0.000          4.703          1.000          1.000          1.000          1.000         13.129        101.499         13.129              ?
      1989     15/12/1989        45          5.735          2.691       2535.881          0.000          4.918          1.000          1.000          1.000          1.000         14.181        104.334         14.181              ?
      1989     16/12/1989        46          5.770          2.752       2704.165          0.000          5.124          1.000          1.000          1.000          1.000         16.828        131.013         16.828              ?
      1989     17/12/1989        47          5.804          2.802       2893.654          0.000          5.343          1.000          1.000          1.000          1.000         18.949        103.678         18.949              ?
      1989     18/12/1989        48          5.840          2.851       3107.784          0.000          5.584          1.000          1.000          1.000          1.000         21.413         79.195         21.413              ?
      1989     19/12/1989        49          5.878          2.895       3332.990          0.000          5.841          1.000          1.000          1.000          1.000         22.521         64.161         22.521              ?
      1989     20/12/1989        50          5.920          2.937       3566.544          0.000          6.111          1.000          1.000          1.000          1.000         23.355         48.338         23.355              ?
      1989     21/12/1989        51          5.966          2.974       3807.151          0.000          6.387          1.000          1.000          1.000          1.000         24.061         41.021         24.061              ?
      1989     22/12/1989        52          6.000          2.995       4020.016          0.000          6.638          1.000          1.000          1.000          1.000         21.287         49.012         21.287              ?
      1989     23/12/1989        53          6.159          2.986       4208.566          0.000          6.881          1.000          1.000          1.000          1.000         18.855         64.229         18.855              ?
      1989     24/12/1989        54          6.303          2.975       4413.334          0.000          7.085          1.000          1.000          1.000          1.000         20.477         85.946         20.477              ?
      1989     25/12/1989        55          6.427          2.966       4591.008          0.000          7.251          1.000          1.000          1.000          1.000         17.767        102.962         17.767              ?
      1989     26/12/1989        56          6.567          2.953       4803.712          0.000          7.427          1.000          1.000          1.000          1.000         21.270         66.135         21.270              ?
      1989     27/12/1989        57          6.707          2.940       5033.944          0.000          7.602          1.000          1.000          1.000          1.000         23.023         65.015         23.023              ?
      1989     28/12/1989        58          6.833          2.927       5262.944          0.000          7.768          1.000          1.000          1.000          1.000         22.900         67.066         22.900              ?
      1989     29/12/1989        59          6.956          2.913       5494.942          0.000          7.929          1.000          1.000          1.000          1.000         23.200         62.853         23.200              ?
      1989     30/12/1989        60          7.000          2.899       5724.829          0.000          8.082          1.000          1.000          1.000          1.000         22.989         63.218         22.989              ?
      1989     31/12/1989        61          7.983          2.883       5957.446          0.000          8.260          1.000          1.000          1.000          1.000         23.262         55.728         23.262              ?
      1990     01/01/1990        62          8.000          2.866       6191.704          0.000          8.284          1.000          1.000          1.000          1.000         23.426         50.521         23.426              ?
      1990     02/01/1990        63          8.063          2.848       6434.147         60.611          8.322          1.000          1.000          1.000          1.000         24.244         40.986         24.244              ?
      1990     03/01/1990        64          8.097          2.828       6674.426        120.680          8.387          1.000          1.000          1.000          1.000         24.028         38.971         24.028              ?
      1990     04/01/1990        65          8.133          2.808       6912.396        180.173          8.513          1.000          1.000          1.000          1.000         23.797         32.598         23.797              ?
      1990     05/01/1990        66          8.167          2.781       7111.092        229.847          8.674          1.000          1.000          1.000          1.000         19.870         61.892         19.870              ?
      1990     06/01/1990        67          8.200          2.753       7318.440        494.800          8.832          1.000          1.000          1.000          1.000         20.735         47.177         20.735              ?
      1990     07/01/1990        68          8.236          2.723       7533.599        777.729          9.010          1.000          1.000          1.000          1.000         21.516         43.951         21.516              ?
      1990     08/01/1990        69          8.270          2.692       7752.226       1053.330          9.148          1.000          1.000          1.000          1.000         21.863         39.874         21.863              ?
      1990     09/01/1990        70          8.302          2.657       7956.770       1312.792          9.307          1.000          1.000          1.000          1.000         20.454         47.320         20.454              ?
      1990     10/01/1990        71          8.334          2.620       8148.493       1561.421          9.434          1.000          1.000          1.000          1.000         19.172         48.691         19.172              ?
      1990     11/01/1990        72          8.363          2.582       8295.998       1782.651          9.572          1.000          1.000          1.000          1.000         14.751         89.704         14.751              ?
      1990     12/01/1990        73          8.392          2.542       8472.095       2014.518          9.685          1.000          1.000          1.000          1.000         17.610         64.137         17.610              ?
      1990     13/01/1990        74          8.425          2.501       8651.944       2265.783          9.823          1.000          1.000          1.000          1.000         17.985         34.024         17.985              ?
      1990     14/01/1990        75          8.461          2.456       8828.948       2538.586          9.934          1.000          1.000          1.000          1.000         17.700         31.006         17.700              ?
