Summary_file = soilp.sum
Title = soilp Sample Simulation
            day           year    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)   unavail_p(1)   unavail_p(2)   unavail_p(3)   unavail_p(4)   unavail_p(5)   unavail_p(6)   unavail_p(7)      rock_p(1)      rock_p(2)      rock_p(3)      rock_p(4)      rock_p(5)      rock_p(6)      rock_p(7)    banded_p(1)    banded_p(2)    banded_p(3)    banded_p(4)    banded_p(5)    banded_p(6)    banded_p(7)       biom_p()        hum_p()        fom_p()
          (day)         (year)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()        (kg/ha)
              1           1988          9.761          1.957          3.879          3.933          4.050          4.079          4.080         97.500         19.500         38.700         39.300         40.500         40.800         40.800          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.503       1492.939          1.924
              2           1988          9.776          1.965          3.889          3.936          4.051          4.079          4.079         97.500         19.500         38.700         39.300         40.500         40.800         40.800          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.572       1492.916          1.843
              3           1988          9.795          1.974          3.900          3.939          4.051          4.078          4.079         97.500         19.500         38.700         39.300         40.500         40.800         40.800          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.641       1492.889          1.757
              4           1988          9.824          1.985          3.912          3.943          4.052          4.078          4.079         97.500         19.500         38.700         39.300         40.500         40.800         40.800          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.710       1492.858          1.662
              5           1988         15.836          1.997          3.925          3.947          4.053          4.077          4.078         97.536         19.500         38.700         39.300         40.500         40.800         40.800         23.985          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.770       1492.825          1.574
              6           1988         15.849          2.009          3.938          3.952          4.054          4.077          4.078         97.570         19.501         38.701         39.300         40.500         40.800         40.800         23.971          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.818       1492.792          1.496
              7           1988         15.864          2.021          3.950          3.956          4.055          4.076          4.078         97.600         19.501         38.701         39.300         40.500         40.800         40.800         23.956          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.856       1492.761          1.429
              8           1988         15.880          2.032          3.963          3.960          4.056          4.076          4.078         97.628         19.501         38.701         39.300         40.500         40.800         40.800         23.941          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.887       1492.731          1.369
              9           1988         15.897          2.045          3.976          3.965          4.057          4.076          4.078         97.659         19.502         38.702         39.300         40.500         40.800         40.800         23.927          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.913       1492.698          1.310
             10           1988         30.825          2.059          3.989          3.970          4.058          4.075          4.078         97.781         19.502         38.702         39.301         40.500         40.800         40.800         23.912          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.936       1492.664          1.252
             11           1988         30.747          2.074          4.004          3.975          4.059          4.075          4.078         97.910         19.503         38.703         39.301         40.500         40.800         40.800         23.897          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.954       1492.627          1.196
             12           1988         30.667          2.089          4.019          3.980          4.061          4.075          4.078         98.044         19.503         38.703         39.301         40.500         40.800         40.800         23.883          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.968       1492.590          1.143
             13           1988         30.589          2.104          4.034          3.986          4.062          4.075          4.078         98.174         19.504         38.704         39.301         40.500         40.800         40.800         23.868          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.977       1492.552          1.095
             14           1988         30.518          2.119          4.049          3.991          4.064          4.075          4.077         98.297         19.505         38.705         39.301         40.500         40.800         40.800         23.854          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.982       1492.516          1.050
             15           1988         30.545          2.134          4.063          3.996          4.065          4.075          4.077         98.517         19.506         38.706         39.302         40.500         40.800         40.800         23.839          0.000          0.000          0.000          0.000          0.000          0.000         19.804          0.000          0.000          0.000          0.000          0.000          0.000         15.984       1492.480          1.011
             16           1988         30.580          2.147          4.076          4.001          4.067          4.075          4.077         98.712         19.507         38.707         39.302         40.500         40.800         40.800         23.825          0.000          0.000          0.000          0.000          0.000          0.000         19.622          0.000          0.000          0.000          0.000          0.000          0.000         15.983       1492.447          0.976
             17           1988         30.609          2.162          4.090          4.007          4.068          4.075          4.077         98.920         19.508         38.708         39.302         40.500         40.800         40.800         23.810          0.000          0.000          0.000          0.000          0.000          0.000         19.434          0.000          0.000          0.000          0.000          0.000          0.000         15.980       1492.413          0.941
             18           1988         30.623          2.177          4.105          4.012          4.070          4.075          4.078         99.160         19.509         38.709         39.303         40.501         40.800         40.800         23.795          0.000          0.000          0.000          0.000          0.000          0.000         19.233          0.000          0.000          0.000          0.000          0.000          0.000         15.974       1492.375          0.906
             19           1988         30.630          2.193          4.120          4.018          4.072          4.075          4.078         99.416         19.510         38.710         39.303         40.501         40.800         40.800         23.781          0.000          0.000          0.000          0.000          0.000          0.000         19.026          0.000          0.000          0.000          0.000          0.000          0.000         15.966       1492.336          0.871
             20           1988         49.442          2.202          4.135          4.024          4.074          4.075          4.078         99.682         19.512         38.711         39.303         40.501         40.800         40.800         23.766          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.957       1492.300          0.842
             21           1988         49.187          2.215          4.152          4.031          4.076          4.075          4.078         99.996         19.514         38.713         39.304         40.501         40.800         40.800         23.752          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.944       1492.259          0.810
             22           1988         48.936          2.229          4.169          4.037          4.078          4.075          4.078        100.306         19.516         38.715         39.304         40.501         40.800         40.800         23.737          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         15.929       1492.216          0.779
