APSIM output file, version = 5.3
Title = p0N175
           year            day           date   sum@met_rain sum@soilwat2_runoff sum@soilwat2_drain    labile_p(1)    labile_p(2)    labile_p(3)    labile_p(4)    labile_p(5)    labile_p(6)    labile_p(7)    labile_p(8)    labile_p(9)   labile_p(10)      rock_p(1)       fom_p(1)          no3()          nh4()       fom_n(1)       fom_c(1)      biom_n(1)       hum_n(1) sum@soilwat2_es          sw(1)          sw(2)          sw(3)          sw(4)          sw(5)          sw(6)          sw(7)          sw(8)          sw(9)         sw(10)       sw_dep()            esw   surfaceom_wt   surfaceom_wt avg@maize_swdef_photo avg@maize_nfact_photo avg@maize_pfact_photo flowering_date          yield        biomass       p_uptake       n_uptake     root_depth        root_wt         no3(1)         no3(2)         no3(3)         no3(4)         no3(5)         no3(6)         no3(7)         no3(8)         no3(9)        no3(10)   unavail_p(1)        N_leach           flag      crop_year           crop
         (year)          (day)             ()           (mm)                (mm)               (mm)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)        (mm/mm)           (mm)           (mm)        (kg/ha)        (kg/ha)                    ()                    ()                    ()          (doy)        (kg/ha)        (kg/ha)        (g/m^2)        (g/m^2)           (mm)        (g/m^2)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)            (?)            (?)            (?)
           1952            104     13/04/1952       1000.300              77.549            489.779          3.852          2.734          2.016          1.902          1.126          1.139          1.133          1.127          1.120          1.113          0.000          0.046         97.487          0.432          0.281         14.017         37.929       1322.878         429.333          0.158          0.246          0.266          0.279          0.288          0.294          0.299          0.300          0.300          0.300        479.059         95.239          0.147          0.147                 0.481                 0.481                 0.784             45       1161.517       3827.157          0.271          6.283       1700.000         61.465          6.513          6.146          6.207         13.045         12.852         11.608         11.256         10.660          9.984          9.215         39.969        106.328              ?              ?              ?
           1953            108     18/04/1953        918.900              42.606            386.654          3.941          2.526          1.973          1.919          1.151          1.160          1.144          1.130          1.123          1.115          0.000          0.032        126.845          0.540          0.954         24.157         50.443       1319.369         455.159          0.221          0.285          0.293          0.299          0.300          0.300          0.300          0.301          0.301          0.301        500.282        112.282          0.000          0.000                 0.365                 0.362                 0.839             49       1267.413       3837.870          0.306          6.235       1700.000         58.304          3.183          3.223          4.648         17.176         22.342         22.765         19.719         15.293         10.988          7.509         39.743         98.792              ?              ?              ?
           1954            100     10/04/1954        668.500              34.755            278.680          3.221          2.511          1.956          1.917          1.154          1.163          1.142          1.125          1.118          1.110          0.000          0.041        142.674          0.443          2.017         45.004         54.894       1315.397         364.244          0.201          0.264          0.276          0.286          0.293          0.298          0.300          0.300          0.300          0.300        489.580        101.580          0.015          0.015                 0.389                 0.387                 0.813             39       1106.140       3538.717          0.268          5.637       1700.000         53.191          6.711          5.083          7.105         22.903         27.210         25.197         19.757         13.869          9.102          5.736         39.518         90.110              ?              ?              ?
           1955             95     05/04/1955       1006.700              83.198            481.258          3.899          2.413          1.925          1.900          1.131          1.143          1.124          1.113          1.108          1.100          0.000          0.036        108.234          0.483          1.744         40.329         54.119       1310.614         429.297          0.191          0.268          0.280          0.290          0.295          0.299          0.300          0.300          0.300          0.300        490.683        103.551          0.000          0.000                 0.394                 0.392                 0.816             35       1249.991       4002.744          0.303          6.384       1700.000         60.556          6.653          6.039          7.512         17.943         16.879         13.893         11.535         10.079          9.202          8.499         39.335        102.428              ?              ?              ?
           1956            102     11/04/1956       1005.400              71.023            435.303          4.868          2.408          1.916          1.906          1.146          1.158          1.136          1.120          1.113          1.106          0.000          0.026        114.279          0.482          1.089         26.157         58.552       1306.891         468.222          0.195          0.270          0.282          0.291          0.296          0.299          0.300          0.300          0.300          0.300        491.783        104.285          0.000          0.000                 0.379                 0.376                 0.834             44       1486.266       4333.502          0.355          6.555       1700.000         66.348          2.548          1.852          2.407          9.421         14.760         18.441         19.386         18.021         15.303         12.140         39.150        130.451              ?              ?              ?
           1957             97     07/04/1957       1059.200              62.752            490.386          4.640          2.448          1.911          1.901          1.138          1.155          1.130          1.112          1.105          1.098          0.000          0.024        123.402          0.509          1.037         25.596         64.314       1303.979         483.080          0.186          0.262          0.276          0.287          0.293          0.298          0.300          0.300          0.300          0.300        487.942        101.300          0.000          0.000                 0.399                 0.396                 0.821             38       1254.574       3597.256          0.292          5.551       1700.000         53.516          3.547          3.336          4.544         15.112         19.425         20.364         18.703         15.795         12.700          9.876         38.965        119.581              ?              ?              ?
           1958            101     11/04/1958        811.400              68.710            347.005          5.589          2.566          1.978          1.944          1.153          1.161          1.135          1.119          1.112          1.105          0.000          0.017        132.386          0.696          0.579         15.256         63.537       1300.723         385.447          0.239          0.267          0.274          0.283          0.291          0.296          0.300          0.300          0.300          0.300        491.940        103.940          0.000          0.000                 0.360                 0.358                 0.846             43       1349.992       4036.377          0.316          6.436       1700.000         62.230          5.936          4.393          5.670         17.924         22.141         22.043         19.254         15.275         11.462          8.288         38.841        106.624              ?              ?              ?
           1959            118     28/04/1959        797.300              36.041            335.885          5.106          2.717          2.054          1.981          1.172          1.166          1.144          1.128          1.120          1.111          0.000          0.021        133.540          0.592          0.827         20.810         69.409       1298.688         426.109          0.144          0.229          0.250          0.264          0.274          0.281          0.288          0.296          0.300          0.300        462.773         80.384          0.000          0.000                 0.364                 0.361                 0.827             57        954.688       3816.341          0.239          6.451       1700.000         61.311         19.475         13.115         14.242         23.969         17.567         12.752         10.596          8.924          7.284          5.614         38.835         76.224              ?              ?              ?
           1960             99     08/04/1960        663.400              31.705            288.139          4.394          2.456          1.931          1.914          1.142          1.158          1.127          1.112          1.106          1.098          0.000          0.034        140.987          0.524          1.826         41.306         75.693       1297.375         328.849          0.186          0.266          0.280          0.290          0.296          0.299          0.300          0.300          0.300          0.300        490.210        103.604          0.059          0.059                 0.410                 0.408                 0.801             39       1136.069       3766.727          0.276          6.221       1700.000         58.826          6.428          5.608          7.619         23.568         27.217         24.383         18.740         13.126          8.703          5.593         38.725         90.364              ?              ?              ?
           1961             86     27/03/1961        990.100              44.885            442.203          5.578          2.356          1.878          1.893          1.125          1.143          1.118          1.101          1.095          1.089          0.000          0.019        122.867          0.829          0.822         19.617         68.342       1294.401         455.730          0.245          0.287          0.294          0.299          0.300          0.300          0.300          0.300          0.300          0.300        502.371        114.371          0.000          0.000                 0.377                 0.374                 0.844             30       1605.251       4476.038          0.394          7.092       1700.000         69.889          5.052          3.937          4.928         15.177         18.899         19.740         18.190         15.405         12.251          9.286         38.607        137.508              ?              ?              ?
