APSIM output file, version = 5.3
Title = Warra 1500mm wet soil High N
           date            day           year   in_crop_rain eff_in_crop_rain            lai        biomass          yield             hi            nhi         sum_ep   n_conc_grain        grain_n          no3()            esw flowering_date
             ()          (day)         (year)            (?)              (?)      (m^2/m^2)        (kg/ha)        (kg/ha)            (?)            (?)           (mm)            (%)        (g/m^2)        (kg/ha)           (mm)          (doy)
     13/10/1957            286           1957        122.700          117.804          0.001      10654.739       3333.540          0.313          0.770        207.603          2.895          9.652         23.788         66.797            243
     07/10/1958            280           1958        253.000          168.721          0.001      10492.217       4220.725          0.402          0.802        201.896          2.144          9.048         39.875         78.182            232
     11/10/1959            284           1959        142.500          118.238          0.001       9300.025       2809.052          0.302          0.751        181.634          2.898          8.140         34.034         74.676            242
     16/10/1960            290           1960        106.000          106.000          0.001      10493.961       2909.875          0.277          0.694        199.108          2.892          8.416         24.371         65.232            250
     13/10/1961            286           1961        187.000          186.774          0.001      11645.948       3348.420          0.288          0.752        226.882          2.872          9.617         23.098        101.581            245
     11/10/1962            284           1962        146.900          146.889          0.001      11046.750       3423.709          0.310          0.784        217.932          2.853          9.768         25.438         65.985            242
     12/10/1963            285           1963        137.700          136.483          0.001      10741.998       3494.314          0.325          0.780        206.123          2.739          9.572         26.184         68.179            242
     11/10/1964            285           1964        345.100          297.361          0.001      11191.980       3709.046          0.331          0.780        223.389          2.581          9.573         22.990        184.854            244
     13/10/1965            286           1965        180.000          179.159          0.001      12773.416       4204.388          0.329          0.771        239.441          2.444         10.277         22.224         69.719            246
     17/10/1966            290           1966        197.900          191.316          0.001      12967.208       4201.656          0.324          0.759        239.595          2.355          9.896         21.711         79.489            246
     12/10/1967            285           1967        246.400          161.551          0.001      11511.029       3805.199          0.331          0.776        214.167          2.404          9.149         23.297         72.928            244
     19/10/1968            293           1968        146.800          144.264          0.001      12898.592       4063.586          0.315          0.756        230.972          2.416          9.817         20.188         68.880            251
     11/10/1969            284           1969        146.300          133.622          0.001       9775.711       3486.216          0.357          0.803        187.660          2.648          9.231         32.219         69.570            238
     13/10/1970            286           1970         91.600           91.600          0.001       8402.885       2370.905          0.282          0.629        170.454          2.903          6.882         36.930         73.942            245
     12/10/1971            285           1971        231.200          214.438          0.001      14565.864       5142.315          0.353          0.743        273.861          1.901          9.777         21.839         80.035            246
     10/10/1972            284           1972         67.400           67.400          0.001       8287.767       2067.573          0.249          0.571        167.280          2.892          5.979         38.678         65.120            244
     02/10/1973            275           1973        352.500          271.067          0.001      10808.249       3725.493          0.345          0.770        197.005          2.683          9.995         23.389        208.134            231
     18/10/1974            291           1974        260.000          209.147          0.001      11733.171       4184.106          0.357          0.765        212.043          2.171          9.083         26.625        105.329            246
     11/10/1975            284           1975        224.000          210.594          0.001      13974.880       5138.531          0.368          0.765        258.175          1.990         10.223         21.124         98.667            241
     14/10/1976            288           1976        163.400          163.400          0.001      10632.347       3452.085          0.325          0.787        195.362          2.787          9.620         27.325         97.027            242
     13/10/1977            286           1977        141.400           63.076          0.001       8679.650       2189.360          0.252          0.622        167.695          2.887          6.321         33.893         63.927            245
     18/10/1978            291           1978        352.000          297.706          0.001      15919.649       4780.025          0.300          0.708        276.140          1.912          9.142         18.022        123.546            247
     10/10/1979            283           1979        138.000          133.259          0.001       9990.187       2938.451          0.294          0.724        191.868          2.897          8.513         25.882         83.186            241
     04/10/1980            278           1980         99.000           81.690          0.001       9457.888       2784.187          0.294          0.682        182.028          2.900          8.074         29.157         65.805            238
     11/10/1981            284           1981        240.000          185.289          0.001      12714.279       3961.581          0.312          0.755        225.961          2.380          9.430         20.803         70.797            244
     15/10/1982            288           1982        174.800          161.522          0.001      10032.681       3099.725          0.309          0.771        194.684          2.875          8.911         27.010        101.578            245
     07/10/1983            280           1983        267.900          166.328          0.001      11525.352       4056.724          0.352          0.783        192.587          2.314          9.389         23.341         93.423            242
     14/10/1984            288           1984        351.000          216.562          0.001      14374.250       4524.694          0.315          0.731        260.046          1.990          9.004         18.484         91.074            241
     14/10/1985            287           1985        312.600          255.362          0.001      12551.080       4374.880          0.349          0.772        237.873          2.240          9.801         22.454        138.881            243
     08/10/1986            281           1986        115.000          115.000          0.001      10614.374       3369.305          0.317          0.777        197.456          2.862          9.644         26.530         66.796            241
     08/10/1987            281           1987        105.400           81.786          0.001       9876.465       3050.858          0.309          0.741        182.679          2.896          8.835         29.102         65.685            238
     03/10/1988            277           1988        226.200          194.581          0.001      13472.718       4795.164          0.356          0.764        244.199          2.057          9.861         21.706         78.657            235
     13/10/1989            286           1989        135.600          133.194          0.001      10888.810       3563.942          0.327          0.796        195.173          2.747          9.789         27.419         68.112            245
     12/10/1990            285           1990        179.200          138.193          0.001      10712.373       3224.896          0.301          0.764        189.736          2.836          9.147         26.939         67.372            244
     03/10/1991            276           1991         29.500           29.500          0.001       8036.537       2434.660          0.303          0.686        164.812          2.893          7.043         54.375         64.672            234
     12/10/1992            286           1992        121.300          107.531          0.001       9638.063       3273.158          0.340          0.789        193.472          2.732          8.942         29.701         65.735            243
     02/10/1993            275           1993        105.100          105.100          0.001       9131.930       3309.032          0.362          0.816        181.092          2.808          9.291         40.566         70.777            232
     15/10/1994            288           1994         60.600           60.600          0.001       7954.775       1924.404          0.242          0.521        167.175          2.885          5.551         36.892         63.278            246
     07/10/1995            280           1995        122.100          110.200          0.001       9115.211       2700.331          0.296          0.696        178.915          2.885          7.790         33.230         69.528            240
     07/10/1996            281           1996        172.600          164.206          0.001       9666.875       3368.444          0.348          0.805        181.631          2.855          9.617         30.374        131.630            239
     06/10/1997            279           1997        112.800          102.699          0.001       8348.550       2471.540          0.296          0.629        173.388          2.901          7.171         33.632         97.848            240
     04/10/1998            277           1998        210.100          203.446          0.001      12215.491       4616.174          0.378          0.783        212.604          2.233         10.306         25.154        136.803            236
     05/10/1999            278           1999        113.300          113.300          0.001       9994.646       3530.453          0.353          0.808        194.559          2.676          9.446         35.038         69.617            236
     06/10/2000            280           2000         53.300           53.162          0.001       8028.675       2086.920          0.260          0.575        164.789          2.887          6.025         44.751         65.012            243
     08/10/2001            281           2001         46.700           46.700          0.001       8125.288       2197.655          0.270          0.593        168.260          2.890          6.351         39.183         63.911            239
     08/10/2002            281           2002        131.000          130.585          0.001       9525.156       3094.098          0.325          0.776        206.419          2.865          8.864         34.239         66.711            242
