ApsimVersion = 6.0
Title = Winter dicot fallow Simulation
            day           year       weed_lai   weed_biomass weed_grn_biomass
          (day)         (year)      (m^2/m^2)        (kg/ha)          (kg/ha)
            100           1988          0.000            0.0              0.0
            101           1988          0.000            0.0              0.0
            102           1988          0.000            0.0              0.0
            103           1988          0.000            0.0              0.0
            104           1988          0.000            0.0              0.0
            105           1988          0.000            0.0              0.0
            106           1988          0.000            0.0              0.0
            107           1988          0.000            0.0              0.0
            108           1988          0.000            0.0              0.0
            109           1988          0.000            0.0              0.0
            110           1988          0.000            0.0              0.0
            111           1988          0.000            0.0              0.0
            112           1988          0.000            0.0              0.0
            113           1988          0.000            0.0              0.0
            114           1988          0.000            0.0              0.0
            115           1988          0.000            0.0              0.0
            116           1988          0.000            0.0              0.0
            117           1988          0.000            0.0              0.0
            118           1988          0.000            0.0              0.0
            119           1988          0.000            0.0              0.0
            120           1988          0.000            0.0              0.0
            121           1988          0.000            0.0              0.0
            122           1988          0.000            0.0              0.0
            123           1988          0.000            0.0              0.0
            124           1988          0.000            0.0              0.0
            125           1988          0.004            9.0              9.0
            126           1988          0.005            9.5              9.5
            127           1988          0.006           10.0             10.0
            128           1988          0.008           10.8             10.8
            129           1988          0.010           11.7             11.7
            130           1988          0.012           12.8             12.8
            131           1988          0.015           14.3             14.3
            132           1988          0.019           16.0             16.0
            133           1988          0.024           18.3             18.3
            134           1988          0.030           21.0             21.0
            135           1988          0.037           24.3             24.3
            136           1988          0.045           28.1             28.1
            137           1988          0.055           32.7             32.7
            138           1988          0.061           35.7             35.7
            139           1988          0.071           40.3             40.3
            140           1988          0.087           47.6             47.6
            141           1988          0.100           53.8             53.8
            142           1988          0.115           60.3             60.3
            143           1988          0.136           70.2             70.2
            144           1988          0.164           83.2             83.2
            145           1988          0.195           97.4             97.4
            146           1988          0.226          112.7            112.7
            147           1988          0.271          134.5            134.5
            148           1988          0.324          160.4            160.4
            149           1988          0.374          186.3            186.3
            150           1988          0.428          216.6            216.6
            151           1988          0.482          249.3            249.3
            152           1988          0.549          286.7            286.7
            153           1988          0.622          320.4            320.4
            154           1988          0.713          362.7            362.7
            155           1988          0.813          408.9            408.9
            156           1988          0.868          434.0            434.0
            157           1988          0.949          471.7            471.7
            158           1988          1.063          524.4            524.4
            159           1988          1.179          594.1            594.1
            160           1988          1.281          661.1            661.1
            161           1988          1.398          736.4            736.4
            162           1988          1.541          830.5            830.5
            163           1988          1.661          914.2            914.2
            164           1988          1.760          985.4            985.4
            165           1988          1.864         1068.4           1068.4
            166           1988          1.974         1160.1           1160.1
            167           1988          2.094         1260.3           1260.3
            168           1988          2.226         1354.0           1354.0
            169           1988          2.360         1454.9           1454.9
            170           1988          2.510         1576.0           1576.0
            171           1988          2.630         1682.8           1682.8
            172           1988          2.755         1796.1           1796.1
            173           1988          2.895         1924.1           1924.1
            174           1988          3.015         2033.4           2033.4
            175           1988          3.133         2145.5           2145.5
            176           1988          3.259         2260.7           2260.7
            177           1988          3.392         2381.8           2381.8
            178           1988          3.524         2503.3           2503.3
            179           1988          3.662         2656.5           2656.5
            180           1988          3.772         2788.5           2788.5
            181           1988          3.863         2899.1           2899.1
            182           1988          3.947         3011.4           3011.4
            183           1988          4.037         3129.2           3129.2
            184           1988          4.129         3222.0           3221.3
            185           1988          4.232         3287.0           3283.9
            186           1988          4.329         3356.9           3349.1
            187           1988          4.442         3438.2           3423.9
            188           1988          4.534         3575.1           3551.6
            189           1988          4.600         3693.4           3658.5
            190           1988          4.663         3822.2           3774.0
            191           1988          4.725         3958.2           3895.0
            192           1988          4.790         4058.8           3978.8
            193           1988          4.841         4121.2           4022.7
            194           1988          4.895         4197.6           4079.2
            195           1988          4.946         4310.3           4170.3
            196           1988          4.989         4428.0           4264.7
            197           1988          5.027         4548.4           4360.3
            198           1988          5.060         4661.3           4447.0
            199           1988          5.096         4779.5           4537.6
            200           1988          5.115         4903.1           4632.2
            201           1988          5.130         5031.9           4731.0
            202           1988          5.155         5145.4           4813.8
            203           1988          5.192         5231.9           4868.6
            204           1988          5.214         5303.3           4907.1
            205           1988          5.213         5415.9           4985.8
            206           1988          5.207         5527.1           5062.9
            207           1988          5.209         5646.5           5148.0
            208           1988          5.226         5769.7           5236.6
            209           1988          5.219         5879.8           5311.2
            210           1988          5.212         5998.3           5394.3
            211           1988          5.209         6099.6           5460.4
            212           1988          5.222         6211.4           5537.1
            213           1988          5.227         6344.8           5634.8
            214           1988          5.234         6479.0           5733.2
            215           1988          5.247         6604.6           5822.9
            216           1988          5.269         6748.6           5930.9
            217           1988          5.288         6889.3           6034.9
            218           1988          5.302         7023.5           6132.0
            219           1988          5.309         7144.3           6215.4
            220           1988          5.297         7252.4           6285.8
            221           1988          5.282         7354.6           6351.0
            222           1988          5.265         7459.1           6418.9
            223           1988          5.212         7586.9           6510.8
            224           1988          5.161         7752.4           6642.2
            225           1988          5.113         7906.4           6763.9
            226           1988          5.068         8060.1           6886.9
            227           1988          5.025         8208.9           7006.5
            228           1988          4.983         8350.1           7120.0
            229           1988          4.944         8497.3           7240.7
            230           1988          4.907         8641.1           7359.4
            231           1988          4.871         8768.0           7462.2
            232           1988          4.823         8893.9           7555.6
            233           1988          4.552         9038.5           7517.1
            234           1988          4.242         9169.0           7438.9
            235           1988          3.894         9248.7           7284.1
            236           1988          3.579         9343.9           7166.6
            237           1988          3.382         9446.0           7136.3
            238           1988          3.202         9573.3           7142.2
            239           1988          2.979         9691.9           7110.3
            240           1988          2.729         9772.4           7022.2
            241           1988          2.517         9864.3           6970.7
            242           1988          2.368         9992.9           6999.1
            243           1988          2.201        10116.8           7010.5
            244           1988          2.012        10182.4           6948.6
            245           1988          1.830        10241.8           6885.6
            246           1988          1.635        10333.1           6844.8
            247           1988          1.419        10438.8           6805.0
            248           1988          1.231        10522.2           6761.7
            249           1988          1.058        10574.0           6696.7
            250           1988          0.889        10637.0           6645.8
            251           1988          0.738        10687.9           6594.9
            252           1988          0.589        10765.0           6571.7
            253           1988          0.445        10827.1           6537.0
            254           1988          0.283        10879.7           6479.7
            255           1988          0.119        10921.7           6411.1
            256           1988          0.064        10944.6           6396.9
            257           1988          0.013        10975.5           6393.9
            258           1988          0.000        10984.8           6394.3
            259           1988          0.000        11007.3              0.0
            260           1988          0.000            0.0              0.0
            261           1988          0.000            0.0              0.0
            262           1988          0.000            0.0              0.0
            263           1988          0.000            0.0              0.0
            264           1988          0.000            0.0              0.0
            265           1988          0.000            0.0              0.0
            266           1988          0.000            0.0              0.0
            267           1988          0.000            0.0              0.0
            268           1988          0.000            0.0              0.0
            269           1988          0.000            0.0              0.0
            270           1988          0.000            0.0              0.0
            271           1988          0.000            0.0              0.0
            272           1988          0.000            0.0              0.0
            273           1988          0.000            0.0              0.0
            274           1988          0.000            0.0              0.0
            275           1988          0.000            0.0              0.0
            276           1988          0.000            0.0              0.0
