ApsimVersion = 6.1
Title = site=goondiwindi; soil=lg1; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)            (?)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000            3.4            9.7            0.0         737.200         46.031        507.100        109.921
     31/12/1971           1971         3959.9        237.289          4.157            0.0          0.000          0.000            0.0          0.000          0.000          632.2         6182.1            0.0         668.800         17.684        470.791        171.655
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000            0.0        116.782          2.694         4612.0         5719.0            0.0         501.100          0.014        398.543          0.000
     31/12/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         4528.9        110.442          2.694         4832.6         6577.1            0.0         727.500          3.203        431.191          1.273
     31/12/1974           1974         2549.6        195.335          3.777            0.0          0.000          0.000            0.0          0.000          0.000         3083.7         8161.4            0.0         509.100         10.408        343.479         54.602
     31/12/1975           1975            0.0          0.000          0.000            0.0          0.000          0.000            0.0         97.431          2.656         3920.1         6562.6            0.0         692.900          8.216        417.525        114.339
     31/12/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         4873.1         92.915          2.656         2092.9         4767.5            0.0         817.500         73.057        491.460        152.929
     31/12/1977           1977         2909.9        184.725          3.758            0.0          0.000          0.000            0.0          0.000          0.000         1033.6         5860.0            0.0         614.500         10.846        470.789        142.177
     31/12/1978           1978            0.0          0.000          0.000            0.0          0.000          0.000            0.0        103.626          2.864         2177.1         4375.0            0.0         799.100          8.856        493.790         70.337
     31/12/1979           1979            0.0          0.000          0.000            0.0          0.000          0.000         3992.7         88.920          2.864         3159.0         5575.9            0.0         488.600          0.000        410.012          0.671
     31/12/1980           1980         1926.0        136.963          3.540            0.0          0.000          0.000            0.0          0.000          0.000         1348.0         4494.1            0.0         387.700          0.240        326.559          0.000
     31/12/1981           1981            0.0          0.000          0.000            0.0          0.000          0.000            0.0        104.514          2.726         1319.2         3039.2            0.0         664.100         22.052        446.972          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000         5057.5        131.453          2.726         2450.8         5122.3            0.0         518.300          1.427        369.924          0.000
     31/12/1983           1983         3446.5        209.377          3.633            0.0          0.000          0.000            0.0          0.000          0.000         1368.3         7576.6            0.0        1019.100         85.700        510.101        177.984
     31/12/1984           1984            0.0          0.000          0.000            0.0          0.000          0.000            0.0        113.052          2.748         2060.0         5272.5            0.0         798.300         22.243        503.228        242.899
     31/12/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000         3207.3         81.449          2.748         2146.7         5110.0            0.0         568.000          6.285        474.025          1.181
     31/12/1986           1986         2900.7        178.769          3.384            0.0          0.000          0.000            0.0          0.000          0.000          529.3         4898.7            0.0         531.400          2.929        443.981          0.000
     31/12/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000            0.0        109.346          2.750         1829.4         3979.8            0.0         598.600          0.711        475.460          0.000
     31/12/1988           1988            0.0          0.000          0.000            0.0          0.000          0.000         3601.4         65.358          2.750         1581.4         4668.9            0.0         832.400          7.994        505.644         90.921
     31/12/1989           1989         2521.3        188.411          4.002            0.0          0.000          0.000            0.0          0.000          0.000         1173.8         7404.1            0.0         680.000         55.481        427.030        112.965
     31/12/1990           1990            0.0          0.000          0.000            0.0          0.000          0.000            0.0        130.061          2.601         2128.4         4970.2            0.0         687.900         26.557        427.986        123.490
     31/12/1991           1991            0.0          0.000          0.000            0.0          0.000          0.000         4525.0         85.088          2.601         2450.5         4400.0            0.0         608.700         37.440        369.122          0.001
     31/12/1992           1992         2468.4        188.527          3.464            0.0          0.000          0.000            0.0          0.000          0.000         1079.1         6274.3            0.0         382.800          0.000        365.436          0.000
     31/12/1993           1993            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.634          0.135         3523.9         4740.3            0.0         446.500          0.000        392.427          0.000
     31/12/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000         3736.9        116.504          1.860         2427.5         3508.8            0.0         524.300         16.625        316.380          0.000
     31/12/1995           1995         2623.9        160.698          2.226            0.0          0.000          0.000            0.0          0.000          0.000          898.0         4001.8            0.0         608.600          9.745        421.935         27.401
     31/12/1996           1996            0.0          0.000          0.000            0.0          0.000          0.000            0.0         19.197          1.877          647.1         2264.8            0.0         961.100        111.280        499.017        241.228
     31/12/1997           1997            0.0          0.000          0.000            0.0          0.000          0.000         3948.8         93.966          1.877         2191.2         3739.1            0.0         747.000         99.039        421.408        127.382
     31/12/1998           1998         2753.7        161.700          3.372            0.0          0.000          0.000            0.0          0.000          0.000         1530.8         6952.1            0.0         891.400         55.822        415.569        272.503
     31/12/1999           1999            0.0          0.000          0.000            0.0          0.000          0.000            0.0         95.566          2.856         2169.0         5296.5            0.0         848.600         15.791        530.028        261.772
     31/12/2000           2000            0.0          0.000          0.000            0.0          0.000          0.000         4462.9        123.141          2.856         3506.8         5882.2            0.0         481.900          0.793        397.135          2.764
