ApsimVersion = 6.1
Title = site=warialda; soil=cd2; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)            (?)        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         3839.9        204.421          2.804         1248.5         3223.6            0.0         892.100         49.602        492.529        124.236
     31/12/1971           1971         2568.0        159.547          3.659            0.0          0.000          0.000         6590.1        205.838          2.864         3158.3         5700.9            0.0         894.099         42.812        338.571        279.360
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000            0.0         44.434          1.836         1655.6         4791.8            0.0         552.200          0.795        486.804          0.000
     31/12/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         3678.4        183.232          2.651         1423.2         3937.6            0.0         816.400         44.549        514.650          0.000
     31/12/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         5028.2        182.379          2.825         1474.5         3990.5            0.0         610.200         31.043        410.991         63.261
     31/12/1975           1975         3092.7        181.914          3.522            0.0          0.000          0.000         2282.8        104.667          2.317          906.4         5520.3            0.0        1036.400         41.936        464.868        142.980
     31/12/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         6140.4        184.989          2.829         1678.6         4771.6            0.0         817.900        102.911        469.812        180.963
     31/12/1977           1977         1632.5        120.981          2.917            0.0          0.000          0.000            0.0          0.000          0.000          464.3         4491.7            0.0         676.600         56.659        456.479         84.129
     31/12/1978           1978            0.0          0.000          0.000         2095.5        151.891          2.316            0.0          0.000          0.000          349.6         2854.1            0.0         858.400         14.389        583.063         46.588
     31/12/1979           1979         2773.9        151.745          2.432            0.0          0.000          0.000            0.0          0.000          0.000          734.8         4355.0            0.0         620.300         23.048        395.509         49.986
     31/12/1980           1980            0.0          0.000          0.000          816.5        114.473          1.638            0.0          0.000          0.000          803.4         4193.1            0.0         533.200          1.828        394.768          2.189
     31/12/1981           1981         2382.1        136.719          5.110            0.0          0.000          0.000         1592.1         91.219          2.512         1094.1         5083.2            0.0         668.200         20.451        450.081          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000            0.0          1.480          0.476          162.1         1681.5            0.0         525.900         14.148        385.009         36.259
     31/12/1983           1983         5755.3        279.586          5.687            0.0          0.000          0.000         2546.8        123.698          1.891         1140.4         9369.2            0.0         957.300         42.149        451.084         59.617
     31/12/1984           1984            0.0          0.000          0.000         1607.4        181.558          2.066         7006.6        233.707          2.874         2645.5         6045.3            0.0         832.400         16.848        420.928         80.580
     31/12/1985           1985         2080.7        123.182          2.840            0.0          0.000          0.000            0.0          0.000          0.030          625.2         3872.1            0.0         651.600          2.838        461.614          0.000
     31/12/1986           1986            0.0          0.000          0.000            0.0          0.000          0.000         2836.7         67.895          0.937          877.3         2357.4            0.0         474.300          0.492        428.327          0.000
     31/12/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000         3933.1        144.865          2.326          624.2         3121.2            0.0         692.700          0.071        571.710          0.000
     31/12/1988           1988         4095.4        221.584          4.873            0.0          0.000          0.000            0.0          0.000          0.000         1049.0         8362.6            0.0         859.700         33.611        480.997        135.348
     31/12/1989           1989            0.0          0.000          0.000         1232.8        127.533          1.797            0.0          0.000          0.000          538.7         3658.0            0.0         745.200         20.298        539.715         20.761
     31/12/1990           1990         2625.4        159.348          6.412            0.0          0.000          0.000            0.0          0.000          0.000          923.9         7144.4            0.0         533.100          8.318        431.738         22.703
     31/12/1991           1991            0.0          0.000          0.000          964.9        114.885          2.021            0.0          0.000          0.000          737.9         5454.4            0.0         743.500         18.440        446.465        110.606
     31/12/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000           75.0          464.3            0.0         575.600          0.623        554.494          0.000
     31/12/1993           1993         3014.8        166.470          3.266            0.0          0.000          0.000            0.0          0.000          0.000          498.5         5723.3            0.0         582.300          0.000        424.402          0.000
     31/12/1994           1994            0.0          0.000          0.000          699.4        105.747          1.536            0.0          0.000          0.000          693.3         2662.2            0.0         428.100          7.442        355.340         19.861
     31/12/1995           1995         1435.9         93.420          1.447            0.0          0.000          0.000            0.0         13.857          1.119          195.0         2779.7            0.0         802.200         20.253        504.646         38.574
     31/12/1996           1996            0.0          0.000          0.000          933.3        111.086          1.320         6516.5        224.190          2.878         1882.0         5216.3            0.0         785.800          8.443        491.850         58.668
     31/12/1997           1997         1679.9        108.881          3.028            0.0          0.000          0.000            0.0          0.000          0.000          507.7         3632.1            0.0         676.200         17.071        475.950          0.000
     31/12/1998           1998            0.0          0.000          0.000         2393.1        176.672          2.679         2208.5        115.521          2.162          731.4         3209.3            0.0         911.900         35.520        546.598         73.975
     31/12/1999           1999         3616.7        215.894          2.893            0.0          0.000          0.000            0.0         17.623          1.703          526.0         6147.9            0.0         872.000         21.569        503.401         31.994
     31/12/2000           2000            0.0          0.000          0.000            0.0          0.000          0.000         3465.6        244.819          2.795         1276.0         4653.6            0.0         821.000         54.693        462.086         99.270
