Summary_file = canola.sum
Title = canola Sample Simulation
    day   year            lai        biomass  green_biomass            pai
  (day) (year)      (m^2/m^2)        (kg/ha)        (kg/ha)      (m^2/m^2)
    130   1988          0.000          0.000          0.000          0.000
    131   1988          0.000          0.000          0.000          0.000
    132   1988          0.000          0.000          0.000          0.000
    133   1988          0.000          0.000          0.000          0.000
    134   1988          0.000          0.000          0.000          0.000
    135   1988          0.000          0.000          0.000          0.000
    136   1988          0.000          0.000          0.000          0.000
    137   1988          0.000          0.000          0.000          0.000
    138   1988          0.000          0.000          0.000          0.000
    139   1988          0.000          0.000          0.000          0.000
    140   1988          0.000          0.000          0.000          0.000
    141   1988          0.000          0.000          0.000          0.000
    142   1988          0.000          0.000          0.000          0.000
    143   1988          0.032         12.000         12.000          0.000
    144   1988          0.040         14.907         14.907          0.000
    145   1988          0.048         17.692         17.692          0.000
    146   1988          0.056         20.561         20.561          0.000
    147   1988          0.066         24.177         24.177          0.000
    148   1988          0.078         28.651         28.651          0.000
    149   1988          0.091         33.304         33.304          0.000
    150   1988          0.105         38.746         38.746          0.000
    151   1988          0.117         45.017         45.017          0.000
    152   1988          0.133         51.575         51.575          0.000
    153   1988          0.150         57.419         57.419          0.000
    154   1988          0.171         65.081         65.081          0.000
    155   1988          0.194         73.325         73.325          0.000
    156   1988          0.206         78.072         78.072          0.000
    157   1988          0.221         84.301         84.301          0.000
    158   1988          0.250         96.193         96.193          0.000
    159   1988          0.288        111.703        111.703          0.000
    160   1988          0.320        127.940        127.940          0.000
    161   1988          0.358        145.255        145.255          0.000
    162   1988          0.406        165.288        165.288          0.000
    163   1988          0.450        188.303        188.303          0.000
    164   1988          0.486        213.225        213.225          0.000
    165   1988          0.526        242.480        242.480          0.000
    166   1988          0.570        274.801        274.801          0.000
    167   1988          0.619        309.643        309.643          0.000
    168   1988          0.680        342.089        342.089          0.000
    169   1988          0.747        379.715        379.715          0.000
    170   1988          0.827        423.328        423.328          0.000
    171   1988          0.893        473.673        473.673          0.000
    172   1988          0.964        527.040        527.040          0.000
    173   1988          1.046        584.959        584.959          0.000
    174   1988          1.121        646.472        646.472          0.000
    175   1988          1.198        713.392        713.392          0.000
    176   1988          1.285        780.428        780.428          0.000
    177   1988          1.385        849.840        849.840          0.000
    178   1988          1.490        922.276        922.276          0.000
    179   1988          1.599       1012.070       1012.070          0.000
    180   1988          1.694       1106.318       1106.318          0.000
    181   1988          1.778       1197.188       1197.188          0.000
    182   1988          1.859       1291.500       1291.500          0.000
    183   1988          1.950       1392.312       1392.312          0.000
    184   1988          2.050       1470.045       1470.045          0.000
    185   1988          2.169       1518.369       1518.369          0.000
    186   1988          2.299       1572.166       1572.166          0.000
    187   1988          2.453       1634.984       1634.984          0.000
    188   1988          2.596       1747.128       1747.128          0.000
    189   1988          2.708       1858.807       1858.807          0.000
    190   1988          2.832       1977.732       1977.732          0.000
    191   1988          2.963       2107.754       2107.754          0.000
    192   1988          3.104       2208.769       2208.769          0.000
    193   1988          3.195       2273.340       2273.340          0.000
    194   1988          3.306       2352.969       2352.969          0.000
    195   1988          3.473       2472.090       2472.090          0.000
    196   1988          3.653       2600.690       2600.690          0.000
    197   1988          3.844       2736.917       2736.917          0.000
    198   1988          4.029       2869.163       2869.163          0.000
    199   1988          4.227       3011.691       3011.309          0.000
    200   1988          4.435       3165.401       3161.902          0.000
    201   1988          4.651       3330.925       3321.265          0.000
    202   1988          4.839       3481.969       3462.756          0.000
    203   1988          4.957       3589.603       3557.700          0.000
    204   1988          5.056       3687.757       3641.130          0.000
    205   1988          5.206       3825.322       3762.273          0.000
    206   1988          5.335       3953.625       3871.435          0.000
    207   1988          5.512       4120.185       4016.500          0.000
    208   1988          5.697       4300.413       4171.862          0.000
    209   1988          5.721       4444.702       4287.408          0.012
    210   1988          5.713       4606.829       4420.185          0.025
    211   1988          5.682       4736.597       4520.673          0.035
    212   1988          5.664       4870.817       4626.240          0.046
    213   1988          5.639       5022.054       4749.053          0.058
    214   1988          5.616       5163.810       4862.812          0.069
    215   1988          5.601       5291.146       4962.631          0.079
    216   1988          5.586       5437.448       5081.631          0.091
    217   1988          5.573       5578.298       5195.434          0.102
    218   1988          5.563       5711.967       5302.286          0.113
    219   1988          5.556       5832.774       5396.505          0.123
    220   1988          5.524       5958.393       5495.547          0.133
    221   1988          5.490       6077.234       5588.386          0.142
    222   1988          5.457       6198.740       5684.466          0.152
    223   1988          5.431       6347.301       5808.149          0.164
    224   1988          5.419       6505.966       5942.357          0.176
    225   1988          5.357       6639.802       6052.003          0.191
    226   1988          5.299       6770.950       6160.273          0.205
    227   1988          5.244       6890.805       6258.467          0.221
    228   1988          5.192       6998.334       6345.471          0.237
    229   1988          5.142       7106.783       6434.450          0.253
    230   1988          5.095       7208.214       6517.398          0.270
    231   1988          5.051       7291.849       6583.472          0.287
    232   1988          5.008       7372.853       6647.779          0.305
    233   1988          4.968       7467.232       6726.270          0.323
    234   1988          4.929       7545.241       6789.149          0.342
    235   1988          4.893       7589.219       6818.713          0.354
    236   1988          4.858       7641.392       6857.142          0.369
    237   1988          4.824       7697.262       6899.901          0.385
    238   1988          4.793       7765.371       6955.495          0.405
    239   1988          4.762       7826.802       7004.972          0.422
    240   1988          4.733       7867.717       7034.466          0.434
    241   1988          4.705       7914.187       7070.016          0.447
    242   1988          4.679       7978.674       7124.059          0.466
    243   1988          4.653       8038.283       7173.673          0.483
    244   1988          4.629       8068.702       7194.523          0.491
    245   1988          4.606       8096.003       7212.661          0.499
    246   1988          4.583       8138.022       7245.899          0.511
    247   1988          4.562       8186.688       7286.150          0.525
    248   1988          4.542       8224.674       7316.066          0.536
    249   1988          4.522       8248.192       7331.845          0.543
    250   1988          4.503       8277.573       7353.800          0.551
    251   1988          4.485       8302.039       7371.138          0.558
    252   1988          4.467       8340.475       7402.730          0.569
    253   1988          4.451       8371.456       7427.140          0.578
    254   1988          4.435       8403.018       7452.387          0.587
    255   1988          4.419       8436.469       7479.771          0.596
    256   1988          4.281       8462.768       7451.783          0.604
    257   1988          4.145       8508.408       7443.865          0.617
    258   1988          4.038       8525.778       7419.147          0.622
    259   1988          3.890       8569.513       7404.498          0.634
    260   1988          3.746       8616.415       7394.999          0.648
    261   1988          3.652       8677.373       7418.833          0.665
    262   1988          3.597       8735.996       7455.737          0.682
    263   1988          3.540       8788.298       7485.586          0.697
    264   1988          3.487       8837.070       7513.744          0.711
    265   1988          3.433       8889.400       7544.681          0.725
    266   1988          3.378       8946.144       7579.969          0.733
    267   1988          3.323       9003.783       7615.804          0.737
    268   1988          3.264       9062.230       7651.256          0.741
    269   1988          3.209       9125.512       7692.664          0.746
    270   1988          3.153       9187.992       7733.090          0.750
    271   1988          3.091       9236.794       7757.678          0.754
    272   1988          3.033       9293.252       7791.178          0.758
    273   1988          2.982       9374.461       7852.391          0.764
    274   1988          2.939       9374.461       7835.491          0.764
    275   1988          2.876       9414.022       7850.408          0.767
    276   1988          2.817       9511.081       7923.921          0.774
    277   1988          2.763       9608.646       8000.320          0.781
    278   1988          2.711       9620.643       7991.977          0.782
    279   1988          2.671       9620.642       7976.228          0.782
    280   1988          2.626       9620.642       7958.324          0.782
    281   1988          2.568       9658.464       7973.638          0.785
    282   1988          2.519       9726.559       8022.170          0.790
    283   1988          2.475       9741.635       8020.114          0.791
    284   1988          2.426       9838.545       8097.668          0.798
    285   1988          2.382       9973.955       8215.656          0.808
    286   1988          2.340      10024.661       8250.204          0.811
    287   1988          2.304      10024.662       8235.785          0.811
    288   1988          2.268      10024.661       8221.614          0.811
    289   1988          2.234      10024.660       8208.431          0.811
    290   1988          2.199      10024.661       8194.384          0.811
    291   1988          2.165      10024.660       8181.357          0.811
    292   1988          2.140      10024.661       8171.539          0.811
    293   1988          0.002      10024.661       7330.302          0.811
    294   1988          0.000          0.000          0.000          0.000
    295   1988          0.000          0.000          0.000          0.000
    296   1988          0.000          0.000          0.000          0.000
    297   1988          0.000          0.000          0.000          0.000
    298   1988          0.000          0.000          0.000          0.000
    299   1988          0.000          0.000          0.000          0.000
    300   1988          0.000          0.000          0.000          0.000
