"month","maxt.m10","maxt.m50","maxt.m90","maxtTrend","mint.m10","mint.m50","mint.m90","mintTrend","maxtProp"
1,0,0.0457466063348417,0.0455113122171945,0.0409233688512626,0,0,0,0.0110719602977668,0.787058559317275
2,0,0.0346923076923077,0,0.0226130998818626,0,0,0,0.00843530303368034,0.728317651100257
3,0,0,0.0434208144796382,0.0206477886439937,0,0,0,-0.0151499051233395,0.5
4,0,0.0262850678733030,0,0.0213915535444945,0,0,0,-0.0150247360482655,0.5
5,0.0356561085972848,0.0451764705882351,0.0346787330316740,0.0439854035907165,0,0,0,-5.40067143484923e-05,0.5
6,0,0,0.0315429864253392,0.0171088989441930,0,0.0274932126696833,0,0.0249197586726999,0.407076978288174
7,0.0294932126696832,0.0276651583710407,0.0204253393665159,0.0258619179681798,0,0,0,0.0142236169902203,0.645168338030633
8,0.0250950226244344,0.0242081447963801,0.0319547511312216,0.0245149248284922,0,0,-0.0250588235294118,-0.0138074368705300,0.5
9,0.0336873949579832,0.0371788715486195,0.0433349339735894,0.0367257302921169,0,0,0.036606962785114,0.00937494997999204,0.796641829911045
10,0.0431788715486195,0.0366530612244896,0,0.0328002168609378,0,0,0,-0.00829214266351704,0.5
11,0.0456196878751501,0,0,0.0300801920768309,0,0.0369843937575034,0,0.0244589035614248,0.551534485946473
12,0.0339591836734695,0.0373589435774310,0,0.0335807613367928,0,0,0,0.0127281880494133,0.725146257513572
