ApsimVersion = 5.4
Title = Annie2020High
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            265            196             69         22.789          8.055
           1962            263            196             67         23.210          8.241
           1963            262            196             66         23.816          8.100
           1964            265            197             68         23.482          7.797
           1965            264            196             68         22.249          8.681
           1966            264            196             68         22.139          9.084
           1967            263            196             67         22.895          8.490
           1968            267            197             70         22.381          7.631
           1969            263            196             67         23.134          8.484
           1970            264            196             68         24.376          6.574
           1971            265            196             69         22.811          8.184
           1972            263            197             66         24.434          7.556
           1973            258            196             62         23.240         10.798
           1974            264            196             68         23.380          7.803
           1975            261            196             65         23.201          9.198
           1976            264            197             67         23.768          7.795
           1977            264            196             68         24.363          6.546
           1978            265            196             69         22.234          8.277
           1979            262            196             66         23.807          7.993
           1980            260            197             63         25.112          8.491
           1981            262            196             66         23.736          8.309
           1982            263            196             67         23.826          7.695
           1983            260            196             64         22.857          9.875
           1984            263            197             66         22.566          9.145
           1985            265            196             69         23.181          7.503
           1986            261            196             65         23.393          8.988
           1987            261            196             65         23.876          8.778
           1988            260            197             63         23.107         10.327
           1989            266            196             70         22.944          7.078
           1990            265            196             69         22.804          8.000
