ApsimVersion = 6.1
Title = Annie2020Low
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            287            227             60         24.557         10.216
           1962            287            227             60         25.066          9.608
           1963            287            227             60         24.732         10.383
           1964            288            228             60         24.382         10.725
           1965            286            227             59         24.623         10.790
           1966            289            227             62         23.582         10.295
           1967            285            227             58         25.433         10.566
           1968            291            228             63         24.670          8.921
           1969            292            227             65         23.258          9.244
           1970            289            227             62         25.267          8.710
           1971            287            227             60         25.249          9.883
           1972            287            228             59         26.250          9.292
           1973            284            227             57         24.400         12.165
           1974            292            227             65         22.872          9.504
           1975            289            227             62         24.241          9.714
           1976            291            228             63         24.441          8.858
           1977            285            227             58         26.652          9.454
           1978            292            227             65         23.035          9.567
           1979            287            227             60         25.511          9.811
           1980            283            228             55         28.285         10.132
           1981            287            227             60         25.781          9.579
           1982            288            227             61         25.006          9.151
           1983            284            227             57         25.065         11.354
           1984            291            228             63         24.374          8.817
           1985            289            227             62         24.432          9.603
           1986            285            227             58         25.285         10.978
           1987            285            227             58         25.625         10.366
           1988            284            228             56         25.500         12.174
           1989            287            227             60         25.946          8.934
           1990            288            227             61         24.450          9.841
