ApsimVersion = 6.1
Title = Annie2020Low
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            267            196             71         22.205          7.495
           1962            266            196             70         22.510          7.924
           1963            265            196             69         23.112          7.568
           1964            267            197             70         22.774          7.424
           1965            267            196             71         21.591          8.256
           1966            266            196             70         21.485          8.622
           1967            266            196             70         22.251          7.902
           1968            270            197             73         21.786          7.149
           1969            266            196             70         22.230          7.780
           1970            267            196             71         23.560          6.267
           1971            267            196             71         22.119          7.601
           1972            266            197             69         23.783          7.040
           1973            260            196             64         22.449         10.245
           1974            267            196             71         22.587          7.424
           1975            263            196             67         22.583          8.706
           1976            267            197             70         23.035          7.381
           1977            267            196             71         23.731          6.153
           1978            268            196             72         21.561          7.751
           1979            265            196             69         23.083          7.642
           1980            262            197             65         24.474          8.078
           1981            264            196             68         23.074          7.811
           1982            266            196             70         22.930          7.287
           1983            263            196             67         22.127          9.449
           1984            267            197             70         21.812          8.542
           1985            268            196             72         22.553          6.995
           1986            264            196             68         22.686          8.450
           1987            263            196             67         23.157          8.306
           1988            262            197             65         22.462          9.807
           1989            269            196             73         22.441          6.734
           1990            267            196             71         22.162          7.509
