ApsimVersion = 6.0
Title = Patagonia2020Low
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            259            182             77         21.534          6.692
           1962            256            182             74         21.647          7.625
           1963            257            182             75         22.010          6.950
           1964            257            183             74         22.126          7.051
           1965            259            182             77         21.224          6.987
           1966            255            182             73         20.969          8.472
           1967            257            182             75         21.081          7.612
           1968            261            183             78         20.951          6.671
           1969            254            182             72         21.939          8.101
           1970            258            182             76         23.104          5.211
           1971            260            182             78         21.577          6.414
           1972            257            183             74         22.821          6.051
           1973            249            182             67         21.965          9.917
           1974            258            182             76         21.865          6.671
           1975            255            182             73         21.944          7.905
           1976            257            183             74         22.494          6.714
           1977            257            182             75         22.939          5.996
           1978            259            182             77         20.410          7.692
           1979            256            182             74         22.499          6.582
           1980            254            183             71         23.155          7.367
           1981            256            182             74         21.941          7.229
           1982            257            182             75         22.589          6.349
           1983            254            182             72         21.057          8.801
           1984            258            183             75         21.014          7.848
           1985            258            182             76         21.723          6.904
           1986            255            182             73         21.899          7.904
           1987            255            182             73         22.264          7.509
           1988            252            183             69         21.823          9.324
           1989            260            182             78         21.236          6.633
           1990            258            182             76         21.409          7.139
