ApsimVersion = 5.4
Title = PatagoniaBaseline
           year            day    sowing_date   maturity_das          AvMax          AvMin
            (?)            (?)          (doy)         (days)           (oC)           (oC)
           1961            260            182             78         21.301          6.365
           1962            257            182             75         21.413          7.280
           1963            258            182             76         21.763          6.612
           1964            258            183             75         21.880          6.713
           1965            260            182             78         21.001          6.663
           1966            257            182             75         20.749          8.136
           1967            259            182             77         20.957          7.431
           1968            263            183             80         20.737          6.450
           1969            256            182             74         21.643          7.699
           1970            260            182             78         22.778          5.031
           1971            261            182             79         21.301          6.116
           1972            259            183             76         22.597          5.658
           1973            251            182             69         21.761          9.583
           1974            259            182             77         21.587          6.425
           1975            256            182             74         21.685          7.665
           1976            258            183             75         22.248          6.357
           1977            258            182             76         22.654          5.654
           1978            261            182             79         20.200          7.295
           1979            258            182             76         22.287          6.262
           1980            255            183             72         22.924          7.072
           1981            258            182             76         21.779          7.038
           1982            258            182             76         22.291          6.008
           1983            256            182             74         20.908          8.386
           1984            259            183             76         20.724          7.547
           1985            259            182             77         21.486          6.600
           1986            256            182             74         21.677          7.628
           1987            256            182             74         22.023          7.182
           1988            253            183             70         21.579          9.054
           1989            262            182             80         21.109          6.281
           1990            260            182             78         21.177          6.819
