APSIM output file, version = 5.3
Title = oats SAMPLE Simulation
           Date           rain            das          stage            lai        biomass          yield     root_depth             ep
             ()           (mm)            (d)             ()      (m^2/m^2)        (kg/ha)        (kg/ha)           (mm)           (mm)
     14/06/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     15/06/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     16/06/1988          0.000              0          0.000          0.000          0.000          0.000          0.000          0.000
     17/06/1988          0.000              1          1.999          0.000          0.000          0.000          0.000          0.000
     18/06/1988          0.000              2          2.000          0.000          0.000          0.000        100.000          0.000
     19/06/1988          0.000              3          2.314          0.000          0.000          0.000        102.380          0.000
     20/06/1988          0.000              4          2.459          0.000          0.000          0.000        104.850          0.000
     21/06/1988          0.000              5          2.620          0.000          0.000          0.000        107.580          0.000
     22/06/1988          0.000              6          2.757          0.000          0.000          0.000        109.910          0.000
     23/06/1988          0.000              7          2.892          0.000          0.000          0.000        112.210          0.000
     24/06/1988          0.000              8          3.000          0.007          5.520          0.000        114.690          0.000
     25/06/1988          0.000              9          4.000          0.008          6.079          0.000        130.770          0.010
     26/06/1988          0.000             10          4.029          0.010          6.708          0.000        147.210          0.010
     27/06/1988          0.000             11          4.042          0.011          7.551          0.000        164.850          0.017
     28/06/1988          0.000             12          4.053          0.013          8.556          0.000        179.730          0.019
     29/06/1988          0.000             13          4.063          0.016          9.703          0.000        192.510          0.018
     30/06/1988          0.000             14          4.073          0.019         11.113          0.000        204.810          0.026
     01/07/1988          0.000             15          4.084          0.022         12.694          0.000        218.310          0.029
     02/07/1988          0.000             16          4.095          0.024         14.035          0.000        232.890          0.018
     03/07/1988          0.000             17          4.110          0.026         14.920          0.000        250.170          0.006
     04/07/1988          1.100             18          4.124          0.028         15.948          0.000        267.210          0.012
     05/07/1988         27.400             19          4.141          0.031         17.228          0.000        287.790          0.011
     06/07/1988         39.200             20          4.156          0.035         19.597          0.000        306.030          0.036
     07/07/1988          0.000             21          4.168          0.040         22.240          0.000        320.910          0.038
     08/07/1988          0.000             22          4.181          0.046         25.401          0.000        336.330          0.047
     09/07/1988          0.000             23          4.195          0.054         29.301          0.000        352.650          0.076
     10/07/1988          0.000             24          4.210          0.060         32.748          0.000        370.650          0.062
     11/07/1988         15.600             25          4.224          0.065         35.174          0.000        386.790          0.021
     12/07/1988          0.800             26          4.238          0.071         38.355          0.000        403.950          0.033
     13/07/1988          0.000             27          4.253          0.080         43.484          0.000        421.350          0.071
     14/07/1988          0.000             28          4.267          0.092         49.651          0.000        438.030          0.095
     15/07/1988          0.000             29          4.281          0.105         56.975          0.000        454.590          0.122
     16/07/1988          0.000             30          4.295          0.119         64.982          0.000        470.670          0.133
     17/07/1988          0.000             31          4.311          0.137         74.652          0.000        488.490          0.154
     18/07/1988          0.000             32          4.323          0.158         86.413          0.000        503.130          0.191
     19/07/1988          0.000             33          4.336          0.183        100.795          0.000        517.590          0.273
     20/07/1988          0.000             34          4.351          0.209        115.802          0.000        534.990          0.298
     21/07/1988          0.000             35          4.370          0.232        129.026          0.000        556.230          0.262
     22/07/1988          8.500             36          4.385          0.253        141.121          0.000        574.230          0.080
     23/07/1988          0.000             37          4.397          0.288        161.759          0.000        587.010          0.286
     24/07/1988          0.000             38          4.407          0.327        184.816          0.000        598.530          0.342
     25/07/1988          0.000             39          4.420          0.376        213.502          0.000        612.570          0.534
     26/07/1988          0.000             40          4.436          0.433        247.690          0.000        631.050          0.688
     27/07/1988          0.000             41          4.448          0.492        282.927          0.000        643.710          0.493
     28/07/1988          0.000             42          4.460          0.563        325.944          0.000        656.790          0.780
     29/07/1988          0.000             43          4.472          0.630        367.005          0.000        670.950          0.692
