Summary_file = navybean.sum
Title = 
           date       das          stage            lai        biomass          grain      biomass_n        grain_n      rootdepth            cep       ws_pheno       ws_photo       ws_expan       Ns_pheno       Ns_photo       Ns_expan    n_conc_root    n_conc_leaf    n_conc_stem    n_conc_meal     dm_green()        dm_green(1)        dm_green(2)        dm_green(3)        dm_green(4)        dm_green(5)        dm_green(6)      p_green()         p_green(1)         p_green(2)         p_green(3)         p_green(4)         p_green(5)         p_green(6)        p_sen()           p_sen(1)           p_sen(2)           p_sen(3)           p_sen(4)           p_sen(5)           p_sen(6)       p_demand    pfact_photo    pfact_pheno pfact_expansion    pfact_grain      biomass_p green_biomass_p        grain_p         leaf_p         stem_p         root_p     deadleaf_p          pod_p         head_p   p_senesced()       p_dead()  dlt_p_green() dlt_p_retrans() dlt_p_detached()   dlt_p_dead()    dlt_p_sen()  p_conc_stover    p_conc_leaf    p_conc_stem   p_conc_grain p_uptake_stover grain_p_demand      residue_p            esw           sw()             es         runoff          drain          no3()          nh4() uptake_p_navybean()       fom_cp()  fom_p_pool3()  fom_p_pool2()  fom_p_pool1()        fom_p()        hum_p()       biom_p()  soil_test_p()       rock_p()    unavail_p()     labile_p() P_below_ground P_above_ground        systemP cum_error_systemP    dlt_systemP        P_plant   P_pl_up_diff  dlt_residue_P below_gnd_diff
             ()    (days)             ()      (m^2/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)           (mm)           (mm)             ()             ()             ()             ()             ()             ()            (%)            (%)            (%)            (%)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)            (g/m^2)        (g/m^2)             ()             ()              ()             ()        (g/m^2)         (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)        (g/m^2)         (g/m^2)          (g/m^2)        (g/m^2)        (g/m^2)            (%)            (%)            (%)            (%)             (%)        (g/m^2)        (kg/ha)           (mm)        (mm/mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)             (kg/ha)             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)             ()             ()             ()                ()             ()             ()             ()             ()             ()
     01/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.972        262.747          2.368          4.548          0.000          0.000         12.006         12.985               0.000          0.000          0.398          2.715          0.703          3.815       2432.872         19.630         27.960          0.000        279.300         27.960       2763.577          0.972       2764.549             0.000       2764.549          0.000          0.000          0.000       2763.577
     02/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.953        258.320          2.337          4.427          0.000          0.000         15.582          8.843               0.000          0.000          0.395          2.627          0.612          3.634       2432.843         19.819         27.999          0.000        279.300         27.999       2763.595          0.953       2764.548            -0.001         -0.001          0.000          0.000         -0.019          0.018
     03/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.941        256.701          2.327          1.618          0.000          0.000         18.096          5.884               0.000          0.000          0.393          2.538          0.528          3.459       2432.811         19.990         28.047          0.000        279.300         28.047       2763.607          0.941       2764.548            -0.001          0.000          0.000          0.000         -0.012          0.012
     04/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.938        255.520          2.319          1.181          0.000          0.000         19.910          3.750               0.000          0.000          0.390          2.442          0.449          3.280       2432.773         20.148         28.108          0.000        279.301         28.108       2763.610          0.938       2764.548            -0.001          0.000          0.000          0.000         -0.003          0.003
     05/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.938        254.542          2.313          0.978          0.000          0.000         21.128          2.310               0.000          0.000          0.387          2.342          0.376          3.104       2432.732         20.293         28.178          0.000        279.302         28.178       2763.609          0.938       2764.547            -0.002         -0.001          0.000          0.000          0.000         -0.001
     06/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.938        253.689          2.307          0.853          0.000          0.000         21.916          1.391               0.000          0.000          0.384          2.241          0.311          2.936       2432.688         20.427         28.256          0.000        279.304         28.256       2763.611          0.938       2764.549             0.000          0.002          0.000          0.000          0.000          0.002
     07/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.938        252.922          2.303          0.767          0.000          0.000         22.406          0.869               0.000          0.000          0.380          2.142          0.256          2.779       2432.642         20.543         28.340          0.000        279.307         28.340       2763.611          0.938       2764.549             0.000          0.000          0.000          0.000          0.000          0.000
     08/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.911        267.090          2.391          5.832          0.000          0.000         22.662          0.470               0.000          0.000          0.377          2.044          0.210          2.630       2432.596         20.680         28.422          0.000        279.310         28.422       2763.638          0.911       2764.549            -0.000         -0.000          0.000          0.000         -0.027          0.027
     09/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.891        264.503          2.370          3.788          0.000          0.000         22.808          0.309               0.000          0.000          0.374          1.952          0.172          2.498       2432.550         20.790         28.506          0.000        279.313         28.506       2763.657          0.891       2764.548            -0.001         -0.001          0.000          0.000         -0.020          0.019
     10/01/1992         0         12.000          0.000          0.000          0.000          0.000          0.000          0.000         -0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000           0.000          0.000          0.000           0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000            0.000          0.000          0.000          0.000          0.000          0.000          0.000           0.000          0.000          0.878        262.667          2.355          1.835          0.000          0.000         22.943          0.277               0.000          0.000          0.371          1.865          0.142          2.377       2432.502         20.878         28.595          0.000        279.317         28.595       2763.669          0.878       2764.547            -0.002         -0.001          0.000          0.000         -0.013          0.012
