Summary_file = output\kend_psw_r.sum
Title = 
           date      year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     15/05/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000        609.049        959.117          0.000          83.800          0.000         90.048          0.000
     07/09/1958      1958          0.000         33.324          1.613          0.000          0.000          0.000        101.707        230.717          0.000         327.700         11.926        108.330        165.309
     26/09/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000       2844.854       3033.973          0.000          55.700          0.000         26.165         15.398
     24/02/1959      1959          0.000          0.000          0.000        496.826         48.295          0.963       1896.175       2689.725          0.000         141.700          0.231        118.915         33.539
     19/06/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000        694.316        972.339          0.000         182.800          2.492        106.877         10.644
     24/11/1959      1959       1964.058         86.744          2.249          0.000          0.000          0.000        113.771        303.150          0.000         354.300         14.661        157.018         99.674
     14/05/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       3949.335       4719.204          0.000         237.800          2.725        126.331        119.338
     06/09/1960      1960          0.000         14.735          1.030          0.000          0.000          0.000       2405.625       3187.580          0.000         281.700          0.674         79.768        195.424
     27/01/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       2798.055       3317.441          0.000         114.900          0.000         87.796         14.852
     27/06/1961      1961          0.000          0.000          0.000       1219.067         45.189          1.129       1113.298       2524.294          0.000         298.800         17.534        130.673        111.679
     02/07/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000        609.518        624.915          0.000          37.900          1.459          5.766          7.198
     02/12/1961      1961       1149.605         59.102          1.755          0.000          0.000          0.000        255.434        590.420          0.000         272.800          7.621        141.514        132.524
     15/05/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       2440.198       3018.064          0.000         109.100          6.691         72.728          5.820
     07/09/1962      1962          0.000         15.037          0.653          0.000          0.000          0.000       1094.996       2111.755          0.000         340.500          8.010        113.017        172.140
     04/10/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       1541.739       1814.282          0.000          54.800          0.267         37.486         17.424
     04/03/1963      1963          0.000          0.000          0.000       1013.651         48.866          1.174        662.067       1357.083          0.000         147.900          0.000        140.175         28.790
     15/05/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000        462.562        598.023          0.000         188.900         24.309         66.015          4.547
     02/11/1963      1963       1618.033         62.371          1.873          0.000          0.000          0.000         78.864        257.055          0.000         427.600         16.073        162.415        221.914
     14/05/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       3658.261       4246.625          0.000          81.800          0.000         92.501          2.514
     06/09/1964      1964          0.000          9.826          0.502          0.000          0.000          0.000       2413.750       3050.232          0.000         386.100         10.526         86.540        268.693
     07/10/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       2625.298       2779.810          0.000          69.200          0.003         39.316          4.998
     07/03/1965      1965          0.000          0.000          0.000        519.215         45.157          1.166       1674.457       2438.800          0.000         137.600          0.000        120.315         45.103
     28/05/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000        730.287        862.674          0.000         144.200          2.871         74.796          2.679
     19/11/1965      1965       1817.385         77.660          2.559          0.000          0.000          0.000        203.740        514.185          0.000         438.600         13.925        166.658        192.684
     15/05/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       3725.332       4899.326          0.000         147.100          0.000        122.775         30.650
     07/09/1966      1966          0.000         14.317          0.895          0.000          0.000          0.000       1871.345       2689.279          0.000         240.800          4.797         89.273        127.999
     11/10/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       2285.009       2543.333          0.000          86.200          0.008         46.649         25.826
     11/03/1967      1967          0.000          0.000          0.000        946.584         53.855          1.126       1027.866       1965.267          0.000         122.600          0.000        108.430         27.453
     30/06/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000        390.664        749.187          0.000         224.300          2.180        138.329         17.101
     04/12/1967      1967       1303.022         63.650          2.388          0.000          0.000          0.000         57.441        130.393          0.000         269.000         14.682        148.908        108.687
     14/05/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000       2561.975       3358.117          0.000         178.800          0.004        136.047          0.000
     06/09/1968      1968          0.000         16.437          1.078          0.000          0.000          0.000        861.723       1488.637          0.000         275.200          2.692        106.224        138.442
     29/06/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000        860.375       2170.462          0.000         311.100          4.216        222.617         52.761
     05/12/1969      1969       1367.801         59.557          2.633          0.000          0.000          0.000         66.286        197.984          0.000         219.900          8.253        154.655         82.248
     15/05/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2447.208       3023.051          0.000         141.300          1.961         89.762          0.000
     07/09/1970      1970          0.000         21.167          1.059          0.000          0.000          0.000        788.452       1462.113          0.000         230.400          0.139        108.710        101.952
     23/09/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2220.031       2432.636          0.000          41.200          0.000         22.445          2.963
     21/02/1971      1971          0.000          0.000          0.000        408.316         46.167          1.011       1053.426       1952.869          0.000         149.700          0.000        127.754         38.542
     22/05/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000        574.930        730.720          0.000         144.400         12.881         65.453          0.000
     25/11/1971      1971       2838.060        101.150          3.329          0.000          0.000          0.000        113.468        327.711          0.000         410.300         10.401        162.980        117.390
     14/05/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       6180.380       6860.376          0.000          99.100          0.000         89.589         35.999
     06/09/1972      1972          0.000         17.932          0.925          0.000          0.000          0.000       4205.586       5546.806          0.000         225.900          0.000         55.356        155.717
     26/05/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       4157.686       5149.184          0.000         195.800          0.000        139.007         45.342
     24/11/1973      1973       1203.955         49.244          1.576          0.000          0.000          0.000       1142.088       2702.585          0.000         473.800          3.274        171.775        263.467
     15/05/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       2803.307       3428.058          0.000         146.800          0.000        114.224         14.102
     07/09/1974      1974          0.000         23.659          1.117          0.000          0.000          0.000       1048.796       1686.519          0.000         266.700          3.358        107.317        172.262
     19/11/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       2368.610       2733.155          0.000         102.800          0.000         72.935          0.421
     19/04/1975      1975          0.000          0.000          0.000        698.879         43.619          1.095       1626.873       2047.818          0.000          93.500          0.026         67.488         18.503
     20/05/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000        525.364        710.681          0.000          62.300          0.077         41.397          0.000
     16/11/1975      1975       1736.149         74.809          2.407          0.000          0.000          0.000        131.243        395.360          0.000         373.400         14.055        171.654        127.809
     14/05/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       3899.228       4664.494          0.000         212.800          0.174        113.190         89.250
     06/09/1976      1976          0.000         22.259          1.132          0.000          0.000          0.000       2030.933       2906.725          0.000         260.300          1.264         81.916        137.283
     12/10/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000       2942.660       3259.513          0.000          76.100          0.000         46.457         13.250
     12/03/1977      1977          0.000          0.000          0.000        382.363         41.552          1.056       1374.665       2576.373          0.000         117.500          0.015        100.710         56.350
     19/05/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000        743.117        806.056          0.000          78.700          2.624         39.863          0.000
     15/11/1977      1977       1757.266         66.772          2.217          0.000          0.000          0.000        163.830        479.408          0.000         415.300         31.673        166.087        134.796
     15/05/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       3458.374       4598.362          0.000         170.800          0.048        128.396         54.772
     07/09/1978      1978          0.000         10.660          0.723          0.000          0.000          0.000       1840.245       2759.746          0.000         316.200          1.620         96.163        186.518
     02/10/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       2004.483       2231.036          0.000          72.300          0.000         40.752         14.702
     02/03/1979      1979          0.000          0.000          0.000        850.987         44.876          1.175       1031.109       1752.958          0.000         122.900          0.000        109.731         27.625
     22/05/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000        473.285        628.379          0.000          70.400          0.000         62.877          0.000
     19/11/1979      1979       1905.562         74.443          2.424          0.000          0.000          0.000        138.468        382.153          0.000         392.600          5.670        181.994         88.894
     14/05/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000       4375.167       5092.202          0.000         134.600          0.000         93.603         58.765
     06/09/1980      1980          0.000         24.208          1.337          0.000          0.000          0.000       2396.047       3291.552          0.000         244.800          1.521         74.588        137.005
     17/10/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000       3619.184       3992.840          0.000          84.000          0.000         54.210         11.321
     17/03/1981      1981          0.000          0.000          0.000        118.143         40.549          1.084       2267.354       3207.239          0.000         114.100          0.005         99.680         48.193
     30/05/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000        818.046       1138.943          0.000         111.600          0.103         64.555          0.000
     26/11/1981      1981       1409.412         60.463          2.019          0.000          0.000          0.000        224.644        559.798          0.000         324.800          4.325        171.332        129.213
     15/05/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       3002.934       3789.899          0.000         268.500         91.520        102.963         41.481
     07/09/1982      1982          0.000         16.797          1.354          0.000          0.000          0.000       1777.254       2525.852          0.000         190.100          0.000         89.598         71.126
     29/11/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       2060.539       2597.950          0.000          81.600          0.000         72.468          1.026
     22/04/1983      1983          0.000          0.000          0.000       1065.135         45.150          1.182       1266.637       1760.474          0.000          68.000          0.000         79.446          3.712
     20/06/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000        412.863        590.556          0.000          95.200          0.702         62.118          0.000
     30/11/1983      1983       1982.291         82.632          3.058          0.000          0.000          0.000         81.674        230.703          0.000         300.200          6.216        163.854         59.923
     14/05/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       3775.014       4712.506          0.000         125.300          0.000         99.653          0.000
     06/09/1984      1984          0.000         10.095          0.694          0.000          0.000          0.000       2029.943       3072.409          0.000         324.700          3.037         95.713        170.786
     07/11/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       1862.631       2275.291          0.000         109.600          0.000         79.681         64.337
     06/04/1985      1985          0.000          0.000          0.000       1355.182         55.874          1.330        786.491       1423.531          0.000         132.100          3.149         95.626         34.803
     02/07/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000        467.187        717.527          0.000         159.600         11.921         91.514          0.000
     10/12/1985      1985       1963.348         88.453          3.437          0.000          0.000          0.000         85.041        230.879          0.000         249.400          0.302        163.025         49.578
     15/05/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000       4687.345       5095.873          0.000          91.800          0.000         67.170          0.000
     07/09/1986      1986          0.000         18.024          1.286          0.000          0.000          0.000       2903.743       3940.086          0.000         252.800          0.166         69.279        132.899
     15/05/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       2762.219       3933.597          0.000         226.000          3.297        163.067         42.294
     04/11/1987      1987       2354.398         80.507          2.353          0.000          0.000          0.000        445.717       1197.491          0.000         209.600          0.000        137.871         33.681
     14/05/1988      1988          0.000          0.000          0.000          0.000          0.000          0.000       3107.652       4558.875          0.000         239.800         23.029        134.681         18.529
     06/09/1988      1988          0.000         12.055          0.563          0.000          0.000          0.000       1071.304       2047.470          0.000         338.300          5.475        124.772        236.847
     01/10/1988      1988          0.000          0.000          0.000          0.000          0.000          0.000       1368.600       1688.649          0.000          67.800          0.000         43.782         10.191
     01/03/1989      1989          0.000          0.000          0.000       1372.260         62.370          1.283        568.647       1014.616          0.000         187.600          0.010        143.654         26.700
     18/06/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000        470.905        722.967          0.000         132.600          0.121        114.245          0.000
     01/12/1989      1989       2453.720         97.613          3.055          0.000          0.000          0.000         88.106        223.719          0.000         302.800          1.748        175.136         47.535
     15/05/1990      1990          0.000          0.000          0.000          0.000          0.000          0.000       4297.682       5615.304          0.000         172.200          0.000        129.288         22.635
     07/09/1990      1990          0.000         15.962          1.081          0.000          0.000          0.000       1795.515       2739.833          0.000         276.600          6.008         92.564        166.404
     18/06/1991      1991          0.000          0.000          0.000          0.000          0.000          0.000       1080.519       2534.932          0.000         299.700          1.220        236.147         30.504
     30/11/1991      1991       1499.539         61.441          2.067          0.000          0.000          0.000         55.737        197.796          0.000         341.200         25.751        178.209        135.944
     14/05/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000       2605.206       3451.354          0.000         119.800          0.000        105.851          0.000
     06/09/1992      1992          0.000         18.558          1.144          0.000          0.000          0.000        948.390       1752.021          0.000         340.600          7.813        102.642        138.179
     07/10/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000       2192.581       2554.569          0.000          85.400          1.398         48.574         55.344
     07/03/1993      1993          0.000          0.000          0.000        681.886         44.034          1.128        992.187       1899.263          0.000         147.600          3.474        113.256         66.619
     30/05/1993      1993          0.000          0.000          0.000          0.000          0.000          0.000        474.654        700.012          0.000         220.500         23.259         84.281         31.115
     27/11/1993      1993       2465.967         95.267          2.989          0.000          0.000          0.000        103.159        280.113          0.000         310.900          2.795        174.437         88.791
     15/05/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000       5585.474       6058.115          0.000          67.000          0.000         39.991          0.000
     07/09/1994      1994          0.000          9.866          0.418          0.000          0.000          0.000       3957.559       5115.503          0.000         287.200          2.910         75.543        192.775
     15/05/1995      1995          0.000          0.000          0.000          0.000          0.000          0.000       3115.033       4011.155          0.000         149.200          0.000        132.880         25.029
     06/11/1995      1995       1566.212         63.970          2.129          0.000          0.000          0.000       1146.307       2665.281          0.000         340.800          0.528        141.682        135.309
     14/05/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000       3489.918       4470.845          0.000         121.500          0.000        110.541         24.049
     06/09/1996      1996          0.000         26.086          1.296          0.000          0.000          0.000       2043.238       2922.490          0.000         306.800          0.696         76.354        195.415
     16/09/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000       3714.218       3854.876          0.000          62.900          0.319         11.996          3.498
     14/02/1997      1997          0.000          0.000          0.000        197.056         40.729          1.046       2005.868       3561.049          0.000         162.300          0.003        131.385         85.823
