ApsimVersion = 6.1
Title = 
           date           year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     22/05/1958           1958            0.0          0.000          0.000            0.0          0.000          0.000          589.4          959.1            0.0         120.700          2.798        101.689          0.000
     17/11/1958           1958          900.1         90.438          1.934            0.0          0.000          0.000           65.9          188.1            0.0         412.900          9.660        167.593        197.165
     23/12/1958           1958            0.0          0.000          0.000            0.0          0.000          0.000         6778.3         6827.8            0.0          42.500          0.183         12.525          0.000
     19/05/1959           1959            0.0          0.000          0.000          864.5         38.871          0.573         5870.0         6630.8            0.0         145.000          0.000         78.118          6.995
     19/06/1959           1959            0.0          0.000          0.000            0.0          0.000          0.000         1523.8         1656.9            0.0          70.600          1.346         33.550         27.107
     24/11/1959           1959         1422.0        103.585          2.408            0.0          0.000          0.000          686.6         1361.3            0.0         354.300         11.554        143.617        112.229
     25/11/1959           1959            0.0          0.000          0.000            0.0          0.000          0.000         6302.1         6302.1            0.0           0.000          0.000          1.086          0.000
     24/04/1960           1960            0.0          0.000          0.000          143.3         25.861          0.401         5575.5         6269.3            0.0         194.500          4.879         83.174         87.906
     28/05/1960           1960            0.0          0.000          0.000            0.0          0.000          0.000         1433.7         1625.8            0.0          87.200          0.145         41.751         20.135
     21/11/1960           1960         1224.3         73.292          2.252            0.0          0.000          0.000          593.6         1233.3            0.0         301.600          2.442        136.992        159.531
     27/01/1961           1961            0.0          0.000          0.000            0.0          0.000          0.000         4708.5         4873.0            0.0          51.100          0.000         25.462          0.000
     27/06/1961           1961            0.0          0.000          0.000          835.0         36.071          0.787         3335.8         4628.4            0.0         298.800          9.460        105.025        119.362
     02/07/1961           1961            0.0          0.000          0.000            0.0          0.000          0.000         1009.5         1033.9            0.0          37.900          0.705          5.253          8.198
     02/12/1961           1961          943.7         64.610          1.595            0.0          0.000          0.000          445.9          979.2            0.0         272.800          6.502        134.942        146.109
     17/12/1961           1961            0.0          0.000          0.000            0.0          0.000          0.000         3393.6         3513.1            0.0          71.900          6.141         11.985          0.000
     05/05/1962           1962            0.0          0.000          0.000          951.5         39.873          0.673         2687.0         3204.3            0.0          34.900          0.000         53.560          0.378
     30/05/1962           1962            0.0          0.000          0.000            0.0          0.000          0.000          913.2          945.9            0.0          51.800          0.653         19.619          0.000
     17/11/1962           1962         1184.5         88.852          1.907            0.0          0.000          0.000          305.1          812.9            0.0         408.300          8.366        168.369        145.985
     15/05/1963           1963            0.0          0.000          0.000            0.0          0.000          0.000         4476.4         5803.7            0.0         274.300          8.146        138.883         52.372
     02/11/1963           1963          517.1         64.289          1.366            0.0          0.000          0.000         1412.1         2999.9            0.0         427.600         10.569        131.997        282.295
     12/06/1964           1964            0.0          0.000          0.000            0.0          0.000          0.000         4538.3         5173.8            0.0         119.800          0.000        107.435          0.000
     03/12/1964           1964          157.2         21.752          0.466            0.0          0.000          0.000         2455.6         3674.2            0.0         481.500          8.585        144.357        321.189
     28/05/1965           1965            0.0          0.000          0.000            0.0          0.000          0.000         2250.1         3089.1            0.0         217.600          0.755        143.775         39.733
     19/11/1965           1965         1570.9         90.273          2.305            0.0          0.000          0.000          750.6         1407.0            0.0         438.600         11.336        154.723        199.805
     21/12/1965           1965            0.0          0.000          0.000            0.0          0.000          0.000         5666.4         5981.6            0.0          52.400          0.000         26.874         14.209
     21/05/1966           1966            0.0          0.000          0.000          552.3         35.591          0.519         4166.3         5349.6            0.0         103.900          0.000         82.147         12.560
     23/06/1966           1966            0.0          0.000          0.000            0.0          0.000          0.000          994.1         1191.2            0.0          99.500          8.898         37.830          0.773
     05/12/1966           1966         2122.0         99.252          2.713            0.0          0.000          0.000          388.3          812.8            0.0         276.400          0.732        152.641         98.274
     30/06/1967           1967            0.0          0.000          0.000            0.0          0.000          0.000         3960.6         5509.6            0.0         288.800          0.037        155.933         75.582
     04/12/1967           1967          981.3         53.748          1.558            0.0          0.000          0.000         1042.9         1999.0            0.0         269.000          5.718        125.614        153.061
     13/06/1968           1968            0.0          0.000          0.000            0.0          0.000          0.000         2213.0         3187.6            0.0         242.800          1.527        169.358          7.023
     07/12/1968           1968         1302.5         77.088          2.087            0.0          0.000          0.000          451.3          939.0            0.0         337.300          1.584        158.082        166.044
     29/06/1969           1969            0.0          0.000          0.000            0.0          0.000          0.000         4133.7         4854.2            0.0         185.000          1.761        100.112          0.000
     05/12/1969           1969          883.8         55.395          1.573            0.0          0.000          0.000         1689.4         2892.0            0.0         219.900          1.654        126.186        118.786
     12/06/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         2968.0         3685.4            0.0         205.600          1.694        116.575         10.523
     01/12/1970           1970         1586.5         94.011          2.446            0.0          0.000          0.000          717.5         1599.4            0.0         287.100          0.019        139.255        127.381
     22/05/1971           1971            0.0          0.000          0.000            0.0          0.000          0.000         4919.3         6088.0            0.0         214.300          4.568        115.381         13.567
     25/11/1971           1971          928.2         99.183          2.342            0.0          0.000          0.000         1625.8         3349.1            0.0         410.300          4.398        133.113        178.069
     26/11/1971           1971            0.0          0.000          0.000            0.0          0.000          0.000         8316.7         8316.7            0.0           0.000          0.000          0.390          1.611
     25/04/1972           1972            0.0          0.000          0.000          567.3         36.211          0.447         7075.8         8283.4            0.0          77.900          0.000         70.276         33.469
     15/05/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000         1755.7         1899.5            0.0          25.600          0.000         17.501          0.000
     06/11/1972           1972         2100.7         95.936          2.399            0.0          0.000          0.000          800.8         1653.7            0.0         284.000          0.003        131.234         71.918
     26/05/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         5959.4         6551.4            0.0         133.300          0.000         67.960          5.336
     24/11/1973           1973          405.6         63.206          1.383            0.0          0.000          0.000         2824.8         4565.6            0.0         473.800          1.628        131.611        297.313
     15/05/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         4767.6         5751.1            0.0         146.800          0.011        105.263         16.804
     09/11/1974           1974          823.7         76.880          2.057            0.0          0.000          0.000         1824.1         3227.9            0.0         331.500          1.427        135.346        196.271
     19/11/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         6263.5         6271.3            0.0          38.000          0.000          2.145          0.000
     19/04/1975           1975            0.0          0.000          0.000          694.7         35.298          0.486         5602.4         6179.4            0.0          93.500          0.000         56.903          0.000
     20/05/1975           1975            0.0          0.000          0.000            0.0          0.000          0.000         1231.1         1519.1            0.0          62.300          0.000         39.689          0.000
     16/11/1975           1975         2042.9         97.639          2.325            0.0          0.000          0.000          470.5         1005.4            0.0         373.400          9.000        162.464        152.883
     08/01/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         5695.3         6065.1            0.0          75.500          0.000         26.161          0.000
     07/06/1976           1976            0.0          0.000          0.000         1051.5         42.325          0.746         4452.9         5544.0            0.0         214.300          0.532         79.328         72.509
     24/06/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         1108.0         1170.0            0.0          26.500          0.000         14.651         26.986
     07/12/1976           1976         2719.1        127.717          3.013            0.0          0.000          0.000          461.3         1058.5            0.0         328.500          2.115        154.004         84.380
     19/05/1977           1977            0.0          0.000          0.000            0.0          0.000          0.000         6790.6         7187.9            0.0         100.600          0.306         44.914          0.000
     15/11/1977           1977          356.7         43.902          1.030            0.0          0.000          0.000         4153.3         5970.6            0.0         415.300         13.344        101.493        288.350
     14/01/1978           1978            0.0          0.000          0.000            0.0          0.000          0.000         5151.0         5659.2            0.0          69.300          0.000         54.876          7.990
     14/06/1978           1978            0.0          0.000          0.000         1410.0         48.645          0.985         3544.7         4455.7            0.0         205.700          0.138         79.469         49.754
     25/06/1978           1978            0.0          0.000          0.000            0.0          0.000          0.000         1089.4         1152.3            0.0          30.000          0.253         12.323         23.548
     08/12/1978           1978         1090.2         70.758          1.862            0.0          0.000          0.000          503.4         1009.6            0.0         301.600          4.483        150.267        146.735
     22/05/1979           1979            0.0          0.000          0.000            0.0          0.000          0.000         3176.6         4393.4            0.0         146.000          0.000        120.333          0.000
     19/11/1979           1979         1208.4         74.048          1.797            0.0          0.000          0.000         1043.9         2279.5            0.0         392.600          0.558        164.699        133.567
     13/07/1980           1980            0.0          0.000          0.000            0.0          0.000          0.000         4167.5         5434.0            0.0         259.200          1.435        142.722         81.396
     17/12/1980           1980         1786.5         95.180          2.584            0.0          0.000          0.000         1142.3         2236.3            0.0         282.600          0.760        141.416        117.927
     30/05/1981           1981            0.0          0.000          0.000            0.0          0.000          0.000         5491.6         5996.0            0.0         147.300          0.000         79.432          9.966
     26/11/1981           1981          400.2         56.991          1.247            0.0          0.000          0.000         3043.8         4509.1            0.0         324.800          0.006        116.113        214.936
     22/01/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000         5547.3         5813.9            0.0          61.200          0.000         34.823          0.000
     22/06/1982           1982            0.0          0.000          0.000            0.0         23.268          0.663         4131.5         5448.2            0.0         274.400         91.520         77.982         41.812
     30/07/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000         1080.5         1277.3            0.0          73.200          0.048         47.533         44.467
     16/12/1982           1982         1261.8         57.149          2.129            0.0          0.000          0.000          530.3          882.5            0.0         137.200          0.000        124.830          8.464
     20/06/1983           1983            0.0          0.000          0.000            0.0          0.000          0.000         2188.2         3109.7            0.0         157.400          0.435        123.622          0.000
     30/11/1983           1983         2280.9         84.016          2.939            0.0          0.000          0.000          205.9          586.6            0.0         300.200          4.781        160.010         72.485
     01/01/1984           1984            0.0          0.000          0.000            0.0          0.000          0.000         4088.9         4375.8            0.0          54.300          0.000         30.274          0.000
     31/05/1984           1984            0.0          0.000          0.000          902.3         34.470          0.803         3079.5         3725.4            0.0         124.200          0.000         74.762          0.000
     07/06/1984           1984            0.0          0.000          0.000            0.0          0.000          0.000          905.5          957.8            0.0          33.000          2.505         10.868          0.000
     28/11/1984           1984         2381.9         86.623          2.623            0.0          0.000          0.000          348.2          853.5            0.0         418.100          6.199        170.403        166.435
     19/01/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000         4811.3         5026.2            0.0          37.000          0.000         26.025         10.408
     19/06/1985           1985            0.0          0.000          0.000         1049.3         38.870          0.766         3666.0         4630.9            0.0         154.900          5.074         82.565         22.898
     02/07/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000          980.8         1050.1            0.0          29.800          0.001         17.560         11.051
     10/12/1985           1985         2219.1         89.358          3.347            0.0          0.000          0.000          375.6          878.3            0.0         249.400          0.142        156.745         70.836
     27/06/1986           1986            0.0          0.000          0.000            0.0          0.000          0.000         4219.0         4897.1            0.0         173.600          0.024        103.026          0.000
     12/12/1986           1986          760.7         60.573          1.563            0.0          0.000          0.000         1384.4         2721.2            0.0         280.000          0.789        137.657        147.627
     15/05/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000         4208.8         4523.8            0.0         117.000          1.480         68.014          0.000
     04/11/1987           1987         2240.1         88.714          2.539            0.0          0.000          0.000         1514.8         2897.5            0.0         209.600          0.000        120.189         19.747
     05/11/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000         5765.0         5765.0            0.0           0.000          0.000          1.494          0.000
     04/04/1988           1988            0.0          0.000          0.000          427.1         31.891          0.488         4130.8         5720.8            0.0          95.400          0.000         92.197          0.000
     15/05/1988           1988            0.0          0.000          0.000            0.0          0.000          0.000         1066.0         1165.9            0.0         169.400         31.328         40.426          1.380
     06/11/1988           1988         1915.2         84.731          1.830            0.0          0.000          0.000          316.5          822.9            0.0         412.700          4.546        181.275        218.202
     03/12/1988           1988            0.0          0.000          0.000            0.0          0.000          0.000         5215.4         5575.4            0.0          52.000          0.000         16.871          0.001
     03/05/1989           1989            0.0          0.000          0.000         1285.0         52.590          0.727         3505.6         4986.6            0.0         162.000          0.000        123.464          7.904
     18/06/1989           1989            0.0          0.000          0.000            0.0          0.000          0.000          713.5          902.7            0.0          74.600          0.018         54.521          0.000
     01/12/1989           1989         3376.5        109.490          2.996            0.0          0.000          0.000          244.9          531.6            0.0         302.800          1.289        171.813         65.523
     17/05/1990           1990            0.0          0.000          0.000            0.0          0.000          0.000         4089.3         5543.7            0.0         197.400          0.000        132.965         11.130
     17/11/1990           1990         1745.5         96.898          2.672            0.0          0.000          0.000          972.1         2222.3            0.0         380.600          5.925        146.786        163.323
     18/06/1991           1991            0.0          0.000          0.000            0.0          0.000          0.000         5886.6         6974.2            0.0         170.500          0.528        104.579         13.338
     30/11/1991           1991          339.7         46.100          0.972            0.0          0.000          0.000         2649.1         4198.6            0.0         341.200          9.595        134.608        224.902
     26/05/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000         3692.1         4577.5            0.0         176.000          5.571        112.942          0.000
     24/11/1992           1992          920.4         83.585          2.049            0.0          0.000          0.000         1158.7         2410.4            0.0         475.600          7.457        144.821        225.659
     25/11/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000         7486.1         7486.1            0.0           0.000          0.000          0.503          1.078
     25/04/1993           1993            0.0          0.000          0.000          471.4         32.991          0.470         6300.3         7463.1            0.0         147.500          6.237         68.319         70.662
     30/05/1993           1993            0.0          0.000          0.000            0.0          0.000          0.000         1334.1         1619.9            0.0         114.800          3.683         37.772         38.696
     27/11/1993           1993         2071.7        109.754          2.758            0.0          0.000          0.000          554.6         1109.5            0.0         310.900          1.496        163.632        107.382
     15/05/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000         7052.8         7524.6            0.0          67.000          0.000         37.831          0.000
     06/11/1994           1994          392.4         56.524          1.194            0.0          0.000          0.000         4759.5         6676.5            0.0         352.600          3.976         86.829        211.664
     15/05/1995           1995            0.0          0.000          0.000            0.0          0.000          0.000         6640.7         7071.8            0.0          83.800          0.000         65.467          0.269
     06/11/1995           1995          633.3         73.411          1.773            0.0          0.000          0.000         4308.4         6077.2            0.0         340.800          0.667         85.436        183.336
     24/12/1995           1995            0.0          0.000          0.000            0.0          0.000          0.000         7326.2         7894.7            0.0          50.200          0.000         37.414          1.423
     23/05/1996           1996            0.0          0.000          0.000          588.7         33.207          0.558         5868.4         6835.4            0.0          78.900          0.000         62.376         27.874
     19/06/1996           1996            0.0          0.000          0.000            0.0          0.000          0.000         1463.4         1653.7            0.0          58.000          0.995         26.553          0.000
     28/11/1996           1996         1131.3         66.158          1.406            0.0          0.000          0.000          645.6         1299.4            0.0         434.200          2.042        185.260        214.585
     20/05/1997           1997            0.0          0.000          0.000            0.0          0.000          0.000         3149.9         4349.4            0.0         181.600          0.643        114.178         18.267
     09/11/1997           1997         1819.8         96.599          2.483            0.0          0.000          0.000          713.1         1647.7            0.0         304.600          0.402        138.883        122.576
     11/06/1998           1998            0.0          0.000          0.000            0.0          0.000          0.000         5754.5         6841.8            0.0         270.500         10.975        107.022         80.015
     30/11/1998           1998          635.0         75.692          1.731            0.0          0.000          0.000         2120.0         3640.6            0.0         328.600          0.387        125.621        201.831
     28/05/1999           1999            0.0          0.000          0.000            0.0          0.000          0.000         5562.2         6404.5            0.0         161.600          1.456        100.510          0.000
     19/11/1999           1999          577.5         69.204          1.433            0.0          0.000          0.000         2478.6         4126.6            0.0         359.600          0.082        125.339        199.005
