APSIM output file, version = 5.4
Title = 
           date           year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     27/05/1958           1958          0.000          0.000          0.000          0.000          0.000          0.000        790.416        965.279          0.000         117.000          0.066         91.389         14.414
     15/11/1958           1958       1659.875        153.029          2.939          0.000          0.000          0.000        157.995        413.404          0.000         411.200          6.900        153.885        146.692
     03/06/1959           1959          0.000          0.000          0.000          0.000          0.000          0.000       9051.145      10268.271          0.000         161.200          2.988         94.128          0.000
     07/11/1959           1959       1119.703        126.855          2.113          0.000          0.000          0.000       6581.053       7881.615          0.000         336.300          4.422         50.155        185.163
     29/05/1960           1960          0.000          0.000          0.000          0.000          0.000          0.000      11031.075      12937.345          0.000         324.100         18.293         69.138        204.544
     14/11/1960           1960        368.419         61.411          1.149          0.000          0.000          0.000       7937.543       9164.146          0.000         326.700          3.921         48.414        271.884
     15/05/1961           1961          0.000          0.000          0.000          0.000          0.000          0.000       9442.864      10827.062          0.000         307.900         21.015         84.032        152.024
     20/10/1961           1961        902.029        133.318          1.985          0.000          0.000          0.000       6149.545       7832.162          0.000         357.700          6.526         52.810        242.481
     16/05/1962           1962          0.000          0.000          0.000          0.000          0.000          0.000      10743.441      12536.396          0.000         165.900          0.000         78.689         12.289
     26/10/1962           1962        789.550        104.322          1.755          0.000          0.000          0.000       6991.730       8561.424          0.000         373.900          3.807         46.707        244.693
     04/06/1963           1963          0.000          0.000          0.000          0.000          0.000          0.000       8960.878      11610.617          0.000         234.200          1.801        113.991         89.313
     09/11/1963           1963        705.947         99.128          1.655          0.000          0.000          0.000       5001.928       6381.547          0.000         295.400          4.563         77.147        194.854
     19/06/1964           1964          0.000          0.000          0.000          0.000          0.000          0.000       8298.081       9061.796          0.000         151.800          0.059         68.490          1.536
     26/11/1964           1964       1131.651        122.275          1.849          0.000          0.000          0.000       4920.346       6518.846          0.000         392.900         13.586         81.226        223.778
     30/05/1965           1965          0.000          0.000          0.000          0.000          0.000          0.000       9917.384      10789.961          0.000         166.700          6.224         64.449         48.646
     06/11/1965           1965        439.911         84.967          1.461          0.000          0.000          0.000       6723.564       8381.750          0.000         439.300          8.180         54.721        291.209
     31/05/1966           1966          0.000          0.000          0.000          0.000          0.000          0.000       7666.238       9714.836          0.000         221.500          4.492         98.912        117.123
     15/11/1966           1966        658.252         81.160          1.366          0.000          0.000          0.000       4177.950       5709.697          0.000         413.100         33.073         94.875        245.424
     15/05/1967           1967          0.000          0.000          0.000          0.000          0.000          0.000       7219.710       7630.677          0.000         148.800          3.608         63.963         42.726
     25/10/1967           1967       1223.889        136.041          2.276          0.000          0.000          0.000       3760.987       5500.501          0.000         332.700          1.118         84.300        189.117
     18/05/1968           1968          0.000          0.000          0.000          0.000          0.000          0.000       9614.801      11006.243          0.000         316.000          2.046         75.771        150.426
     05/11/1968           1968        404.118         74.890          1.138          0.000          0.000          0.000       5876.301       7482.783          0.000         492.300         22.204         74.361        369.214
     30/07/1969           1969          0.000          0.000          0.000          0.000          0.000          0.000       6185.365       8863.930          0.000         249.600          0.153        157.877         79.794
     13/12/1969           1969       2629.931        160.997          3.662          0.000          0.000          0.000       2473.791       3605.986          0.000         236.800         10.730         87.599         33.674
     15/05/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000       7807.111       8424.471          0.000         300.000          5.400         56.570        142.376
     30/10/1970           1970       2366.225        156.664          3.246          0.000          0.000          0.000       4292.708       6479.448          0.000         304.200          1.225         64.471        149.385
     17/05/1971           1971          0.000          0.000          0.000          0.000          0.000          0.000      10818.168      11862.113          0.000         209.900          5.766         51.463         93.253
     03/11/1971           1971        194.167         36.560          0.564          0.000          0.000          0.000       7079.666       9082.055          0.000         516.000          5.777         73.389        427.045
     12/07/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000       4843.625       7506.069          0.000         352.500          4.576        171.132        152.559
     02/12/1972           1972       1416.189         88.063          0.900          0.000          0.000          0.000       1411.480       2500.962          0.000         298.800          8.093        147.617        153.196
     05/06/1973           1973          0.000          0.000          0.000          0.000          0.000          0.000       3986.683       4729.674          0.000         153.400          0.000         94.715          0.000
     16/11/1973           1973       1783.415        129.979          2.529          0.000          0.000          0.000       1086.162       2347.713          0.000         402.700          3.686        150.573        156.240
     29/06/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000       5691.739       7553.825          0.000         347.200          3.144        141.607        128.167
     24/11/1974           1974       2302.521        104.279          2.285          0.000          0.000          0.000       1436.653       2870.856          0.000         287.900          4.459        137.200        100.104
     23/05/1975           1975          0.000          0.000          0.000          0.000          0.000          0.000       3478.666       4943.202          0.000         178.100          0.024        129.591          0.000
     03/11/1975           1975       3288.233        160.508          2.986          0.000          0.000          0.000        718.217       1705.660          0.000         345.600          0.454        144.452        113.144
     26/06/1976           1976          0.000          0.000          0.000          0.000          0.000          0.000       6127.376       8687.409          0.000         311.300         13.415        141.284         66.630
     22/11/1976           1976        998.004        111.538          1.880          0.000          0.000          0.000       1860.192       3680.423          0.000         303.000          6.007        135.180        158.042
     17/05/1977           1977          0.000          0.000          0.000          0.000          0.000          0.000       6782.759       7235.287          0.000          82.400          0.000         46.821          0.000
     27/10/1977           1977       2038.401         98.844          1.614          0.000          0.000          0.000       4145.489       5976.559          0.000         266.000          0.542         86.995         63.379
     11/06/1978           1978          0.000          0.000          0.000          0.000          0.000          0.000       4782.125       7065.947          0.000         251.600          0.000        153.286         49.793
     16/11/1978           1978       1925.817         88.171          1.351          0.000          0.000          0.000       1233.067       2644.465          0.000         311.300          0.103        148.860        136.712
     23/05/1979           1979          0.000          0.000          0.000          0.000          0.000          0.000       3034.781       4564.836          0.000         207.900          4.055        147.199          0.000
     02/11/1979           1979       1882.231         89.259          1.684          0.000          0.000          0.000        595.743       1423.234          0.000         434.300          8.611        164.731        213.534
     09/06/1980           1980          0.000          0.000          0.000          0.000          0.000          0.000       3997.268       5272.958          0.000         218.100          0.147        140.897         26.366
     11/11/1980           1980       3116.433        138.449          2.645          0.000          0.000          0.000        960.755       2267.052          0.000         275.400          0.000        155.224         86.063
     31/05/1981           1981          0.000          0.000          0.000          0.000          0.000          0.000       4636.199       6315.663          0.000         177.800          0.126        116.575          0.000
     06/11/1981           1981        290.105         44.559          0.581          0.000          0.000          0.000       1681.376       3181.605          0.000         363.600          1.360        143.874        194.044
     16/06/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000       2497.420       3259.861          0.000         183.600          0.366        140.227          0.000
