Summary_file = output\myr_pfw.sum
Title = 
           date      year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     27/05/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000        790.416        965.279          0.000         117.000          0.066         91.389         14.414
     15/11/1958      1958       2567.582         99.023          2.929          0.000          0.000          0.000        158.000        413.404          0.000         411.200          7.497        153.981        179.323
     15/05/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000       5689.759       6219.909          0.000         120.600          0.000        109.951          3.306
     07/09/1959      1959          0.000         26.581          0.604          0.000          0.000          0.000       4108.022       5113.216          0.000         221.100          2.281         72.401        123.724
     29/05/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       4313.533       5350.045          0.000         479.900         20.234        219.532        204.267
     14/11/1960      1960       1196.501         56.869          1.604          0.000          0.000          0.000       1669.656       3135.328          0.000         326.700          2.607        122.539        196.199
     15/05/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       3813.496       4406.801          0.000         307.900         20.927        127.630        119.111
     07/09/1961      1961          0.000         27.414          0.887          0.000          0.000          0.000       1478.202       2797.800          0.000         324.200          9.409        109.065        200.890
     16/05/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000       1972.167       2938.016          0.000         199.400          0.068        168.048          9.779
     26/10/1962      1962       2941.125        103.252          2.305          0.000          0.000          0.000        215.744        734.424          0.000         373.900          1.441        162.853        130.608
     15/05/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4244.712       5234.366          0.000         187.000          0.942        138.823         28.402
     07/09/1963      1963          0.000         18.253          0.602          0.000          0.000          0.000       1765.580       3021.177          0.000         283.400          7.141        110.067        161.529
     19/06/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       1685.457       2572.975          0.000         211.000          0.037        167.748         24.319
     26/11/1964      1964       3338.456        145.283          3.518          0.000          0.000          0.000        211.787        682.805          0.000         392.900         16.674        160.852         98.405
     15/05/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000       7258.605       7939.097          0.000         136.700          5.299         66.020         30.085
     07/09/1965      1965          0.000         12.242          0.381          0.000          0.000          0.000       5305.447       6540.459          0.000         345.000          6.359         57.882        287.403
     31/05/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       3613.510       5476.292          0.000         345.800          3.035        206.884        118.610
     15/11/1966      1966       2239.697         92.458          2.289          0.000          0.000          0.000        738.359       1732.138          0.000         413.100         41.825        152.168        158.574
     15/05/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000       5016.153       5598.652          0.000         148.800          2.554         74.322         37.121
     07/09/1967      1967          0.000         22.265          0.757          0.000          0.000          0.000       2473.703       3777.767          0.000         297.400          1.179         90.172        190.419
     18/05/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000       2235.654       3480.140          0.000         351.300          5.684        190.906        145.277
     05/11/1968      1968       2497.817        110.272          2.588          0.000          0.000          0.000        204.915        607.835          0.000         492.300         27.043        165.621        229.069
     15/05/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       4743.895       6310.536          0.000         145.300          0.000        118.193         16.132
     07/09/1969      1969          0.000         38.904          1.270          0.000          0.000          0.000       1938.400       3284.592          0.000         171.300          0.031         90.878         43.585
     15/05/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       2954.002       4205.632          0.000         469.800         21.152        173.243        242.413
     30/10/1970      1970       3670.595        121.232          3.246          0.000          0.000          0.000        377.630       1261.574          0.000         304.200          3.859        133.730         87.228
     15/05/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000       6263.500       6857.890          0.000         203.800          5.554         78.613         84.439
     07/09/1971      1971          0.000          5.671          0.207          0.000          0.000          0.000       3683.662       4873.934          0.000         377.900          4.668         89.586        295.896
     12/07/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       1055.901       3195.632          0.000         496.700          9.610        317.480        152.378
     02/12/1972      1972       2060.706         93.244          1.686          0.000          0.000          0.000         98.394        208.742          0.000         298.800         27.098        157.190        112.746
     15/05/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000       3536.783       4029.017          0.000         115.100          0.000         80.079          0.000
     07/09/1973      1973          0.000         16.721          0.498          0.000          0.000          0.000       1379.260       2367.833          0.000         292.000          3.244        131.625        102.055
     29/06/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000        624.502       2015.925          0.000         496.200         17.839        309.104        155.424
     24/11/1974      1974       2038.307         99.187          3.049          0.000          0.000          0.000         10.969         32.320          0.000         287.900         14.632        157.724         63.479
     15/05/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       3710.377       4769.475          0.000         147.500          0.000        120.417          0.000
     07/09/1975      1975          0.000         14.451          0.387          0.000          0.000          0.000       1572.909       2572.096          0.000         285.800          1.429        129.279        138.918
     26/06/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000        791.199       1942.436          0.000         401.700         22.170        285.303         70.165
     22/11/1976      1976       2526.501        116.606          2.926          0.000          0.000          0.000         60.598        168.617          0.000         303.000         18.636        159.884         98.515
     15/05/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000       5685.652       6282.075          0.000          54.300          0.000         50.734          0.000
     07/09/1977      1977          0.000         14.518          0.348          0.000          0.000          0.000       4407.375       5247.203          0.000         238.000          0.542         73.305         76.015
     11/06/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000       3124.543       4815.967          0.000         307.700          0.000        227.595         67.149
     16/11/1978      1978       2407.841         84.631          1.818          0.000          0.000          0.000        453.875       1335.092          0.000         311.300          1.154        162.960        111.645
     15/05/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000       3345.867       4397.545          0.000         164.000          0.000        137.493          3.077
     07/09/1979      1979          0.000          7.393          0.285          0.000          0.000          0.000       1272.002       2124.174          0.000         393.900         12.490        135.616        221.553
     09/06/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000        450.667       1342.736          0.000         302.400          2.618        248.421         45.530
     11/11/1980      1980       3141.689        133.467          3.586          0.000          0.000          0.000         31.714        101.680          0.000         275.400          0.396        175.504         54.201
     15/05/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       5198.946       6372.114          0.000         133.300          0.000        105.470          0.000
     07/09/1981      1981          0.000          4.863          0.196          0.000          0.000          0.000       3402.049       4486.263          0.000         354.700          1.101         95.552        215.811
     16/06/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000       2218.607       3049.347          0.000         237.000          0.608        193.955          9.851
     13/11/1982      1982       3302.663        137.341          3.683          0.000          0.000          0.000        418.970        999.304          0.000         275.700          4.945        144.740         45.845
     15/05/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000       5748.343       6928.801          0.000         164.200          0.077        118.567         16.850
     07/09/1983      1983          0.000         28.444          0.845          0.000          0.000          0.000       2865.002       4505.974          0.000         164.800          0.000         87.233         46.890
     08/06/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       1965.264       3765.036          0.000         333.800          1.972        239.964         71.535
     14/11/1984      1984       2028.254         84.767          2.468          0.000          0.000          0.000        103.321        298.911          0.000         400.300         22.022        155.992        192.104
     15/05/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000       4268.971       5167.771          0.000         141.300          2.252         95.823          4.251
     07/09/1985      1985          0.000         31.277          0.919          0.000          0.000          0.000       1702.613       3032.485          0.000         235.300          2.250         99.204        108.884
     16/05/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000       1590.491       3385.387          0.000         396.200         20.471        229.954        109.733
