ApsimVersion = 5.4
Title = 
           date           year      wht_yield         wht_ep     wht_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     15/05/1958           1958            0.0          0.000          0.000            0.0          0.000          0.000          654.8          961.2            0.0          79.600          1.613         89.726          1.935
     07/09/1958           1958            0.0         64.891          2.986            0.0          0.000          0.000          228.0          409.3            0.0         143.500          1.108         82.694         16.723
     18/09/1958           1958            0.0          0.000          0.000            0.0          0.000          0.000         4522.0         4605.1            0.0          53.000          0.451         11.689          0.000
     16/02/1959           1959            0.0          0.000          0.000          935.7         60.781          0.628         3468.8         4427.5            0.0         182.000          0.301        121.832         66.725
     04/06/1959           1959            0.0          0.000          0.000            0.0          0.000          0.000          791.8         1009.1            0.0          58.400          0.346         47.749          0.000
     13/11/1959           1959          942.7        110.828          1.942            0.0          0.000          0.000          234.1          432.4            0.0         238.900          9.356        139.850          0.000
     14/05/1960           1960            0.0          0.000          0.000            0.0          0.000          0.000         4381.3         5497.6            0.0         233.800          0.896        146.686          3.188
     06/09/1960           1960            0.0         30.692          1.485            0.0          0.000          0.000         2330.8         3141.3            0.0         129.100          0.000         79.053         56.039
     28/01/1961           1961            0.0          0.000          0.000            0.0          0.000          0.000         3112.8         3997.9            0.0         164.100         24.360         93.699          0.014
     24/06/1961           1961            0.0          0.000          0.000         1826.6         73.657          1.143         1096.1         1745.5            0.0         152.200         14.648         86.237         19.089
     30/07/1961           1961            0.0          0.000          0.000            0.0          0.000          0.000          617.6          722.4            0.0          35.100          0.000         32.237          0.000
     07/12/1961           1961          751.0         63.174          1.992            0.0          0.000          0.000          323.8          468.0            0.0          40.500          0.000         58.138          0.000
     15/05/1962           1962            0.0          0.000          0.000            0.0          0.000          0.000         1748.8         2260.0            0.0         102.400          0.000         73.340          0.000
     07/09/1962           1962            0.0         54.619          1.965            0.0          0.000          0.000          671.5         1176.3            0.0         146.200          0.000        107.136          0.000
     25/09/1962           1962            0.0          0.000          0.000            0.0          0.000          0.000         3568.5         3714.5            0.0          33.800          0.000         20.473          0.000
     16/02/1963           1963            0.0          0.000          0.000          807.5         43.268          0.661         2779.5         3457.3            0.0         165.000          4.871        112.837          0.000
     06/06/1963           1963            0.0          0.000          0.000            0.0          0.000          0.000          383.6          744.0            0.0         212.100          4.742        135.204          0.000
     16/11/1963           1963         1226.6         91.748          1.850            0.0          0.000          0.000           51.1          126.3            0.0         191.600          1.171        156.843         24.574
     14/05/1964           1964            0.0          0.000          0.000            0.0          0.000          0.000         3481.2         3991.6            0.0          76.900          0.000         76.256          0.000
     06/09/1964           1964            0.0         43.064          1.407            0.0          0.000          0.000         1967.1         2656.3            0.0         191.800          0.628         76.670         17.720
     27/09/1964           1964            0.0          0.000          0.000            0.0          0.000          0.000         4441.5         4505.6            0.0          36.000          0.329         18.041          0.034
     20/02/1965           1965            0.0          0.000          0.000         1109.4         66.458          1.033         3436.3         4372.1            0.0          68.700          0.000         79.355          6.669
     26/06/1965           1965            0.0          0.000          0.000            0.0          0.000          0.000         1197.2         1351.7            0.0         166.900          5.188         86.751          0.000
     28/11/1965           1965         1256.3         87.694          1.714            0.0          0.000          0.000          324.8          741.6            0.0         208.900          0.796        163.835          4.700
     15/05/1966           1966            0.0          0.000          0.000            0.0          0.000          0.000         2657.6         3368.5            0.0         120.300          3.690         98.577          0.000
     07/09/1966           1966            0.0         52.908          2.531            0.0          0.000          0.000         1446.1         1827.8            0.0         126.100          9.780         59.879          0.000
     25/05/1967           1967            0.0          0.000          0.000            0.0          0.000          0.000         2814.7         4777.7            0.0         187.500          3.911        162.182          0.000
     09/11/1967           1967         1733.6        112.346          2.821            0.0          0.000          0.000          205.5          692.8            0.0         207.500          5.023        135.454         10.069
     14/05/1968           1968            0.0          0.000          0.000            0.0          0.000          0.000         4315.0         5317.7            0.0         156.100          0.000        131.850          0.000
     06/09/1968           1968            0.0         27.094          1.304            0.0          0.000          0.000         2234.8         3011.4            0.0         195.400          2.988         80.571         44.207
     30/07/1969           1969            0.0          0.000          0.000            0.0          0.000          0.000         1687.2         3693.8            0.0         173.900          0.000        191.077          1.015
     12/12/1969           1969         1901.8        112.050          2.955            0.0          0.000          0.000          307.5          490.6            0.0         128.200          3.600         75.294          0.000
     15/05/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         3340.0         3920.1            0.0         160.500          5.013         93.454          0.000
     07/09/1970           1970            0.0         34.229          1.339            0.0          0.000          0.000         1586.7         2421.1            0.0          66.000          0.000         78.937          0.000
     26/09/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         3181.6         3359.3            0.0          61.000          0.092         21.218          0.000
     06/02/1971           1971            0.0          0.000          0.000          806.4         46.724          0.714         2632.0         2982.2            0.0          35.800          0.000         59.018          0.000
     27/05/1971           1971            0.0          0.000          0.000            0.0          0.000          0.000          716.5          963.6            0.0         115.500          3.070         64.404          0.000
     19/11/1971           1971         1299.5         67.360          2.098            0.0          0.000          0.000          104.5          298.5            0.0         160.600          0.000        155.003          0.000
     14/05/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000         2543.7         3316.1            0.0         115.200          1.949         95.121          0.000
     06/09/1972           1972            0.0         57.908          2.168            0.0          0.000          0.000         1485.3         1843.0            0.0         150.300          3.919         62.529          0.000
     24/01/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000         4656.3         5267.2            0.0          78.800          0.783         65.497          0.000
     24/06/1973           1973            0.0          0.000          0.000          982.6         45.828          0.890         2428.9         3793.2            0.0         152.100          3.002         94.178          0.000
     19/07/1973           1973            0.0          0.000          0.000            0.0          0.000          0.000          749.4          842.9            0.0          43.300          0.505         30.565          0.000
     11/12/1973           1973         1087.2         74.968          1.904            0.0          0.000          0.000          240.0          630.7            0.0         150.800          0.000        145.874          0.000
     15/05/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         2781.0         3189.0            0.0         211.400          5.291        102.666          0.000
     07/09/1974           1974            0.0         39.008          1.510            0.0          0.000          0.000         1105.0         1873.2            0.0         160.000          0.000        101.678         28.448
     21/11/1974           1974            0.0          0.000          0.000            0.0          0.000          0.000         2808.3         3334.4            0.0          78.800          0.070         64.657          0.003
     17/03/1975           1975            0.0          0.000          0.000          956.2         63.541          1.039         1605.6         2031.4            0.0          20.800          0.000         46.808          0.000
     30/07/1975           1975            0.0          0.000          0.000            0.0          0.000          0.000          405.3          826.3            0.0         158.300          0.758        125.079          0.000
     16/12/1975           1975         1402.2         88.972          1.919            0.0          0.000          0.000          107.1          163.6            0.0         194.300          1.116        110.580          0.000
     14/05/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         3246.5         3603.5            0.0          94.500          6.038         73.026          0.000
     06/09/1976           1976            0.0         54.624          2.088            0.0          0.000          0.000         1841.0         2626.8            0.0          78.200          0.000         56.068          0.000
     13/11/1976           1976            0.0          0.000          0.000            0.0          0.000          0.000         4485.0         4884.8            0.0          93.400          0.000         75.029          0.000
     13/03/1977           1977            0.0          0.000          0.000          301.6         33.205          0.592         3357.1         3871.0            0.0          24.200          0.000         46.717          0.000
     30/07/1977           1977            0.0          0.000          0.000            0.0          0.000          0.000          879.3         1065.8            0.0          74.200          0.000         71.007          0.000
     09/12/1977           1977          336.7         20.247          0.283            0.0          0.000          0.000          340.6          559.8            0.0         146.300          0.933        111.822          0.000
     15/05/1978           1978            0.0          0.000          0.000            0.0          0.000          0.000          396.4          855.5            0.0         117.200          0.110        115.572          0.000
     07/09/1978           1978            0.0         64.205          3.549            0.0          0.000          0.000           85.4          195.6            0.0         137.900          0.466         81.866          0.000
     25/09/1978           1978            0.0          0.000          0.000            0.0          0.000          0.000         5267.9         5597.6            0.0          37.700          0.000         17.629          0.000
     13/02/1979           1979            0.0          0.000          0.000          382.5         34.681          0.668         4181.3         5008.0            0.0          68.800          0.000         77.361          0.000
     25/07/1979           1979            0.0          0.000          0.000            0.0          0.000          0.000          679.2         1294.9            0.0         209.300          0.591        159.799          0.000
     09/12/1979           1979         1000.7         50.752          1.907            0.0          0.000          0.000          106.2          208.6            0.0         127.900          3.154        113.570          0.000
     14/05/1980           1980            0.0          0.000          0.000            0.0          0.000          0.000         1124.7         1809.9            0.0          90.600          0.000         87.405          0.000
     06/09/1980           1980            0.0         42.266          1.939            0.0          0.000          0.000          454.4          689.5            0.0         130.200          0.018         96.647          0.000
     03/12/1980           1980            0.0          0.000          0.000            0.0          0.000          0.000         3129.6         3295.0            0.0          48.400          0.000         33.729          0.000
     03/05/1981           1981            0.0          0.000          0.000           79.5         15.655          0.510         2121.7         2839.5            0.0          68.900          0.000         78.658          0.000
     30/07/1981           1981            0.0          0.000          0.000            0.0          0.000          0.000          590.6          767.8            0.0         102.800          0.000         80.504          0.000
     09/12/1981           1981          347.2         24.758          0.605            0.0          0.000          0.000          260.3          381.1            0.0          82.900          0.000         79.224          0.000
     15/05/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000          728.2         1102.6            0.0          91.800          0.076         79.770          0.000
     07/09/1982           1982            0.0         31.054          1.788            0.0          0.000          0.000          239.9          355.8            0.0         102.500          1.426         87.361          0.000
     05/10/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000         2097.4         2416.5            0.0          45.400          0.000         24.899          0.000
     01/02/1983           1983            0.0          0.000          0.000         1315.1         68.038          1.125          799.7         1768.2            0.0         159.300          1.139        109.236          0.000
     24/06/1983           1983            0.0          0.000          0.000            0.0          0.000          0.000          397.1          529.9            0.0          68.500          0.000         51.407          0.000
     17/11/1983           1983         1021.0         56.774          1.436            0.0          0.000          0.000          133.1          318.8            0.0         174.600          0.405        125.442          0.000
     14/05/1984           1984            0.0          0.000          0.000            0.0          0.000          0.000         1249.0         2239.6            0.0         195.200          0.426        143.090          0.000
     06/09/1984           1984            0.0         61.220          2.986            0.0          0.000          0.000          294.5          516.4            0.0         197.700          3.513         90.332          0.000
     30/07/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000         2379.0         5519.5            0.0         223.300          0.367        211.756          0.000
     12/12/1985           1985         1842.7        106.116          3.097            0.0          0.000          0.000          144.8          398.7            0.0         214.800          2.749        137.760          0.000
     15/05/1986           1986            0.0          0.000          0.000            0.0          0.000          0.000         3865.8         4259.9            0.0          82.100          0.282         67.182          0.000
     07/09/1986           1986            0.0         37.543          1.897            0.0          0.000          0.000         2584.9         3161.0            0.0         211.400          2.561         68.456         77.249
     15/05/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000         3088.7         4976.4            0.0         208.200          8.664        161.013          0.295
     05/11/1987           1987          856.1         85.763          1.616            0.0          0.000          0.000          374.8          865.3            0.0         141.600          0.000        137.760         17.927
     14/05/1988           1988            0.0          0.000          0.000            0.0          0.000          0.000         3930.8         4511.9            0.0         176.500          0.704        101.421          0.000
     06/09/1988           1988            0.0         36.149          1.129            0.0          0.000          0.000         1674.5         2810.1            0.0         111.300          0.000         92.536          4.407
     24/05/1989           1989            0.0          0.000          0.000            0.0          0.000          0.000         2402.8         3478.8            0.0         177.600          5.533        149.151          0.000
     12/11/1989           1989         1534.8         89.839          2.573            0.0          0.000          0.000          438.4         1049.9            0.0         208.900          4.911        136.674         47.169
     15/05/1990           1990            0.0          0.000          0.000            0.0          0.000          0.000         3412.6         4156.6            0.0         139.900          0.000        132.541          0.000
     07/09/1990           1990            0.0         28.999          1.468            0.0          0.000          0.000         1349.4         2241.6            0.0         116.500          0.000         95.070          0.000
     19/06/1991           1991            0.0          0.000          0.000            0.0          0.000          0.000         1818.0         2932.5            0.0         161.000          0.879        150.691          0.000
     19/11/1991           1991         1010.3         62.479          2.495            0.0          0.000          0.000          262.7          790.4            0.0         152.900          0.000        144.882          0.000
     14/05/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000         2031.9         2927.1            0.0         352.100         34.486        156.514         37.281
     06/09/1992           1992            0.0         39.791          1.764            0.0          0.000          0.000          425.4          754.6            0.0         225.600          2.393        107.760         54.039
     21/09/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000         3589.1         3697.8            0.0          47.900          0.467         17.763         23.945
     19/02/1993           1993            0.0          0.000          0.000         1022.7         67.259          0.836         2499.5         3450.5            0.0          88.700          0.000        107.860         26.018
     12/06/1993           1993            0.0          0.000          0.000            0.0          0.000          0.000          761.5         1068.8            0.0         154.400          1.703         91.681          0.000
     24/11/1993           1993         1288.2         69.898          2.197            0.0          0.000          0.000          207.1          413.3            0.0         163.300          0.000        138.205          0.000
     15/05/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000         2476.0         3153.4            0.0          37.800          0.000         61.425          0.000
     07/09/1994           1994            0.0         57.046          2.032            0.0          0.000          0.000         1288.8         2095.7            0.0         134.800          0.082         71.758          0.000
     14/01/1995           1995            0.0          0.000          0.000            0.0          0.000          0.000         4312.9         4824.9            0.0          73.800          0.000         72.801          0.000
     05/06/1995           1995            0.0          0.000          0.000         1590.9         56.325          0.956         2423.3         3504.3            0.0         107.000          0.469         81.738          0.000
     30/07/1995           1995            0.0          0.000          0.000            0.0          0.000          0.000          791.7          988.0            0.0          67.900          0.000         66.394          0.000
     08/12/1995           1995          558.1         27.398          0.396            0.0          0.000          0.000          353.2          571.4            0.0         107.400          0.000         99.226          0.000
     14/05/1996           1996            0.0          0.000          0.000            0.0          0.000          0.000          674.3         1085.1            0.0         171.900         16.226        109.380          0.000
     06/09/1996           1996            0.0         76.514          2.743            0.0          0.000          0.000          245.6          382.3            0.0         141.500          0.167         84.538          0.000
     20/05/1997           1997            0.0          0.000          0.000            0.0          0.000          0.000         4220.4         6091.4            0.0         228.800          5.514        167.910          0.000
     03/11/1997           1997         1020.9         84.413          1.581            0.0          0.000          0.000          348.7         1133.9            0.0         202.400          2.403        138.480          0.000
     15/05/1998           1998            0.0          0.000          0.000            0.0          0.000          0.000         4390.9         4840.3            0.0         117.700          1.753         87.259          0.000
     07/09/1998           1998            0.0         60.279          2.445            0.0          0.000          0.000         2435.4         3184.2            0.0         179.300          0.738         70.657          0.000
     06/01/1999           1999            0.0          0.000          0.000            0.0          0.000          0.000         5637.4         6527.6            0.0         108.600          4.420         86.408          0.000
