Summary_file = csu-N09.sum
Title = south plots
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)         no3ppm(17)         no3ppm(18)         no3ppm(19)         no3ppm(20)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)         nh4ppm(17)         nh4ppm(18)         nh4ppm(19)         nh4ppm(20)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)
      1993         3        62         3              0.260              0.262              0.245              0.252              0.229              0.248              0.262              0.284              0.304              0.315              0.309              0.331              0.333              0.321              0.334              0.322              0.328              0.335              0.335              0.335              0.238              0.103              0.037              0.029              0.129              0.145              0.954              0.848              0.659              0.984              0.636              0.622              0.619              0.597              0.627              0.600              0.613              0.617              0.612              0.612              0.384              0.286              0.154              0.016              0.091              0.048              0.022              0.010              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         4        91         1              0.087              0.196              0.214              0.212              0.213              0.240              0.262              0.285              0.304              0.314              0.308              0.331              0.332              0.320              0.333              0.321              0.328              0.334              0.334              0.334              0.000              0.135              0.054              0.040              0.164              0.122              0.070              0.987              0.730              0.984              0.649              0.632              0.626              0.598              0.636              0.602              0.618              0.623              0.617              0.617              0.000              0.120              0.130              0.011              0.082              0.040              0.021              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         4       110        20              0.051              0.100              0.186              0.205              0.208              0.234              0.261              0.284              0.304              0.314              0.308              0.330              0.331              0.320              0.333              0.321              0.327              0.334              0.334              0.334              0.026              0.017              0.338              0.121              0.216              0.158              0.092              1.058              0.773              0.984              0.657              0.638              0.631              0.599              0.642              0.603              0.621              0.628              0.621              0.620              0.000              0.003              0.262              0.042              0.070              0.036              0.020              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         5       126         6              0.050              0.076              0.184              0.205              0.208              0.235              0.262              0.284              0.304              0.314              0.308              0.330              0.331              0.319              0.333              0.320              0.327              0.334              0.334              0.334              0.048              0.060              0.587              0.284              0.453              0.352              0.249              1.106              0.806              0.984              0.664              0.644              0.635              0.600              0.646              0.604              0.623              0.631              0.623              0.623              0.001              0.008              0.163              0.041              0.057              0.032              0.021              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         5       140        20              0.052              0.172              0.193              0.205              0.208              0.236              0.262              0.284              0.304              0.314              0.308              0.330              0.331              0.319              0.332              0.320              0.327              0.333              0.334              0.334              0.001              0.041              0.136              0.432              0.633              0.499              0.368              1.141              0.831              0.984              0.669              0.648              0.638              0.601              0.650              0.605              0.625              0.633              0.626              0.625              0.000              0.084              0.074              0.040              0.051              0.034              0.022              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         6       158         7              0.268              0.270              0.249              0.268              0.269              0.257              0.262              0.284              0.304              0.313              0.307              0.329              0.331              0.319              0.332              0.320              0.326              0.333              0.333              0.333              0.727              3.189              0.128              0.531              0.890              0.718              0.492              1.172              0.859              0.982              0.675              0.653              0.642              0.601              0.654              0.606              0.627              0.637              0.628              0.627              1.874             18.503              0.203              0.053              0.051              0.037              0.024              0.013              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         6       167        16              0.053              0.181              0.236              0.257              0.257              0.270              0.263              0.284              0.304              0.313              0.307              0.329              0.330              0.318              0.332              0.320              0.326              0.333              0.333              0.333              7.570              8.058              0.818              0.578              0.893              0.811              0.543              1.181              0.870              0.980              0.678              0.655              0.644              0.601              0.656              0.607              0.628              0.638              0.629              0.629              3.143              4.466              0.342              0.054              0.053              0.038              0.024              0.013              0.005              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         7       193        12              0.335              0.341              0.280              0.283              0.281              0.317              0.318              0.328              0.329              0.322              0.307              0.329              0.330              0.318              0.332              0.319              0.326              0.333              0.333              0.333              0.077              0.141              0.287              0.235              0.145              0.109              0.562              1.227              0.998              1.005              0.686              0.662              0.649              0.602              0.661              0.608              0.631              0.642              0.633              0.632              0.047              0.000              0.297              0.156              0.071              0.043              0.026              0.013              0.005              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         7       209        28              0.172              0.218              0.229              0.247              0.253              0.287              0.295              0.315              0.321              0.330              0.323              0.344              0.344              0.329              0.335              0.320              0.326              0.332              0.332              0.333              0.092              0.082              0.127              0.088              0.061              0.050              0.038              1.065              0.971              1.004              0.755              0.704              0.672              0.620              0.671              0.609              0.632              0.645              0.635              0.634              0.077              0.110              0.270              0.084              0.052              0.036              0.023              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         8       216         4              0.216              0.236              0.236              0.243              0.251              0.284              0.293              0.312              0.319              0.328              0.321              0.343              0.343              0.331              0.340              0.323              0.326              0.332              0.332              0.332              0.073              0.054              0.107              0.083              0.058              0.048              0.036              1.052              0.965              0.994              0.752              0.700              0.667              0.618              0.681              0.616              0.634              0.646              0.636              0.635              0.108              0.083              0.202              0.080              0.050              0.035              0.023              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         8       223        11              0.054              0.185              0.226              0.239              0.248              0.282              0.292              0.310              0.318              0.327              0.320              0.342              0.342              0.330              0.341              0.327              0.328              0.333              0.332              0.332              8.710              1.681              0.180              0.071              0.048              0.040              0.030              1.043              0.962              0.987              0.749              0.697              0.661              0.612              0.680              0.621              0.639              0.648              0.637              0.636            223.211              3.585              0.412              0.080              0.050              0.035              0.023              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         8       237        25              0.052              0.135              0.203              0.207              0.214              0.264              0.283              0.304              0.315              0.325              0.318              0.340              0.341              0.329              0.341              0.329              0.333              0.336              0.334              0.334              8.971              4.172              0.424              0.102              0.059              0.038              0.024              0.017              0.942              0.976              0.745              0.692              0.652              0.601              0.672              0.618              0.646              0.657              0.643              0.641            296.630              1.875              0.578              0.074              0.046              0.033              0.022              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         9       252         9              0.131              0.203              0.214              0.212              0.209              0.252              0.277              0.299              0.312              0.323              0.316              0.338              0.339              0.328              0.340              0.328              0.334              0.339              0.338              0.338             47.840             19.963              4.024              0.375              0.124              0.077              0.046              0.036              0.931              0.967              0.740              0.687              0.645              0.592              0.664              0.610              0.643              0.660              0.650              0.648             41.613             15.283              3.815              0.111              0.041              0.031              0.021              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         9       265        22              0.054              0.172              0.206              0.212              0.209              0.244              0.272              0.295              0.311              0.321              0.315              0.337              0.338              0.327              0.339              0.328              0.333              0.339              0.339              0.339             31.134             19.571             12.183              2.524              0.326              0.151              0.092              0.077              0.925              0.964              0.738              0.686              0.640              0.585              0.658              0.603              0.638              0.657              0.649              0.648              4.934              1.627              2.460              0.110              0.038              0.029              0.020              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993        10       285        12              0.051              0.131              0.185              0.188              0.195              0.219              0.234              0.276              0.306              0.319              0.313              0.335              0.337              0.325              0.338              0.326              0.333              0.339              0.339              0.339             20.262             20.134             17.304              3.328              0.612              0.304              0.194              0.162              0.920              0.959              0.738              0.686              0.637              0.578              0.651              0.594              0.630              0.651              0.642              0.641              1.001              0.070              0.784              0.049              0.029              0.023              0.017              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993        10       299        26              0.054              0.177              0.191              0.183              0.191              0.216              0.230              0.270              0.305              0.317              0.312              0.334              0.336              0.324              0.337              0.326              0.332              0.338              0.338              0.338              7.148             17.472             18.935              3.881              0.804              0.406              0.258              0.216              0.920              0.957              0.738              0.689              0.637              0.575              0.648              0.590              0.626              0.647              0.638              0.637              0.000              0.070              0.411              0.034              0.024              0.021              0.015              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993        11       312         8              0.052              0.170              0.224              0.182              0.191              0.215              0.230              0.270              0.303              0.317              0.311              0.334              0.335              0.324              0.337              0.325              0.331              0.338              0.338              0.338             12.307             11.396             19.297              4.333              0.972              0.502              0.317              0.262              0.924              0.956              0.739              0.691              0.639              0.574              0.646              0.586              0.622              0.644              0.634              0.633              0.007              0.359              0.828              0.035              0.025              0.020              0.014              0.010              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993        11       329        25              0.053              0.183              0.222              0.182              0.191              0.215              0.231              0.271              0.303              0.316              0.310              0.333              0.334              0.323              0.336              0.324              0.331              0.337              0.337              0.337             14.649             14.644             19.568              5.020              1.262              0.679              0.433              0.348              0.935              0.958              0.741              0.695              0.641              0.573              0.646              0.584              0.619              0.641              0.631              0.630              0.000              0.809              1.505              0.051              0.035              0.026              0.014              0.009              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
