Summary_file = csu-S09.sum
Title = south plots
      year     month       day day_month              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             sw(10)             sw(11)             sw(12)             sw(13)             sw(14)             sw(15)             sw(16)             sw(17)             sw(18)             sw(19)             sw(20)          no3ppm(1)          no3ppm(2)          no3ppm(3)          no3ppm(4)          no3ppm(5)          no3ppm(6)          no3ppm(7)          no3ppm(8)          no3ppm(9)         no3ppm(10)         no3ppm(11)         no3ppm(12)         no3ppm(13)         no3ppm(14)         no3ppm(15)         no3ppm(16)         no3ppm(17)         no3ppm(18)         no3ppm(19)         no3ppm(20)          nh4ppm(1)          nh4ppm(2)          nh4ppm(3)          nh4ppm(4)          nh4ppm(5)          nh4ppm(6)          nh4ppm(7)          nh4ppm(8)          nh4ppm(9)         nh4ppm(10)         nh4ppm(11)         nh4ppm(12)         nh4ppm(13)         nh4ppm(14)         nh4ppm(15)         nh4ppm(16)         nh4ppm(17)         nh4ppm(18)         nh4ppm(19)         nh4ppm(20)
    (year)   (month)     (day)     (day)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)            (cc/cc)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)              (ppm)
      1993         3        62         3              0.274              0.276              0.251              0.259              0.243              0.250              0.262              0.284              0.304              0.315              0.309              0.331              0.333              0.321              0.334              0.322              0.328              0.335              0.335              0.335              0.416              0.217              0.100              0.029              0.105              0.148              0.956              0.849              0.659              0.984              0.636              0.622              0.619              0.597              0.627              0.600              0.613              0.617              0.612              0.612              0.176              0.169              0.273              0.018              0.090              0.048              0.022              0.010              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         4        91         1              0.121              0.203              0.215              0.209              0.217              0.246              0.262              0.285              0.304              0.314              0.308              0.331              0.332              0.320              0.333              0.321              0.328              0.334              0.334              0.334              0.361              0.189              0.153              0.079              0.152              0.115              0.069              0.986              0.730              0.984              0.649              0.632              0.626              0.598              0.636              0.602              0.618              0.623              0.617              0.617              0.025              0.093              0.424              0.039              0.081              0.040              0.021              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         4       110        20              0.051              0.099              0.176              0.203              0.209              0.239              0.261              0.284              0.304              0.314              0.308              0.330              0.331              0.320              0.333              0.321              0.327              0.334              0.334              0.334              0.356              0.054              0.688              0.175              0.211              0.150              0.093              1.056              0.773              0.984              0.657              0.638              0.631              0.599              0.642              0.603              0.621              0.628              0.621              0.620              0.000              0.005              0.412              0.055              0.070              0.037              0.020              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         5       126         6              0.050              0.075              0.175              0.203              0.209              0.239              0.262              0.284              0.304              0.314              0.308              0.330              0.331              0.319              0.333              0.320              0.327              0.334              0.334              0.334              0.385              0.129              0.961              0.370              0.454              0.348              0.248              1.105              0.806              0.984              0.664              0.644              0.635              0.600              0.646              0.604              0.623              0.631              0.623              0.623              0.001              0.011              0.146              0.044              0.057              0.033              0.021              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         5       140        20              0.052              0.172              0.186              0.203              0.209              0.240              0.262              0.284              0.304              0.314              0.308              0.330              0.331              0.319              0.332              0.320              0.327              0.333              0.334              0.334              0.005              0.101              0.986              0.537              0.642              0.498              0.367              1.140              0.832              0.984              0.669              0.648              0.638              0.601              0.650              0.605              0.625              0.634              0.626              0.625              0.000              0.027              0.037              0.041              0.053              0.034              0.022              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         6       158         7              0.276              0.278              0.252              0.268              0.269              0.259              0.262              0.284              0.304              0.313              0.307              0.329              0.331              0.319              0.332              0.320              0.326              0.333              0.333              0.333              0.848              3.365              0.515              0.805              0.980              0.717              0.490              1.171              0.859              0.982              0.675              0.653              0.642              0.601              0.654              0.606              0.627              0.637              0.628              0.627              2.335             18.970              0.223              0.049              0.051              0.037              0.024              0.013              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         6       167        16              0.054              0.185              0.235              0.257              0.258              0.271              0.264              0.284              0.304              0.313              0.307              0.329              0.330              0.318              0.332              0.320              0.326              0.333              0.333              0.333              9.257              8.661              1.165              0.835              0.985              0.817              0.541              1.180              0.870              0.980              0.678              0.655              0.644              0.601              0.656              0.607              0.628              0.638              0.630              0.629              4.061              5.403              0.339              0.055              0.053              0.038              0.024              0.013              0.005              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         7       193        12              0.336              0.341              0.280              0.283              0.281              0.317              0.318              0.329              0.330              0.324              0.307              0.329              0.330              0.318              0.332              0.319              0.326              0.333              0.333              0.333              0.151              0.503              0.588              0.462              0.270              0.184              0.594              1.228              0.999              1.010              0.686              0.662              0.649              0.602              0.661              0.608              0.631              0.642              0.633              0.632              0.146              0.541              0.503              0.179              0.074              0.044              0.026              0.013              0.005              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         7       209        28              0.223              0.237              0.235              0.245              0.252              0.286              0.295              0.314              0.321              0.330              0.323              0.344              0.344              0.330              0.336              0.320              0.326              0.332              0.332              0.333              0.208              0.127              0.183              0.085              0.054              0.044              0.033              1.068              0.972              1.004              0.756              0.705              0.672              0.621              0.673              0.610              0.632              0.645              0.635              0.634              0.138              0.059              0.399              0.092              0.052              0.035              0.023              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         8       216         4              0.263              0.265              0.246              0.241              0.249              0.283              0.293              0.311              0.319              0.328              0.321              0.343              0.343              0.331              0.341              0.324              0.326              0.332              0.332              0.332              0.159              0.110              0.151              0.077              0.049              0.040              0.030              1.056              0.966              0.994              0.753              0.700              0.666              0.617              0.681              0.617              0.635              0.646              0.636              0.635              0.130              0.059              0.341              0.087              0.050              0.035              0.023              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         8       223        11              0.117              0.208              0.228              0.237              0.246              0.281              0.291              0.309              0.318              0.327              0.320              0.342              0.342              0.330              0.341              0.327              0.329              0.333              0.333              0.332              0.214              0.107              0.173              0.081              0.052              0.042              0.032              1.048              0.963              0.987              0.750              0.697              0.660              0.612              0.680              0.622              0.640              0.648              0.637              0.636              0.009              0.071              0.339              0.085              0.049              0.034              0.023              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         8       237        25              0.052              0.148              0.207              0.211              0.222              0.270              0.285              0.305              0.316              0.325              0.318              0.340              0.341              0.329              0.341              0.329              0.333              0.337              0.335              0.334              0.254              0.184              0.293              0.113              0.064              0.045              0.029              0.022              0.944              0.976              0.745              0.692              0.651              0.600              0.671              0.618              0.646              0.658              0.643              0.642              0.002              0.077              0.496              0.078              0.045              0.032              0.022              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         9       252         9              0.209              0.228              0.229              0.232              0.216              0.262              0.281              0.301              0.313              0.323              0.317              0.338              0.339              0.328              0.340              0.328              0.334              0.339              0.338              0.338              0.230              0.118              0.166              0.090              0.079              0.050              0.030              0.022              0.933              0.969              0.741              0.688              0.644              0.591              0.663              0.609              0.642              0.660              0.650              0.649              0.167              0.101              0.411              0.079              0.042              0.030              0.021              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993         9       265        22              0.105              0.201              0.219              0.239              0.242              0.263              0.278              0.299              0.312              0.322              0.315              0.337              0.338              0.327              0.339              0.328              0.334              0.339              0.339              0.339              0.274              0.214              0.232              0.086              0.058              0.053              0.033              0.024              0.926              0.966              0.740              0.687              0.640              0.584              0.657              0.602              0.637              0.657              0.648              0.647              0.000              0.177              0.557              0.083              0.041              0.029              0.020              0.012              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993        10       285        12              0.053              0.179              0.222              0.205              0.210              0.243              0.270              0.293              0.309              0.320              0.314              0.336              0.337              0.325              0.338              0.327              0.333              0.339              0.339              0.339              0.459              0.350              0.297              0.155              0.098              0.071              0.039              0.025              0.920              0.963              0.741              0.687              0.637              0.577              0.650              0.593              0.629              0.650              0.641              0.640              0.000              0.187              0.725              0.089              0.044              0.026              0.018              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993        10       299        26              0.169              0.228              0.236              0.205              0.209              0.242              0.269              0.292              0.308              0.319              0.313              0.335              0.336              0.325              0.337              0.326              0.332              0.338              0.338              0.338              0.496              0.311              0.280              0.156              0.098              0.068              0.036              0.024              0.919              0.961              0.741              0.689              0.637              0.574              0.647              0.588              0.624              0.646              0.637              0.635              0.163              0.230              0.798              0.087              0.042              0.025              0.018              0.011              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993        11       312         8              0.052              0.180              0.231              0.207              0.209              0.244              0.270              0.291              0.308              0.318              0.312              0.334              0.335              0.324              0.337              0.325              0.331              0.338              0.338              0.338              0.948              0.769              0.338              0.164              0.104              0.071              0.039              0.025              0.920              0.962              0.743              0.692              0.638              0.572              0.645              0.585              0.621              0.642              0.633              0.632              0.006              0.476              0.993              0.103              0.048              0.026              0.017              0.010              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1993        11       329        25              0.053              0.187              0.226              0.207              0.210              0.247              0.270              0.291              0.307              0.318              0.311              0.334              0.335              0.323              0.336              0.324              0.331              0.337              0.337              0.337              1.161              0.918              0.471              0.197              0.122              0.080              0.044              0.027              0.926              0.965              0.745              0.696              0.641              0.572              0.644              0.582              0.618              0.639              0.630              0.628              0.000              0.513              1.368              0.141              0.065              0.034              0.017              0.009              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         1        21        21              0.074              0.169              0.192              0.210              0.227              0.276              0.288              0.307              0.316              0.325              0.318              0.339              0.339              0.326              0.337              0.324              0.330              0.336              0.336              0.336              1.398              1.258              0.876              0.212              0.100              0.070              0.325              0.202              0.843              0.969              0.770              0.719              0.656              0.581              0.653              0.584              0.618              0.639              0.628              0.626              0.000              0.226              1.191              0.171              0.079              0.042              0.021              0.008              0.003              0.001              0.000              0.000              0.000              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         5       145        25              0.051              0.104              0.230              0.245              0.249              0.279              0.287              0.305              0.315              0.324              0.317              0.339              0.339              0.328              0.340              0.328              0.334              0.341              0.341              0.341              3.199              1.689              3.163              1.386              0.855              0.653              0.474              0.344              0.311              0.444              0.549              0.699              0.678              0.553              0.586              0.492              0.516              0.547              0.543              0.542              0.010              0.122              0.504              0.071              0.041              0.027              0.019              0.010              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         6       166        15              0.052              0.162              0.228              0.244              0.248              0.277              0.286              0.304              0.314              0.323              0.316              0.338              0.338              0.327              0.339              0.327              0.333              0.340              0.340              0.340              2.559              2.497              3.967              1.790              1.051              0.794              0.569              0.393              0.331              0.448              0.543              0.689              0.670              0.547              0.578              0.485              0.508              0.537              0.533              0.532              0.000              0.263              0.500              0.077              0.042              0.027              0.019              0.010              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         7       207        26              0.051              0.104              0.226              0.241              0.245              0.275              0.284              0.301              0.313              0.322              0.315              0.336              0.337              0.325              0.338              0.326              0.332              0.338              0.338              0.338              5.092              2.697              4.841              2.332              1.306              1.009              0.714              0.469              0.364              0.457              0.538              0.678              0.660              0.540              0.571              0.477              0.498              0.526              0.522              0.521              0.033              0.130              0.457              0.076              0.043              0.028              0.020              0.010              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         8       222        10              0.050              0.082              0.221              0.236              0.241              0.272              0.282              0.301              0.313              0.321              0.314              0.336              0.336              0.325              0.337              0.325              0.331              0.338              0.338              0.338              6.182              2.182              3.733              1.670              0.907              0.696              0.630              0.492              0.375              0.460              0.537              0.675              0.658              0.539              0.569              0.476              0.496              0.524              0.519              0.518              0.043              0.136              0.436              0.076              0.043              0.028              0.020              0.010              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994         9       250         7              0.052              0.174              0.212              0.214              0.216              0.247              0.270              0.294              0.310              0.320              0.313              0.335              0.336              0.324              0.337              0.325              0.331              0.337              0.337              0.337              1.889              0.890              0.362              0.108              0.068              0.045              0.027              0.021              0.392              0.467              0.537              0.673              0.657              0.538              0.568              0.474              0.494              0.521              0.516              0.515              0.019              0.489              0.712              0.075              0.035              0.022              0.016              0.009              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994        10       279         6              0.051              0.103              0.189              0.193              0.193              0.212              0.220              0.251              0.304              0.317              0.312              0.334              0.335              0.323              0.336              0.324              0.330              0.336              0.337              0.337              2.327              0.913              0.560              0.150              0.089              0.067              0.045              0.031              0.401              0.474              0.536              0.672              0.657              0.538              0.569              0.474              0.493              0.519              0.514              0.513              0.050              0.206              0.621              0.058              0.023              0.012              0.008              0.007              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994        11       312         8              0.052              0.161              0.191              0.177              0.178              0.200              0.211              0.237              0.287              0.314              0.309              0.332              0.333              0.322              0.335              0.323              0.329              0.336              0.336              0.336              1.563              2.486              1.682              0.327              0.148              0.113              0.071              0.052              0.040              0.472              0.536              0.670              0.657              0.541              0.572              0.476              0.494              0.520              0.514              0.513              0.098              0.510              0.618              0.027              0.008              0.006              0.003              0.003              0.003              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1994        12       348        14              0.052              0.155              0.185              0.196              0.196              0.210              0.206              0.234              0.280              0.310              0.307              0.330              0.332              0.320              0.334              0.322              0.328              0.335              0.335              0.335              3.300              3.092              2.323              1.733              0.900              0.318              0.113              0.086              0.086              0.448              0.537              0.670              0.659              0.543              0.576              0.480              0.498              0.523              0.517              0.516              0.608              0.579              0.818              0.076              0.020              0.010              0.002              0.002              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         2        45        14              0.091              0.211              0.235              0.257              0.259              0.289              0.294              0.311              0.318              0.326              0.316              0.335              0.332              0.319              0.332              0.320              0.327              0.334              0.334              0.334              8.922              5.287              2.969              2.221              2.446              2.935              1.890              0.759              0.252              0.409              0.506              0.685              0.669              0.551              0.585              0.488              0.506              0.530              0.524              0.524              0.899              0.941              1.041              0.054              0.008              0.016              0.009              0.006              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         5       129         9              0.052              0.175              0.172              0.165              0.166              0.187              0.199              0.236              0.275              0.298              0.301              0.329              0.332              0.322              0.336              0.324              0.330              0.336              0.336              0.336              8.724              8.526              6.783              2.856              1.937              1.694              1.264              0.543              0.214              0.143              0.129              0.173              0.637              0.551              0.593              0.500              0.521              0.547              0.542              0.541              0.966              0.774              0.381              0.031              0.028              0.062              0.048              0.010              0.005              0.004              0.002              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
      1995         6       159         8              0.113              0.163              0.219              0.165              0.166              0.187              0.199              0.236              0.276              0.301              0.302              0.328              0.331              0.320              0.334              0.322              0.329              0.335              0.336              0.336             10.192              9.521             10.060              3.248              2.055              2.126              1.608              0.628              0.257              0.172              0.142              0.198              0.622              0.552              0.595              0.502              0.522              0.548              0.543              0.542              1.174              0.614              0.973              0.060              0.050              0.050              0.039              0.008              0.004              0.003              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001              0.001
