Summary_file = fieldS113.sum
Title = south plots field
      year     month       day day_month             brA(1)             brA(2)             brA(3)             brA(4)             brA(5)             brA(6)             brA(7)             brA(8)             brA(9)            brA(10)            brA(11)            brA(12)            brA(13)            brA(14)            brA(15)            brA(16)            brA(17)            brA(18)            brA(19)            brA(20)      leach_brA             brB(1)             brB(2)             brB(3)             brB(4)             brB(5)             brB(6)             brB(7)             brB(8)             brB(9)            brB(10)            brB(11)            brB(12)            brB(13)            brB(14)            brB(15)            brB(16)            brB(17)            brB(18)            brB(19)            brB(20)      leach_brB             brC(1)             brC(2)             brC(3)             brC(4)             brC(5)             brC(6)             brC(7)             brC(8)             brC(9)            brC(10)            brC(11)            brC(12)            brC(13)            brC(14)            brC(15)            brC(16)            brC(17)            brC(18)            brC(19)            brC(20)      leach_brC             brD(1)             brD(2)             brD(3)             brD(4)             brD(5)             brD(6)             brD(7)             brD(8)             brD(9)            brD(10)            brD(11)            brD(12)            brD(13)            brD(14)            brD(15)            brD(16)            brD(17)            brD(18)            brD(19)            brD(20)      leach_brD     uptake_brA     uptake_brB     uptake_brC     uptake_brD
    (year)   (month)     (day)     (day)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)             ()             ()             ()             ()
      1993         7       202        21              4.854             17.119             27.288             36.168             81.874             84.347             41.857             17.400              6.502              1.384              0.185              0.021              0.002              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.749              4.162             21.673            287.191              5.214              0.011              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993         8       238        26              2.578              4.026              6.549             11.923             31.305             69.168             72.175             57.626             42.503             16.331              3.845              0.797              0.148              0.024              0.003              0.000              0.000              0.000              0.000              0.000          0.000              5.489              8.556             13.829             24.261             58.602             90.670             62.443             33.771             16.526              4.057              0.674              0.104              0.015              0.002              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        10       279         6              0.007              0.012              0.029              0.139              1.095              5.850             15.119             31.572             70.618             92.907             58.439             27.684             10.780              3.492              0.959              0.233              0.051              0.010              0.002              0.000          0.000              0.013              0.024              0.055              0.264              2.051             10.258             23.914             43.700             80.350             86.308             45.485             18.284              6.091              1.696              0.402              0.085              0.016              0.003              0.000              0.000          0.000              1.962              5.997             27.562            276.475              6.985              0.019              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        11       312         8              0.030              0.050              0.095              0.257              1.132              6.664             15.583             31.943             71.630             90.893             55.996             27.505             11.340              4.105              1.289              0.364              0.094              0.023              0.005              0.001          0.000              0.056              0.093              0.175              0.471              2.039             11.393             24.012             43.020             81.463             84.490             43.855             18.467              6.603              2.094              0.580              0.145              0.033              0.007              0.001              0.000          0.000              9.733             15.801             28.385             60.465            140.064             61.013              3.430              0.106              0.003              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1993        12       342         8              0.038              0.073              0.228              0.360              1.052              4.621             13.733             31.564             72.181             93.082             56.774             27.634             11.478              4.258              1.379              0.404              0.109              0.027              0.006              0.001          0.000              0.067              0.130              0.405              0.635              1.829              7.761             21.108             42.837             83.432             87.419             44.849             18.716              6.759              2.204              0.632              0.165              0.040              0.009              0.002              0.000          0.000              4.887              9.415             28.840             38.347             75.741             98.505             46.952             13.897              2.325              0.091              0.001              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.227              1.025             12.350            299.738              5.646              0.015              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1994         5       123         3              0.011              0.018              0.049              0.095              0.216              0.720              2.060              6.006             21.374             61.525             74.019             63.716             44.131             25.039             11.979              5.085              1.951              0.682              0.224              0.071          0.000              0.018              0.030              0.081              0.157              0.352              1.142              3.101              8.411             27.786             70.508             76.474             59.843             37.819             19.619              8.595              3.345              1.179              0.379              0.115              0.034          0.000              0.425              0.694              1.895              3.595              7.386             19.258             33.423             48.503             76.668             71.127             35.413             14.043              4.756              1.373              0.343              0.077              0.016              0.003              0.001              0.000          0.000              0.691              1.128              3.076              5.792             11.585             28.368             43.972             55.726             75.012             57.109             24.463              8.569              2.616              0.692              0.161              0.034              0.007              0.001              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1998        10       296        23              0.962              1.634              3.137              9.015             28.007             44.829             27.814             10.149              2.311              0.140              0.003              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      1999        12       343         9              0.004              0.013              0.030              0.116              0.679              3.551              9.075             15.819             31.715             34.170             18.386              8.964              3.559              1.327              0.427              0.123              0.032              0.008              0.002              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
      2000        12       348        13              0.021              0.035              0.099              0.362              1.690              8.332             18.049             28.691             40.513             20.813              7.048              1.868              0.403              0.063              0.011              0.002              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000              0.000          0.000          0.000          0.000          0.000          0.000
