Summary_file = output\dingxi_w.sum
Title = Continuous spring wheat at Dingxi
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)           dnit       hum_c(1)      biom_c(1)       fom_c(1)    surfaceom_n   surfaceom_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()             ()             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
        90      1970     31/03/1970          0.000          0.000         18.500          0.000              0.151              0.167              0.173              0.176              0.172              0.171              0.177              0.193         14.276          0.000          0.000        350.224         35.504         50.110             10.684              7.311              4.892              5.196              5.362              5.907              5.538              5.220          0.000       9514.252        213.818         66.129          0.399         89.880          0.000          0.000          0.000          0.000        108.420          0.000         0          1.000          0.968         48.500
       120      1970     30/04/1970          0.000          0.000         76.200          3.961              0.244              0.244              0.198              0.176              0.173              0.173              0.180              0.190         41.872          0.000          0.000        380.591        129.985         55.742             10.401              8.888              6.900              5.830              5.850              6.407              5.973              5.493          0.000       9512.718        216.719         59.272          0.360         81.012          0.559          0.000        335.075         28.973        279.990          1.636         0          1.000          1.000        102.386
       151      1970     31/05/1970          0.000          0.000         35.300         44.079              0.204              0.134              0.141              0.159              0.173              0.175              0.181              0.189         33.040          0.000          0.000        338.773         12.418         87.833             40.736              9.108              5.637              6.186              6.598              7.168              6.522              5.877          0.000       9508.803        223.700         59.480          0.215         48.374          2.281          0.000       3353.444        142.009        795.750          7.928         0          1.000          0.765        139.872
       181      1970     30/06/1970          0.000          0.000         44.600         40.195              0.158              0.124              0.131              0.125              0.140              0.169              0.181              0.189         34.971          0.000          0.000        308.207          1.176         85.560             30.930             15.603              5.705              6.389              6.692              7.380              6.780              6.082          0.000       9504.773        229.518         70.154          0.109         24.592          0.937          0.000       5643.729        167.200       1319.850          8.572         0          1.000          0.701        149.607
       212      1970     31/07/1970          0.000          0.000        101.600         31.518              0.244              0.244              0.226              0.119              0.125              0.150              0.172              0.187         33.511          0.423          0.000        344.355          0.437         56.581              3.508             11.625             10.230              6.443              6.307              6.376              5.877              6.215          0.027       9497.950        235.058         69.709          0.051         11.498          0.457       2332.708       7096.793        143.807       1664.917         11.612         0          1.000          0.774        175.248
       218      1970     06/08/1970          2.000          0.000         24.000          0.843              0.264              0.267              0.266              0.132              0.125              0.150              0.172              0.186          4.960          0.000          0.000        362.552          0.458         52.966              2.194              9.016              9.945              7.149              6.290              6.323              5.822              6.228          0.013       9496.241        235.959         67.182          0.042          9.550          0.002       2354.510       7157.537        140.248       1668.550         12.003       216          1.000          1.000         17.706
       243      1970     31/08/1970          0.000          0.000         89.300          0.000              0.266              0.269              0.265              0.211              0.131              0.151              0.172              0.184         53.533         10.301          0.000        388.019          1.138         58.083              3.085              8.226              9.777             11.821              6.608              6.405              5.896              6.264          0.027       9492.327        289.113        126.636          0.913         79.540          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        117.856
       273      1970     30/09/1970          0.000          0.000         76.000          0.000              0.245              0.248              0.251              0.244              0.191              0.156              0.171              0.182         49.808          6.673          0.000        407.537          1.442         64.030              3.811              7.899              9.330             14.000             10.115              6.665              5.937              6.273          0.019       9486.153        296.195         86.108          0.561         48.887          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000        100.874
       304      1970     31/10/1970          0.000          0.000         23.400          0.000              0.225              0.232              0.232              0.224              0.212              0.177              0.173              0.181         25.481          0.000          0.000        405.456          1.609         67.622              4.891              8.627              9.168             13.246             11.471              7.875              6.055              6.290          0.000       9482.815        295.751         72.882          0.516         44.896          0.000          0.000          0.000          0.000          0.000          0.000         0          1.000          1.000         64.312
