Summary_file = output\xifeng_w.sum
Title = Continuous winter wheat at Xifeng
       day      year           date          event           flag           rain           w_ep              sw(1)              sw(2)              sw(3)              sw(4)              sw(5)              sw(6)              sw(7)              sw(8)              sw(9)             es         runoff          drain         sw_dep          nh4()        tot_no3             no3(1)             no3(2)             no3(3)             no3(4)             no3(5)             no3(6)             no3(7)             no3(8)             no3(9)           dnit       hum_c(1)      biom_c(1)       fom_c(1)      residue_n     residue_wt          w_lai        w_yield      w_biomass      w_root_wt     w_root_dep       w_biom_n     w_mat       n_stress       w_stress             eo
     (day)    (year)             ()            (?)             ()           (mm)           (mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)            (mm/mm)           (mm)           (mm)           (mm)           (mm)        (kg/ha)        (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)            (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)        (kg/ha)      (m^2/m^2)        (kg/ha)        (kg/ha)        (g/m^2)           (mm)        (g/m^2)     (doy)             ()             ()           (mm)
       264      1961     21/09/1961              ?          3.000         52.000          0.000              0.257              0.261              0.268              0.270              0.270              0.271              0.271              0.281              0.280         39.573          1.663          0.238        817.527          1.669         64.752              2.558              5.454              9.535              7.360              6.122              5.456              9.313              9.640              9.314          0.027      14038.739        267.731         79.673          0.316         71.053          0.000          0.000          0.000          0.000          0.000          0.000         0          0.000          0.000         65.645
       273      1961     30/09/1961          0.000          0.000         73.900          0.000              0.273              0.277              0.278              0.280              0.280              0.280              0.276              0.285              0.284         19.272         22.063          9.771        840.321         11.890         84.313             12.318             10.683             11.159              8.339              6.674              5.790              9.593             10.003              9.753          0.098      14035.489        270.548         72.269          0.242         54.534          0.000          0.000          0.000          0.000        119.920          0.000         0          0.000          0.800         24.024
       304      1961     31/10/1961          0.000          0.000        148.500          0.768              0.258              0.261              0.268              0.270              0.270              0.270              0.270              0.280              0.280         29.694         16.613        125.176        816.570          3.708         74.548              2.949              4.478              9.128             11.086              9.194              7.457             10.316             10.061              9.880          0.381      14031.538        273.032         65.381          0.193         43.468          0.306          0.000        158.742         15.488        396.110          0.851         0          1.000          1.000         35.108
       334      1961     30/11/1961          0.000          0.000         33.200          1.133              0.262              0.265              0.270              0.270              0.270              0.270              0.270              0.280              0.280         16.864          0.092         13.042        818.640          2.638         67.873              1.511              3.125              5.421             10.227              9.350              7.696             10.515             10.120              9.909          0.026      14030.004        273.608         66.530          0.183         41.094          0.393          0.000        307.666         24.164        517.790          1.406         0          1.000          1.000         24.012
       365      1961     31/12/1961          0.000          0.000          2.000          0.014              0.248              0.251              0.258              0.266              0.270              0.270              0.270              0.280              0.280         11.014          0.000          0.505        809.107          2.540         67.965              2.053              3.050              5.285             10.061              9.338              7.679             10.501             10.106              9.893          0.000      14029.853        273.802         70.751          0.178         39.999          0.002          0.000        309.526         20.811        521.870          1.324         0          1.000          1.000         15.036
        31      1962     31/01/1962          0.000          0.000          2.500          0.000              0.242              0.246              0.254              0.262              0.269              0.270              0.270              0.280              0.280          6.606          0.000          0.000        805.001          2.247         68.336              2.555              3.086              5.294              9.926              9.302              7.677             10.499             10.104              9.893          0.000      14029.301        274.246         73.186          0.169         38.038          0.002          0.000        309.526         17.816        521.870          1.324         0          1.000          1.000          8.620
        59      1962     28/02/1962          0.000          0.000          2.200          0.007              0.225              0.233              0.246              0.257              0.265              0.270              0.270              0.280              0.280         11.773          0.000          0.000        795.421          1.955         68.812              3.403              3.056              5.308              9.717              9.166              7.671             10.496             10.103              9.893          0.000      14028.564        274.488         74.219          0.169         38.027          0.002          0.000        310.294         15.534        571.670          1.324         0          1.000          1.000         41.241
        90      1962     31/03/1962          0.000          0.000          0.000          0.063              0.216              0.225              0.239              0.252              0.261              0.268              0.270              0.280              0.280          7.284          0.000          0.000        788.074         97.329         74.101              8.738              3.278              5.460              9.507              9.012              7.616             10.493             10.103              9.894          0.000      14025.846        275.245         69.985          0.169         38.027          0.005          0.000        315.103         13.552        726.470          1.324         0          1.000          1.000         84.448
       120      1962     30/04/1962          0.000          0.000          6.800          1.437              0.215              0.224              0.236              0.248              0.258              0.265              0.270              0.280              0.280          9.714          0.000          0.000        783.722         15.519        157.940             90.090              5.709              5.860              9.396              8.877              7.521             10.490             10.103              9.894          0.000      14017.847        276.045         55.706          0.166         37.320          0.111          0.000        425.345         14.942       1049.990          1.336         0          1.000          1.000        120.078
