APSIM output file, version = 5.4
Title = site=coonamble; soil=cd2; treatment=oc2; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970          0.000          0.000          0.000          0.000          0.000          0.000       2748.357        177.397          2.447        838.428       2771.647          0.000         601.600          4.117        467.569         30.374
     31/12/1971           1971       2266.186        142.519          3.502          0.000          0.000          0.000       2899.072         74.219          2.414       1586.703       4362.536          0.000         617.500         11.933        398.995         43.248
     31/12/1972           1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000         22.409          1.334        409.978       2136.873          0.000         467.300          0.095        396.901          0.000
     31/12/1973           1973       4373.711        252.363          4.248          0.000          0.000          0.000       3170.528        125.634          2.131       1814.635       8067.846          0.000         873.600         15.015        432.366         57.098
     31/12/1974           1974          0.000          0.000          0.000          0.000          0.000          0.000       2317.450        112.468          2.508       1399.525       6332.208          0.000         593.200         34.429        370.747         83.226
     31/12/1975           1975       2281.234        124.743          3.114          0.000          0.000          0.000          0.000          0.000          0.000        464.765       4261.240          0.000         485.500          6.845        378.487         25.603
     31/12/1976           1976          0.000          0.000          0.000       1446.588        124.742          2.731          0.000          0.000          0.000        458.577       2659.793          0.000         624.200         10.272        439.516         47.792
     31/12/1977           1977       1558.258        117.493          3.356          0.000          0.000          0.000          0.000          0.000          0.000        879.803       4555.627          0.000         498.800         38.442        333.111         22.191
     31/12/1978           1978          0.000          0.000          0.000       1041.939         96.216          1.594          0.000          0.000          0.000        493.669       3602.246          0.000         738.800          6.098        526.567          0.000
     31/12/1979           1979          0.000          0.000          0.000          0.000          0.000          0.000       2295.944         78.179          1.788        576.241       2116.069          0.000         325.400          0.000        343.987          0.000
     31/12/1980           1980       1491.231        114.792          3.415          0.000          0.000          0.000          0.000          0.000          0.000        640.299       4736.048          0.000         533.300         54.946        353.202          0.000
     31/12/1981           1981          0.000          0.000          0.000       1207.990        108.766          1.401          0.000          0.000          0.000        811.254       2510.814          0.000         500.600          8.318        382.550          0.000
     31/12/1982           1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        229.729       1302.012          0.000         368.300          5.914        297.741          0.000
     31/12/1983           1983       5307.046        256.350          6.365          0.000          0.000          0.000       1111.558         43.980          0.674       1104.972       8747.045          0.000         734.100          6.648        408.859          2.508
     31/12/1984           1984          0.000          0.000          0.000       1019.156        118.508          1.357       5101.651        203.177          3.012       1708.746       5416.707          0.000         737.300          6.621        407.915        100.231
     31/12/1985           1985          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        555.914       1720.807          0.000         490.100          0.000        453.759          0.000
     31/12/1986           1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.972         22.697          0.000         352.400          0.000        353.162          0.000
     31/12/1987           1987          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.082          0.413          0.000         439.300          0.255        423.375          0.000
     31/12/1988           1988       1697.719        113.702          4.541          0.000          0.000          0.000          0.000          0.000          0.000        670.968       5021.748          0.000         537.400          0.394        427.834          0.000
     31/12/1989           1989          0.000          0.000          0.000       1191.583        115.107          1.902          0.000          0.000          0.000        503.021       2162.443          0.000         513.600          6.307        438.954          5.015
     31/12/1990           1990       2283.526        135.606          6.260          0.000          0.000          0.000          0.000          0.000          0.000       1024.437       6668.668          0.000         487.500         22.039        333.352          0.000
     31/12/1991           1991          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        753.841       4956.169          0.000         469.000         14.793        373.913          0.000
     31/12/1992           1992       1774.711        101.617          2.502          0.000          0.000          0.000          0.000          0.000          0.000        216.391       3416.732          0.000         475.200          0.011        398.229          0.000
     31/12/1993           1993          0.000          0.000          0.000       1528.297        111.169          1.934          0.000          0.000          0.000        375.353       2038.837          0.000         589.200          0.030        519.112          0.000
     31/12/1994           1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        150.122        607.430          0.000         357.300          0.175        295.882          0.000
     31/12/1995           1995       1863.037        114.269          4.030          0.000          0.000          0.000          0.000          0.000          0.000        348.865       4428.101          0.000         584.200         86.010        381.351         35.581
     31/12/1996           1996          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.028        104.069        948.831          0.000         545.700          0.809        494.716          0.000
     31/12/1997           1997          0.000          0.000          0.000          0.000          0.000          0.000       2208.251         77.153          1.402        493.060       1937.364          0.000         496.600          6.103        397.925          0.000
     31/12/1998           1998       6146.037        259.425          5.376          0.000          0.000          0.000       2082.229        139.550          2.230       1490.816       9070.172          0.000         812.200         28.344        368.287         71.433
     31/12/1999           1999          0.000          0.000          0.000       1219.945        116.414          1.961        916.195         39.860          1.819       1624.336       5597.260          0.000         592.800          6.383        440.286          0.000
     31/12/2000           2000       2155.626        135.223          4.498          0.000          0.000          0.000          0.000         29.643          1.410        368.153       4984.127          0.000         738.900         33.903        417.362         62.693
