Summary_file = output\coonamble_cd2_200_w3_deep_AvgWindow.sum
Title = site=coonamble; soil=cd2; treatment=w3; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          4.725        261.889         20.510
     31/12/1958      1958       4255.336        192.487          4.753          0.000          0.000          0.000          0.000          0.000          0.000        948.835       7274.456          0.000         642.900         44.271        429.770         83.598
     31/12/1959      1959          0.000          0.000          0.000       1428.092        126.147          2.227          0.000          0.000          0.000       4357.407       6540.737          0.000         685.200         24.357        321.968        200.332
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3018.269       4897.475          0.000         399.100          0.000        375.872          0.000
     31/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        173.245        975.603          0.000         445.200          0.000        409.882          0.000
     31/12/1962      1962          0.000          0.000          0.000       1905.083        159.598          2.595          0.000          0.000          0.000        247.217       2742.194          0.000         641.300          2.861        509.549          2.573
     31/12/1963      1963       2314.893        149.398          4.468          0.000          0.000          0.000          0.000          0.000          0.000        640.803       6081.773          0.000         555.600          9.300        437.536          0.444
     31/12/1964      1964          0.000          0.000          0.000        793.948         56.301          0.970          0.000          0.000          0.000        528.715       2215.354          0.000         449.100          0.181        397.352          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        600.293        976.706          0.000         342.700          7.753        252.617          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         14.273         37.067          0.000         374.800          0.320        370.942          0.000
     31/12/1967      1967       1714.190        127.222          5.526          0.000          0.000          0.000          0.000          0.000          0.000        911.570       5748.743          0.000         327.800          3.899        251.889         26.146
     31/12/1968      1968          0.000          0.000          0.000       1196.402        115.972          2.193          0.000          0.000          0.000       1062.029       5023.384          0.000         519.800          7.437        373.211          9.205
     31/12/1969      1969       2878.724        127.202          3.471          0.000          0.000          0.000          0.000          0.000          0.000        620.185       4369.734          0.000         671.000          4.981        503.791          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        336.148       2680.448          0.000         601.600          3.974        483.145         17.324
     31/12/1971      1971       2035.527        132.121          3.278          0.000          0.000          0.000          0.000          0.000          0.000        245.584       3811.064          0.000         617.500         24.621        449.895        129.681
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        403.443       2174.361          0.000         467.300          0.098        396.992          0.000
     31/12/1973      1973       5117.437        231.912          4.578          0.000          0.000          0.000          0.000          0.000          0.000        803.103       7404.430          0.000         873.600         32.432        476.104        154.308
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1661.382       5822.934          0.000         593.200         34.826        376.299        140.268
     31/12/1975      1975       2126.326        124.803          3.577          0.000          0.000          0.000          0.000          0.000          0.000        491.222       4591.679          0.000         485.500          6.944        377.737         85.913
     31/12/1976      1976          0.000          0.000          0.000       1383.067        123.413          2.681          0.000          0.000          0.000        502.022       2670.125          0.000         624.200          8.833        438.705         50.878
     31/12/1977      1977       1446.714        117.542          3.790          0.000          0.000          0.000          0.000          0.000          0.000        912.168       4570.389          0.000         498.800         38.358        333.056         23.682
     31/12/1978      1978          0.000          0.000          0.000       1353.636        100.928          2.172          0.000          0.000          0.000        639.648       3667.387          0.000         738.800          5.856        513.188          0.000
     31/12/1979      1979       1740.118        115.778          2.630          0.000          0.000          0.000          0.000          0.000          0.000        795.002       4535.272          0.000         325.400          0.000        330.585          0.000
     31/12/1980      1980          0.000          0.000          0.000        799.703        105.384          1.801          0.000          0.000          0.000        866.701       3839.048          0.000         533.300         43.040        356.779          0.000
     31/12/1981      1981       2429.774        131.057          5.740          0.000          0.000          0.000          0.000          0.000          0.000        789.204       5584.475          0.000         500.600         10.536        333.315          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        758.554       3601.948          0.000         368.300          0.965        286.632         15.877
     31/12/1983      1983       5185.489        252.778          5.940          0.000          0.000          0.000          0.000          0.000          0.000       1158.055       9255.219          0.000         734.100         11.701        409.187         57.018
     31/12/1984      1984          0.000          0.000          0.000       1226.150        142.263          1.601          0.000          0.000          0.000       1655.381       6294.874          0.000         737.300          7.556        443.327        251.292
     31/12/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        587.221       1817.473          0.000         490.100          0.000        453.590          0.000
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.715         22.407          0.000         352.400          0.000        353.162          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.066          0.346          0.000         439.300          0.300        423.375          0.000
     31/12/1988      1988       1675.314        121.303          4.852          0.000          0.000          0.000          0.000          0.000          0.000        729.354       5479.925          0.000         537.400          0.409        424.972          0.000
     31/12/1989      1989          0.000          0.000          0.000       1191.725        114.647          1.901          0.000          0.000          0.000        608.113       2439.256          0.000         513.600          6.024        437.700          8.785
     31/12/1990      1990       2138.578        135.604          6.288          0.000          0.000          0.000          0.000          0.000          0.000       1034.323       6926.234          0.000         487.500         22.008        333.457          0.000
     31/12/1991      1991          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        790.822       4658.858          0.000         469.000         14.757        373.939          0.000
     31/12/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.679         29.852          0.000         475.200          0.936        438.285          0.000
     31/12/1993      1993       4779.239        218.702          5.138          0.000          0.000          0.000          0.000          0.000          0.000        682.376       7907.134          0.000         589.200          0.309        439.660          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       2310.754       3899.887          0.000         357.300          0.000        299.874          0.000
     31/12/1995      1995       1738.582        114.087          4.468          0.000          0.000          0.000          0.000          0.000          0.000        599.000       4609.880          0.000         584.200         80.371        377.114         72.300
     31/12/1996      1996          0.000          0.000          0.000        415.497         56.246          1.173          0.000          0.000          0.000        416.318       2130.939          0.000         545.700          0.000        483.765          0.000
     31/12/1997      1997       1082.749         54.931          1.582          0.000          0.000          0.000          0.000          0.000          0.000        278.797       2171.942          0.000         496.600          4.574        390.136          0.000
     31/12/1998      1998          0.000          0.000          0.000       2195.637        155.154          2.533          0.000          0.000          0.000        339.289       2696.485          0.000         812.200         47.440        502.151        137.756
     31/12/1999      1999       2094.791        135.403          3.550          0.000          0.000          0.000          0.000          0.000          0.000        645.219       4621.524          0.000         592.800         17.477        444.828          0.000
     31/12/2000      2000          0.000          0.000          0.000       1259.411        128.628          1.484          0.000          0.000          0.000        208.521       2012.051          0.000         738.900         45.074        468.197         26.456
     31/12/2001      2001       2423.402        144.085          4.465          0.000          0.000          0.000          0.000          0.000          0.000        534.034       4956.878          0.000         447.500          0.135        384.320         11.654
     31/12/2002      2002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        734.159       2576.349          0.000         206.600          0.000        234.293          0.000
