Summary_file = output\coonamble_cd2_50_LongFallow1_deep_AvgWindow.sum
Title = site=coonamble; soil=cd2; treatment=LongFallow1; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          4.725        261.889         20.510
     31/12/1958      1958       3945.699        185.758          4.747          0.000          0.000          0.000          0.000          0.000          0.000       1003.623       7276.058          0.000         642.900         44.271        430.631         83.598
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       6455.803       7130.134          0.000         685.200         33.615        297.404        229.876
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       2967.356        152.941          2.622       6227.955       7349.969          0.000         399.100          0.080        297.838          0.000
     31/12/1961      1961       1628.455        126.136          3.336          0.000          0.000          0.000          0.000          0.000          0.000       4621.435       6904.381          0.000         445.200          0.000        348.835         11.290
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         84.574          3.058       3482.268       5950.531          0.000         641.300          0.134        441.355         63.042
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4309.479        113.774          2.982       3914.739       5797.994          0.000         555.600         10.651        377.242         22.887
     31/12/1964      1964       2165.220        124.028          3.192          0.000          0.000          0.000          0.000          0.000          0.000       1887.815       4756.633          0.000         449.100          0.000        379.721         45.729
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          3.894          0.176       3988.716       4427.342          0.000         342.700          2.617        246.896          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1728.051         94.248          2.665       2042.562       3828.229          0.000         374.800          0.000        367.376          0.000
     31/12/1967      1967       1356.146        103.322          3.531          0.000          0.000          0.000          0.000          0.000          0.000        879.263       4156.162          0.000         327.800          1.561        253.389          0.000
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1608.751       3928.734          0.000         519.800          5.082        374.916         10.896
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       2858.663        129.579          2.622        860.946       3407.359          0.000         671.000          6.158        523.720          0.907
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         11.515         64.422          0.000         601.600          7.313        487.789         95.756
     31/12/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000          0.000         54.019          2.736          0.095          0.446          0.000         617.500         25.340        459.392        136.569
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       3591.175        113.244          2.832       2488.576       4147.331          0.000         467.300          0.285        373.468          0.000
     31/12/1973      1973       5071.688        223.391          4.595          0.000          0.000          0.000          0.000          0.000          0.000        946.527       7050.599          0.000         873.600         27.931        472.566        132.435
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000          0.000         72.944          2.409       4340.702       6571.244          0.000         593.200         34.646        354.019        170.018
     31/12/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       2062.892         47.124          2.097       2146.939       4219.147          0.000         485.500          0.000        373.086          0.000
     31/12/1976      1976       2125.553        129.536          3.582          0.000          0.000          0.000          0.000          0.000          0.000        637.974       4824.931          0.000         624.200         15.709        435.514        144.717
     31/12/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3223.795       4282.470          0.000         498.800         15.821        313.045         77.403
     31/12/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        939.759       2783.980          0.000         738.800         17.358        525.213        139.493
     31/12/1979      1979       2235.833        139.476          2.965          0.000          0.000          0.000          0.000          0.000          0.000        720.313       5049.877          0.000         325.400          0.000        328.396         13.854
     31/12/1980      1980          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.379          0.295       3188.139       4513.216          0.000         533.300         24.861        331.721         39.034
     31/12/1981      1981          0.000          0.000          0.000          0.000          0.000          0.000       2203.662        103.844          2.486       1041.446       2776.811          0.000         500.600          5.164        397.554          7.338
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         17.557         86.456          0.000         368.300          9.880        299.154         69.527
     31/12/1983      1983          0.000          0.000          0.000          0.000          0.000          0.000          0.000         83.745          2.880          0.574          3.281          0.000         734.100         19.290        558.328        118.956
     31/12/1984      1984          0.000          0.000          0.000          0.000          0.000          0.000       4770.900        144.282          2.823       3451.885       5802.354          0.000         737.300         14.678        431.088         91.648
     31/12/1985      1985       3155.005        174.801          4.388          0.000          0.000          0.000          0.000          0.000          0.000       2153.013       6323.696          0.000         490.100          0.000        345.570         10.135
     31/12/1986      1986          0.000          0.000          0.000          0.000          0.000          0.000          0.000         33.868          1.512       3531.780       4956.711          0.000         352.400          0.000        343.103          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000       1389.803         54.538          2.288       1666.272       3077.347          0.000         439.300          0.000        407.355          0.000
     31/12/1988      1988       1176.950         83.348          3.023          0.000          0.000          0.000          0.000          0.000          0.000        606.416       3631.567          0.000         537.400          0.315        438.744          0.000
     31/12/1989      1989          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        559.999       2335.724          0.000         513.600          4.192        438.833         14.240
     31/12/1990      1990          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         13.515         61.330          0.000         487.500         23.165        368.881         99.942
     31/12/1991      1991       1631.765        118.780          4.465          0.000          0.000          0.000          0.000          0.000          0.000        593.585       4947.845          0.000         469.000          4.041        356.450          9.157
     31/12/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000         66.745          3.427       1788.018       2983.164          0.000         475.200          0.000        415.344          0.000
     31/12/1993      1993          0.000          0.000          0.000          0.000          0.000          0.000       2502.928         62.226          3.405        924.010       3314.107          0.000         589.200          0.026        531.914          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          6.711         25.401          0.000         357.300          1.611        312.023          0.000
     31/12/1995      1995          0.000          0.000          0.000          0.000          0.000          0.000          0.000         36.024          1.747          0.178          0.901          0.000         584.200         86.224        392.733         85.706
     31/12/1996      1996          0.000          0.000          0.000          0.000          0.000          0.000       3195.076        110.645          3.187        773.933       3127.946          0.000         545.700          0.481        460.094          0.000
     31/12/1997      1997       2420.120        107.695          3.211          0.000          0.000          0.000          0.000          0.000          0.000        518.535       3713.799          0.000         496.600          3.463        380.947          0.000
     31/12/1998      1998          0.000          0.000          0.000          0.000          0.000          0.000          0.000         79.209          2.493       1234.309       2912.442          0.000         812.200         28.158        520.110        207.076
     31/12/1999      1999          0.000          0.000          0.000          0.000          0.000          0.000       1939.450         39.945          2.274        528.445       2827.206          0.000         592.800         10.358        482.088          0.000
     31/12/2000      2000       1883.891        118.449          3.301          0.000          0.000          0.000          0.000          0.000          0.000        427.936       3650.569          0.000         738.900         34.546        430.345        142.721
     31/12/2001      2001          0.000          0.000          0.000          0.000          0.000          0.000          0.000         86.116          2.888       1360.872       2684.750          0.000         447.500          0.000        401.331         26.344
     31/12/2002      2002          0.000          0.000          0.000          0.000          0.000          0.000       2207.906         46.058          2.650        812.542       3228.686          0.000         206.600          0.000        219.534          0.000
