ApsimVersion = 6.0
Title = site=coonamble; soil=cd2; treatment=oc2; Nrate=50; RootDepth=deep; Sowing = AvgWindow
           date           year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()         (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1970           1970            0.0          0.000          0.000            0.0          0.000          0.000         2748.1        179.028          2.483         1044.2         2772.7            0.0         601.600          3.297        462.796         30.381
     31/12/1971           1971         1492.2        122.972          2.006            0.0          0.000          0.000         2976.5         76.392          2.451         2200.3         4145.2            0.0         617.500         10.239        398.206         54.210
     31/12/1972           1972            0.0          0.000          0.000            0.0          0.000          0.000            0.0         58.450          2.168         2563.3         3628.4            0.0         467.300          0.009        383.242          0.000
     31/12/1973           1973         3373.7        192.277          2.667            0.0          0.000          0.000         3123.3         99.637          2.189         1994.3         5721.1            0.0         873.600         12.111        453.525         96.325
     31/12/1974           1974            0.0          0.000          0.000         1471.0        109.671          1.999         2326.6        111.843          2.385         3798.9         5849.5            0.0         593.200         34.190        326.094         98.747
     31/12/1975           1975         1832.0        103.076          2.703            0.0          0.000          0.000            0.0          0.000          0.000         2114.4         4405.9            0.0         485.500          0.000        374.805          0.000
     31/12/1976           1976            0.0          0.000          0.000         1497.5        127.836          2.751            0.0          0.000          0.000         1433.0         3289.2            0.0         624.200          4.375        429.360         60.235
     31/12/1977           1977         1377.7        103.065          2.083            0.0          0.000          0.000            0.0          0.000          0.000          920.2         3439.8            0.0         498.800         31.477        335.397         27.853
     31/12/1978           1978            0.0          0.000          0.000         1563.9        126.963          2.095            0.0          0.000          0.000         1062.6         3147.3            0.0         738.800          4.296        503.248          0.000
     31/12/1979           1979            0.0          0.000          0.000            0.0          0.000          0.000         2311.5         81.049          1.653          726.0         2385.1            0.0         325.400          0.000        344.429          0.000
     31/12/1980           1980         1531.5        113.641          3.595            0.0          0.000          0.000            0.0          0.000          0.000          674.6         4182.3            0.0         533.300         54.758        352.733          0.000
     31/12/1981           1981            0.0          0.000          0.000         1371.0        130.352          1.648            0.0          0.000          0.000         1727.7         3214.4            0.0         500.600          4.138        359.253          0.000
     31/12/1982           1982            0.0          0.000          0.000            0.0          0.000          0.000           38.9         65.550          1.901          375.2         1809.9            0.0         368.300          4.546        295.068          0.000
     31/12/1983           1983         3784.4        188.758          4.383            0.0          0.000          0.000         2254.2         46.131          1.646         1113.1         6111.7            0.0         734.100          7.901        436.015          0.000
     31/12/1984           1984            0.0          0.000          0.000         1277.8        153.003          1.827         5151.2        205.015          3.000         3606.7         5860.7            0.0         737.300          5.581        362.941         88.303
     31/12/1985           1985            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000         1679.4         3758.0            0.0         490.100          0.000        454.118          0.000
     31/12/1986           1986            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000           62.3          157.0            0.0         352.400          0.000        353.181          0.000
     31/12/1987           1987            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.000          0.000            5.8           15.5            0.0         439.300          0.351        423.343          0.000
     31/12/1988           1988         1851.5        122.908          4.657            0.0          0.000          0.000            0.0          0.000          0.000          720.0         5347.6            0.0         537.400          0.404        425.905          0.000
     31/12/1989           1989            0.0          0.000          0.000         1191.7        115.115          1.902            0.0          0.000          0.000          537.8         2163.2            0.0         513.600          6.174        438.417          7.591
     31/12/1990           1990         2282.0        134.471          5.898            0.0          0.000          0.000            0.0          0.000          0.000         1050.3         6340.9            0.0         487.500         22.039        333.979          0.000
     31/12/1991           1991            0.0          0.000          0.000            0.0          0.000          0.000            0.0          0.074          0.083         3464.5         5876.7            0.0         469.000          8.951        356.176          0.000
     31/12/1992           1992            0.0          0.000          0.000            0.0          0.000          0.000         2631.6        100.001          2.142         1921.5         3050.5            0.0         475.200          0.000        420.184          0.000
     31/12/1993           1993         3170.1        142.888          3.668            0.0          0.000          0.000            0.0          0.000          0.000          642.6         4902.0            0.0         589.200          0.035        461.833          0.000
     31/12/1994           1994            0.0          0.000          0.000            0.0          0.000          0.000            0.0         40.218          1.716         2586.5         3207.5            0.0         357.300          0.000        291.262          0.000
     31/12/1995           1995          891.5         58.836          0.695            0.0          0.000          0.000         3841.5        121.045          2.225         2157.9         4516.8            0.0         584.200         43.598        344.056          0.000
     31/12/1996           1996            0.0          0.000          0.000            0.0          0.000          0.000         1316.9         80.913          1.929          698.2         2838.2            0.0         545.700          0.391        478.966          0.000
     31/12/1997           1997         1899.2        117.940          2.804            0.0          0.000          0.000            0.0          0.000          0.000          569.9         3974.6            0.0         496.600          3.867        381.345          0.000
     31/12/1998           1998            0.0          0.000          0.000         2133.6        156.288          2.536            0.0          0.000          0.000         1117.1         2838.8            0.0         812.200         33.298        480.823        140.388
     31/12/1999           1999         1976.6        123.654          3.103            0.0          0.000          0.000            0.0          0.000          0.000          706.0         3909.1            0.0         592.800         17.358        452.231          0.000
     31/12/2000           2000            0.0          0.000          0.000         1275.9        132.175          1.490            0.0         30.961          1.383         1145.8         2604.1            0.0         738.900         29.026        453.366         57.075
