Summary_file = output\coonamble_lg1_200_LongFallow1_deep_AvgWindow.sum
Title = site=coonamble; soil=lg1; treatment=LongFallow1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          9.978        260.706         21.140
     31/12/1958      1958       6392.103        273.087          5.336          0.000          0.000          0.000          0.000          0.000          0.000       1330.068       9666.930          0.000         642.900         48.516        411.851         86.401
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000        127.493          3.076       7613.636       9438.044          0.000         685.200         68.007        234.353        169.914
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000       3010.174         71.540          2.934       2439.177       6367.921          0.000         399.100          0.331        364.017          0.001
     31/12/1961      1961       1633.235        127.511          5.754          0.000          0.000          0.000          0.000          0.000          0.000        564.801       5439.022          0.000         445.200          1.021        381.976          0.000
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         85.348          3.083        120.820       1502.536          0.000         641.300          2.333        499.699          0.000
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       4250.900        111.206          3.009       1961.410       5604.651          0.000         555.600         10.156        398.930          0.000
     31/12/1964      1964       4311.920        208.678          5.787          0.000          0.000          0.000          0.000          0.000          0.000        873.505       7477.924          0.000         449.100          1.273        357.698          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.913          0.071       4542.697       5774.522          0.000         342.700          6.732        240.495          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1449.863         87.848          2.287        834.495       2450.795          0.000         374.800          0.000        365.044          0.000
     31/12/1967      1967       1556.394        113.488          5.410          0.000          0.000          0.000          0.000          0.000          0.000        875.361       5294.561          0.000         327.800          7.987        243.491          0.000
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        716.718       4629.779          0.000         519.800         12.031        374.703          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       3375.317        149.055          3.037        843.399       3699.979          0.000         671.000          7.787        514.501          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         11.683         67.096          0.000         601.600         14.927        477.666          0.000
