Summary_file = output\coonamble_lg1_200_s1_deep_AvgWindow.sum
Title = site=coonamble; soil=lg1; treatment=s1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000       5097.405        228.218          3.454       2201.292       4673.150          0.000         240.300          1.083        232.727          0.000
     31/12/1958      1958          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        290.675       2100.581          0.000         642.900         24.608        485.577          0.000
     31/12/1959      1959          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          2.396         18.043          0.000         685.200         88.521        383.129        158.614
     31/12/1960      1960          0.000          0.000          0.000          0.000          0.000          0.000          0.000         34.053          1.975          0.080          0.271          0.000         399.100          7.354        375.011         13.588
     31/12/1961      1961          0.000          0.000          0.000          0.000          0.000          0.000       3911.427        162.904          3.585        676.071       3695.481          0.000         445.200          0.000        388.258          4.012
     31/12/1962      1962          0.000          0.000          0.000          0.000          0.000          0.000          0.000         97.662          3.520          5.873         59.419          0.000         641.300          4.918        500.496          0.000
     31/12/1963      1963          0.000          0.000          0.000          0.000          0.000          0.000       5189.209        221.383          3.458       3580.170       6482.369          0.000         555.600         15.631        370.450          0.000
     31/12/1964      1964          0.000          0.000          0.000          0.000          0.000          0.000       3086.297         90.775          3.114       1256.402       4139.125          0.000         449.100          0.222        392.396          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.913          0.071        152.055        232.493          0.000         342.700         11.456        263.934          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000       1994.102        109.011          2.535        819.539       2599.004          0.000         374.800          0.000        364.886          0.000
     31/12/1967      1967          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         27.663         97.080          0.000         327.800          7.970        271.279          0.000
     31/12/1968      1968          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.828          5.700          0.000         519.800         32.499        379.610          0.000
     31/12/1969      1969          0.000          0.000          0.000          0.000          0.000          0.000       4086.580        277.042          3.228       1064.939       4437.579          0.000         671.000          7.962        502.863          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000       3760.756        158.329          3.168       1008.216       4082.884          0.000         601.600          3.549        434.028          0.000
     31/12/1971      1971          0.000          0.000          0.000          0.000          0.000          0.000       3476.367        200.507          3.442       2457.497       5107.187          0.000         617.500         13.129        384.754          0.000
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000       4810.658        129.757          3.517       2676.018       4724.566          0.000         467.300          0.494        364.668          0.000
     31/12/1973      1973          0.000          0.000          0.000          0.000          0.000          0.000          0.000        104.633          3.603         67.371        483.771          0.000         873.600         46.885        562.360         75.493
     31/12/1974      1974          0.000          0.000          0.000          0.000          0.000          0.000       4994.434        212.131          3.501       1422.817       5682.052          0.000         593.200         60.090        369.250          0.120
     31/12/1975      1975          0.000          0.000          0.000          0.000          0.000          0.000       3017.109         72.203          2.738        675.409       3193.653          0.000         485.500          0.250        374.506          0.000
     31/12/1976      1976          0.000          0.000          0.000          0.000          0.000          0.000          0.000         93.230          3.129         13.455         90.422          0.000         624.200         39.903        440.594         27.234
     31/12/1977      1977          0.000          0.000          0.000          0.000          0.000          0.000       3579.159        104.653          3.155        875.878       4010.726          0.000         498.800         24.848        321.858          0.000
     31/12/1978      1978          0.000          0.000          0.000          0.000          0.000          0.000          0.000         92.530          3.510         33.898        266.125          0.000         738.800         15.904        520.980         48.319
     31/12/1979      1979          0.000          0.000          0.000          0.000          0.000          0.000       5354.699        178.859          3.595       1583.588       4978.536          0.000         325.400          0.000        340.888          0.232
