Summary_file = output\coonamble_lg1_200_w1_deep_AvgWindow.sum
Title = site=coonamble; soil=lg1; treatment=w1; Nrate=200; RootDepth=deep; Sowing = AvgWindow
           date      year      wht_yield         wht_ep     wht_laimax      chk_yield         chk_ep     chk_laimax      sor_yield         sor_ep     sor_laimax    avg_residue    max_residue    min_residue annual_rainfall  annual_runoff      annual_es   annual_drain
             ()    (year)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)           (mm)      (m^2/m^2)        (kg/ha)             ()        (m2/m2)        (kg/ha)        (kg/ha)        (kg/ha)            (mm)           (mm)           (mm)           (mm)
     31/12/1957      1957          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          5.811          9.784          0.000         240.300          9.978        260.706         21.140
     31/12/1958      1958       6383.987        278.227          5.369          0.000          0.000          0.000          0.000          0.000          0.000       1225.862       8908.324          0.000         642.900         48.409        413.190         86.434
     31/12/1959      1959       4681.741        272.906          7.394          0.000          0.000          0.000          0.000          0.000          0.000       7548.356      13150.406          0.000         685.200         56.788        181.971        133.653
     31/12/1960      1960       3741.628        229.627          6.993          0.000          0.000          0.000          0.000          0.000          0.000       8095.988      12396.239          0.000         399.100          0.679        157.985          0.000
     31/12/1961      1961       3085.708        213.563          7.651          0.000          0.000          0.000          0.000          0.000          0.000       6657.122      11787.723          0.000         445.200          5.894        232.884          0.000
     31/12/1962      1962       5465.303        302.261          7.781          0.000          0.000          0.000          0.000          0.000          0.000       3311.157      10230.248          0.000         641.300          1.333        334.957          0.000
     31/12/1963      1963       4469.848        246.105          5.956          0.000          0.000          0.000          0.000          0.000          0.000       3907.084       8742.745          0.000         555.600         10.832        333.121          7.026
     31/12/1964      1964       2885.983        158.638          4.405          0.000          0.000          0.000          0.000          0.000          0.000       4036.232       7744.346          0.000         449.100          0.000        317.805          0.000
     31/12/1965      1965          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3758.634       5317.501          0.000         342.700          7.581        246.370          0.000
     31/12/1966      1966          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        182.190        435.897          0.000         374.800          1.667        367.249          0.000
     31/12/1967      1967       2765.822        182.152          6.145          0.000          0.000          0.000          0.000          0.000          0.000       1199.883       7402.487          0.000         327.800         11.046        248.266          0.000
     31/12/1968      1968       2803.344        182.347          7.040          0.000          0.000          0.000          0.000          0.000          0.000       2252.069       8109.184          0.000         519.800         10.147        327.580          0.000
     31/12/1969      1969       3086.189        148.861          3.650          0.000          0.000          0.000          0.000          0.000          0.000       1330.385       5318.632          0.000         671.000          6.087        483.387          0.000
     31/12/1970      1970          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        289.798       2496.480          0.000         601.600          9.059        473.595          0.000
     31/12/1971      1971       3994.701        220.481          4.312          0.000          0.000          0.000          0.000          0.000          0.000        396.854       5902.402          0.000         617.500         26.157        433.538         20.477
     31/12/1972      1972          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        612.083       3088.566          0.000         467.300          0.478        388.323          0.000
     31/12/1973      1973       5628.270        321.096          5.071          0.000          0.000          0.000          0.000          0.000          0.000       1095.305       9927.064          0.000         873.600         51.434        456.838         65.387
     31/12/1974      1974       3997.523        209.830          3.620          0.000          0.000          0.000          0.000          0.000          0.000       2103.224       7352.284          0.000         593.200         44.500        354.927         69.642
     31/12/1975      1975       2719.889        146.916          4.151          0.000          0.000          0.000          0.000          0.000          0.000       2094.337       6252.310          0.000         485.500          0.000        364.183          0.000
     31/12/1976      1976       3792.653        200.763          4.659          0.000          0.000          0.000          0.000          0.000          0.000        982.360       6961.643          0.000         624.200         10.805        410.141          0.000
     31/12/1977      1977       2499.896        178.466          5.372          0.000          0.000          0.000          0.000          0.000          0.000       2300.223       6208.180          0.000         498.800         18.093        313.569          0.000
     31/12/1978      1978       4123.887        209.583          5.778          0.000          0.000          0.000          0.000          0.000          0.000       2593.266       8679.548          0.000         738.800         23.213        384.767          0.000
     31/12/1979      1979       2387.761        145.389          3.261          0.000          0.000          0.000          0.000          0.000          0.000       2868.654       5667.423          0.000         325.400          0.000        318.467          0.000
     31/12/1980      1980       1598.349        128.417          4.929          0.000          0.000          0.000          0.000          0.000          0.000       1576.733       5779.707          0.000         533.300         48.773        339.507          0.000
     31/12/1981      1981       2365.473        136.317          5.777          0.000          0.000          0.000          0.000          0.000          0.000       1392.661       6086.464          0.000         500.600          7.937        320.258          0.000
     31/12/1982      1982          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        675.082       3671.149          0.000         368.300          3.805        283.325          0.000
     31/12/1983      1983       7456.182        330.638          7.738          0.000          0.000          0.000          0.000          0.000          0.000       1301.246      10574.197          0.000         734.100         20.067        394.147          0.000
     31/12/1984      1984       3878.401        229.113          3.980          0.000          0.000          0.000          0.000          0.000          0.000       1614.456       6966.949          0.000         737.300         13.425        420.902        127.674
     31/12/1985      1985          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1976.828       5259.151          0.000         490.100          0.042        441.372          0.000
     31/12/1986      1986       1577.000         92.205          1.893          0.000          0.000          0.000          0.000          0.000          0.000        214.422       2915.162          0.000         352.400          0.011        343.097          0.000
     31/12/1987      1987          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000        425.313       2308.150          0.000         439.300          0.000        414.246          0.000
     31/12/1988      1988        946.958         73.760          2.207          0.000          0.000          0.000          0.000          0.000          0.000        229.138       2682.769          0.000         537.400          0.971        447.177          0.000
     31/12/1989      1989       2814.559        170.473          6.657          0.000          0.000          0.000          0.000          0.000          0.000        929.328       7193.797          0.000         513.600         10.170        407.445          0.000
     31/12/1990      1990       2959.498        173.171          6.780          0.000          0.000          0.000          0.000          0.000          0.000       2227.693       7938.939          0.000         487.500         12.756        306.619          0.000
     31/12/1991      1991          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1717.096       6150.590          0.000         469.000         18.269        360.441          0.000
     31/12/1992      1992          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000         21.460         99.704          0.000         475.200          2.290        431.392          0.000
     31/12/1993      1993       5828.324        259.334          6.214          0.000          0.000          0.000          0.000          0.000          0.000        880.692       8688.445          0.000         589.200          0.585        417.144          0.000
     31/12/1994      1994          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       3206.322       5061.284          0.000         357.300          1.784        290.037          0.000
     31/12/1995      1995       3539.396        191.759          5.235          0.000          0.000          0.000          0.000          0.000          0.000       1002.769       6295.065          0.000         584.200         89.935        356.325          0.000
     31/12/1996      1996       2453.254        146.233          4.123          0.000          0.000          0.000          0.000          0.000          0.000       1582.499       5759.977          0.000         545.700          0.000        417.033          0.000
     31/12/1997      1997       1672.549         89.783          2.171          0.000          0.000          0.000          0.000          0.000          0.000        640.588       3043.684          0.000         496.600          4.581        369.504          0.000
     31/12/1998      1998       6197.935        319.329          5.376          0.000          0.000          0.000          0.000          0.000          0.000       1494.579      11364.286          0.000         812.200         47.409        387.757          0.000
     31/12/1999      1999       4690.011        251.400          5.021          0.000          0.000          0.000          0.000          0.000          0.000       4190.215       8352.035          0.000         592.800          7.015        351.550          0.000
     31/12/2000      2000       4427.555        237.930          6.926          0.000          0.000          0.000          0.000          0.000          0.000       2296.909       7609.566          0.000         738.900         24.718        391.026          0.000
     31/12/2001      2001       4366.551        225.698          5.423          0.000          0.000          0.000          0.000          0.000          0.000       2013.564       6757.266          0.000         447.500          0.144        371.487          0.000
     31/12/2002      2002          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000          0.000       1844.524       4215.963          0.000         206.600          0.000        231.935          0.000
